title,population,operation_level,visiting_status,datetime_of_data
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-27 10:21:49 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-27 11:05:48 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-27 11:52:25 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-27 15:38:43 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-27 18:18:16 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-28 06:42:58 PDT
FCI ALICEVILLE,1656,Level 1,Not Suspended,2023-09-28 09:52:06 PDT
FCI ALICEVILLE,1653,Level 1,Not Suspended,2023-09-28 16:03:34 PDT
FCI ALICEVILLE,1653,Level 1,Not Suspended,2023-10-02 14:10:49 PDT
FCI ALICEVILLE,1652,Level 1,Not Suspended,2023-10-22 11:17:59 PDT
FCI ALICEVILLE,1655,Level 1,Not Suspended,2023-11-03 15:55:00 PDT
FCI ALICEVILLE,1655,Level 1,Not Suspended,2023-11-10 10:33:13 PST
FCI ALICEVILLE,1647,Level 1,Not Suspended,2023-11-12 09:15:12 PST
FCI ALICEVILLE,1647,Level 1,Not Suspended,2023-11-13 09:21:43 PST
FCI ALICEVILLE,1647,Level 1,Not Suspended,2023-11-15 09:24:40 PST
FCI ALICEVILLE,1640,Level 1,Not Suspended,2023-11-21 11:05:20 PST
FCI ALICEVILLE,1640,Level 1,Not Suspended,2023-11-22 09:47:10 PST
FCI ALICEVILLE,1640,Level 1,Not Suspended,2023-11-26 14:41:17 PST
FCI ALICEVILLE,1617,Level 1,Not Suspended,2023-11-27 12:04:47 PST
FCI ALICEVILLE,1617,Level 1,Not Suspended,2023-11-28 10:15:56 PST
FCI ALICEVILLE,1633,Level 1,Not Suspended,2023-11-30 10:08:48 PST
FCI ALICEVILLE,1633,Level 1,Not Suspended,2023-12-01 11:17:57 PST
FCI ALICEVILLE,1633,Level 1,Not Suspended,2023-12-03 10:42:53 PST
FCI ALICEVILLE,1633,Level 1,Not Suspended,2023-12-04 14:40:32 PST
FCI ALICEVILLE,1633,Level 1,Not Suspended,2023-12-05 07:25:57 PST
FCI ALICEVILLE,1621,Level 1,Not Suspended,2023-12-07 16:45:34 PST
FCI ALICEVILLE,1621,Level 1,Not Suspended,2023-12-08 20:40:37 PST
FCI ALICEVILLE,1621,Level 1,Not Suspended,2023-12-11 08:41:57 PST
FCI ALICEVILLE,1621,Level 1,Not Suspended,2023-12-12 16:24:51 PST
