title,population,operation_level,visiting_status,datetime_of_data
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-27 10:21:58 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-27 11:05:57 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-27 11:52:42 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-27 15:39:00 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-27 18:18:32 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-28 06:43:15 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-28 09:52:21 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-09-28 16:03:50 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-10-02 14:11:05 PDT
FCI ALLENWOOD LOW,1049,Level 1,Not Suspended,2023-10-22 11:18:15 PDT
FCI ALLENWOOD LOW,1045,Level 1,Not Suspended,2023-11-03 15:55:16 PDT
FCI ALLENWOOD LOW,1045,Level 1,Not Suspended,2023-11-10 10:33:28 PST
FCI ALLENWOOD LOW,1040,Level 1,Not Suspended,2023-11-12 09:15:28 PST
FCI ALLENWOOD LOW,1040,Level 1,Not Suspended,2023-11-13 09:21:59 PST
FCI ALLENWOOD LOW,1040,Level 1,Not Suspended,2023-11-15 09:24:56 PST
FCI ALLENWOOD LOW,1038,Level 1,Not Suspended,2023-11-21 11:05:38 PST
FCI ALLENWOOD LOW,1038,Level 1,Not Suspended,2023-11-22 09:47:26 PST
FCI ALLENWOOD LOW,1038,Level 1,Not Suspended,2023-11-26 14:41:33 PST
FCI ALLENWOOD LOW,1035,Level 1,Not Suspended,2023-11-27 12:05:03 PST
FCI ALLENWOOD LOW,1035,Level 1,Not Suspended,2023-11-28 10:16:12 PST
FCI ALLENWOOD LOW,1030,Level 1,Suspended,2023-11-30 10:09:04 PST
FCI ALLENWOOD LOW,1030,Level 1,Suspended,2023-12-01 11:18:13 PST
FCI ALLENWOOD LOW,1030,Level 1,Suspended,2023-12-03 10:43:09 PST
FCI ALLENWOOD LOW,1030,Level 1,Suspended,2023-12-04 14:40:48 PST
FCI ALLENWOOD LOW,1030,Level 1,Suspended,2023-12-05 07:26:13 PST
FCI ALLENWOOD LOW,1027,Level 1,Not Suspended,2023-12-07 16:45:50 PST
FCI ALLENWOOD LOW,1027,Level 1,Not Suspended,2023-12-08 20:40:53 PST
FCI ALLENWOOD LOW,1027,Level 1,Not Suspended,2023-12-11 08:42:13 PST
FCI ALLENWOOD LOW,1027,Level 1,Not Suspended,2023-12-12 16:25:07 PST
FCI ALLENWOOD LOW,1027,Level 1,Not Suspended,2023-12-13 10:42:53 PST
FCI ALLENWOOD LOW,1028,Level 1,Not Suspended,2023-12-18 06:51:09 PST
