title,population,operation_level,visiting_status,datetime_of_data
FCI ALLENWOOD MEDIUM,"1,261",No Longer Available,Not Suspended,2024-02-16 10:18:37 PST
FCI ALLENWOOD MEDIUM,"1,261",No Longer Available,Not Suspended,2024-02-20 10:13:33 PST
FCI ALLENWOOD MEDIUM,"1,261",No Longer Available,Not Suspended,2024-02-18 14:43:45 PST
FCI ALLENWOOD MEDIUM,"1,261",No Longer Available,Not Suspended,2024-02-19 07:50:36 PST
FCI ALLENWOOD MEDIUM,"1,266",No Longer Available,Not Suspended,2024-02-27 07:03:51 PST
FCI ALLENWOOD MEDIUM,"1,266",No Longer Available,Not Suspended,2024-02-26 18:16:11 PST
FCI ALLENWOOD MEDIUM,"1,272",No Longer Available,Suspended,2024-03-01 10:12:04 PST
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-13 10:31:26 PST
FCI ALLENWOOD MEDIUM,"1,266",No Longer Available,Not Suspended,2024-02-23 12:31:04 PST
FCI ALLENWOOD MEDIUM,"1,266",No Longer Available,Not Suspended,2024-02-24 11:26:26 PST
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-08 14:01:48 PST
FCI ALLENWOOD MEDIUM,"1,272",No Longer Available,Suspended,2024-03-03 21:00:20 PST
FCI ALLENWOOD MEDIUM,"1,258",No Longer Available,Not Suspended,2024-03-19 09:58:10 PDT
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-07 19:07:32 PST
FCI ALLENWOOD MEDIUM,"1,258",No Longer Available,Not Suspended,2024-03-21 10:04:36 PDT
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-09 10:08:57 PST
FCI ALLENWOOD MEDIUM,"1,295",No Longer Available,Suspended,2024-01-19 10:23:02 PST
FCI ALLENWOOD MEDIUM,"1,258",No Longer Available,Not Suspended,2024-03-20 10:00:47 PDT
FCI ALLENWOOD MEDIUM,"1,280",No Longer Available,Suspended,2024-02-01 14:01:07 PST
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-10 17:39:59 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-02 22:54:28 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-03 19:23:28 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-06 14:14:49 PST
FCI ALLENWOOD MEDIUM,"1,295",No Longer Available,Suspended,2024-01-23 10:06:33 PST
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-12 09:17:29 PST
FCI ALLENWOOD MEDIUM,"1,295",No Longer Available,Suspended,2024-01-22 10:05:09 PST
FCI ALLENWOOD MEDIUM,"1,295",No Longer Available,Suspended,2024-01-24 09:00:30 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-03 09:18:09 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-05 11:14:43 PST
FCI ALLENWOOD MEDIUM,"1,280",No Longer Available,Suspended,2024-01-30 14:07:48 PST
FCI ALLENWOOD MEDIUM,"1,270",No Longer Available,Suspended,2024-02-11 10:52:04 PST
FCI ALLENWOOD MEDIUM,"1,280",No Longer Available,Suspended,2024-01-28 20:18:54 PST
FCI ALLENWOOD MEDIUM,"1,280",No Longer Available,Suspended,2024-01-26 10:11:05 PST
FCI ALLENWOOD MEDIUM,"1,280",No Longer Available,Suspended,2024-01-27 14:35:33 PST
