title,population,operation_level,visiting_status,datetime_of_data
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-27 10:22:22 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-27 11:06:21 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-27 11:53:30 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-27 15:39:48 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-27 18:19:18 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-28 06:44:01 PDT
FCI ASHLAND,1305,Level 1,Not Suspended,2023-09-28 09:53:08 PDT
FCI ASHLAND,1300,Level 1,Not Suspended,2023-09-28 16:04:37 PDT
FCI ASHLAND,1300,Level 1,Not Suspended,2023-10-02 14:11:51 PDT
FCI ASHLAND,1301,Level 1,Not Suspended,2023-10-22 11:19:01 PDT
FCI ASHLAND,1311,Level 1,Not Suspended,2023-11-03 15:56:03 PDT
FCI ASHLAND,1311,Level 1,Not Suspended,2023-11-10 10:34:15 PST
FCI ASHLAND,1304,Level 1,Not Suspended,2023-11-12 09:16:14 PST
FCI ASHLAND,1304,Level 1,Not Suspended,2023-11-13 09:22:45 PST
FCI ASHLAND,1304,Level 1,Not Suspended,2023-11-15 09:25:44 PST
FCI ASHLAND,1322,Level 1,Not Suspended,2023-11-21 11:06:26 PST
FCI ASHLAND,1322,Level 1,Not Suspended,2023-11-22 09:48:12 PST
FCI ASHLAND,1322,Level 1,Not Suspended,2023-11-26 14:42:19 PST
FCI ASHLAND,1308,Level 1,Not Suspended,2023-11-27 12:05:49 PST
FCI ASHLAND,1308,Level 1,Not Suspended,2023-11-28 10:16:59 PST
FCI ASHLAND,1314,Level 1,Not Suspended,2023-11-30 10:09:50 PST
FCI ASHLAND,1314,Level 1,Not Suspended,2023-12-01 11:18:59 PST
FCI ASHLAND,1314,Level 1,Not Suspended,2023-12-03 10:43:55 PST
FCI ASHLAND,1314,Level 1,Not Suspended,2023-12-04 14:41:35 PST
FCI ASHLAND,1314,Level 1,Not Suspended,2023-12-05 07:26:59 PST
FCI ASHLAND,1293,Level 1,Not Suspended,2023-12-07 16:46:37 PST
FCI ASHLAND,1293,Level 1,Not Suspended,2023-12-08 20:41:39 PST
FCI ASHLAND,1293,Level 1,Not Suspended,2023-12-11 08:42:59 PST
FCI ASHLAND,1293,Level 1,Not Suspended,2023-12-12 16:25:53 PST
FCI ASHLAND,1293,Level 1,Not Suspended,2023-12-13 10:43:40 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-18 06:51:55 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-20 08:57:16 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-22 08:02:36 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-27 10:06:18 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-28 11:28:43 PST
FCI ASHLAND,1303,Level 1,Not Suspended,2023-12-29 10:37:01 PST
