title,population,operation_level,visiting_status,datetime_of_data
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-27 10:22:47 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-27 11:06:45 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-27 11:54:20 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-27 15:40:37 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-27 18:20:04 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-28 06:44:48 PDT
FCI BASTROP,1098,Level 1,Not Suspended,2023-09-28 09:53:55 PDT
FCI BASTROP,1116,Level 1,Not Suspended,2023-09-28 16:05:23 PDT
FCI BASTROP,1116,Level 1,Not Suspended,2023-10-02 14:12:38 PDT
FCI BASTROP,1128,Level 1,Not Suspended,2023-10-22 11:19:47 PDT
FCI BASTROP,1102,Level 1,Not Suspended,2023-11-03 15:56:49 PDT
FCI BASTROP,1102,Level 1,Not Suspended,2023-11-10 10:35:02 PST
FCI BASTROP,1134,Level 1,Not Suspended,2023-11-12 09:17:00 PST
FCI BASTROP,1134,Level 1,Not Suspended,2023-11-13 09:23:32 PST
FCI BASTROP,1134,Level 1,Not Suspended,2023-11-15 09:26:36 PST
FCI BASTROP,1125,Level 1,Not Suspended,2023-11-21 11:07:13 PST
FCI BASTROP,1125,Level 1,Not Suspended,2023-11-22 09:48:58 PST
FCI BASTROP,1125,Level 1,Not Suspended,2023-11-26 14:43:05 PST
FCI BASTROP,1110,Level 1,Not Suspended,2023-11-27 12:06:36 PST
FCI BASTROP,1110,Level 1,Not Suspended,2023-11-28 10:17:45 PST
FCI BASTROP,1107,Level 1,Not Suspended,2023-11-30 10:10:37 PST
FCI BASTROP,1107,Level 1,Not Suspended,2023-12-01 11:19:45 PST
FCI BASTROP,1107,Level 1,Not Suspended,2023-12-03 10:44:42 PST
FCI BASTROP,1107,Level 1,Not Suspended,2023-12-04 14:42:22 PST
FCI BASTROP,1107,Level 1,Not Suspended,2023-12-05 07:27:46 PST
FCI BASTROP,1112,Level 1,Not Suspended,2023-12-07 16:47:23 PST
FCI BASTROP,1112,Level 1,Not Suspended,2023-12-08 20:42:24 PST
FCI BASTROP,1112,Level 1,Not Suspended,2023-12-11 08:43:45 PST
FCI BASTROP,1112,Level 1,Not Suspended,2023-12-12 16:26:39 PST
FCI BASTROP,1112,Level 1,Not Suspended,2023-12-13 10:44:26 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-18 06:52:42 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-20 08:58:02 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-22 08:03:23 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-27 10:07:04 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-28 11:29:29 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-29 10:37:48 PST
FCI BASTROP,1111,Level 1,Not Suspended,2023-12-29 11:19:25 PST
FCI BASTROP,1093,Level 1,Not Suspended,2024-01-02 10:17:24 PST
FCI BASTROP,1093,Level 1,Not Suspended,2024-01-03 09:43:42 PST
FCI BASTROP,1083,Level 1,Not Suspended,2024-01-04 10:09:29 PST
FCI BASTROP,1083,Level 1,Not Suspended,2024-01-05 10:10:45 PST
FCI BASTROP,1083,Level 1,Not Suspended,2024-01-07 18:03:36 PST
FCI BASTROP,1083,Level 1,Not Suspended,2024-01-08 10:31:23 PST
FCI BASTROP,1083,Level 1,Not Suspended,2024-01-09 10:11:27 PST
FCI BASTROP,1083,No Longer Available,Not Suspended,2024-01-11 12:09:52 PST
FCI BASTROP,1083,No Longer Available,Not Suspended,2024-01-13 12:44:07 PST
FCI BASTROP,1081,No Longer Available,Suspended,2024-01-16 10:11:56 PST
FCI BASTROP,1081,No Longer Available,Not Suspended,2024-01-17 10:10:21 PST
FCI BASTROP,1081,No Longer Available,Not Suspended,2024-01-18 10:13:52 PST
FCI BASTROP,1075,No Longer Available,Not Suspended,2024-01-19 10:24:20 PST
FCI BASTROP,1075,No Longer Available,Not Suspended,2024-01-22 10:06:26 PST
FCI BASTROP,1075,No Longer Available,Not Suspended,2024-01-23 10:07:51 PST
FCI BASTROP,1075,No Longer Available,Not Suspended,2024-01-24 09:01:47 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-25 11:31:11 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-26 10:12:23 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-27 14:36:50 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-28 20:20:12 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-29 09:43:08 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-01-30 14:09:06 PST
FCI BASTROP,1077,No Longer Available,Not Suspended,2024-02-01 14:02:25 PST
FCI BASTROP,1064,No Longer Available,Not Suspended,2024-02-02 22:55:46 PST
FCI BASTROP,1064,No Longer Available,Not Suspended,2024-02-03 09:19:27 PST
FCI BASTROP,1064,No Longer Available,Not Suspended,2024-02-03 19:24:47 PST
FCI BASTROP,1064,No Longer Available,Not Suspended,2024-02-04 12:33:27 PST
