title,population,operation_level,visiting_status,datetime_of_data
FCI BEAUMONT MEDIUM,"1,618",No Longer Available,Not Suspended,2024-02-16 10:20:27 PST
FCI BEAUMONT MEDIUM,"1,618",No Longer Available,Not Suspended,2024-02-20 10:15:22 PST
FCI BEAUMONT MEDIUM,"1,618",No Longer Available,Not Suspended,2024-02-18 14:45:34 PST
FCI BEAUMONT MEDIUM,"1,618",No Longer Available,Not Suspended,2024-02-19 07:52:27 PST
FCI BEAUMONT MEDIUM,"1,631",No Longer Available,Not Suspended,2024-02-27 07:05:41 PST
FCI BEAUMONT MEDIUM,"1,631",No Longer Available,Not Suspended,2024-02-26 18:18:01 PST
FCI BEAUMONT MEDIUM,"1,625",No Longer Available,Not Suspended,2024-03-01 10:13:52 PST
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-13 10:33:15 PST
FCI BEAUMONT MEDIUM,"1,631",No Longer Available,Not Suspended,2024-02-23 12:32:54 PST
FCI BEAUMONT MEDIUM,"1,631",No Longer Available,Not Suspended,2024-02-24 11:28:22 PST
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-08 14:03:37 PST
FCI BEAUMONT MEDIUM,"1,625",No Longer Available,Not Suspended,2024-03-03 21:02:09 PST
FCI BEAUMONT MEDIUM,"1,613",No Longer Available,Not Suspended,2024-03-19 10:00:00 PDT
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-07 19:09:23 PST
FCI BEAUMONT MEDIUM,"1,613",No Longer Available,Not Suspended,2024-03-21 10:06:26 PDT
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-09 10:10:47 PST
FCI BEAUMONT MEDIUM,"1,667",No Longer Available,Not Suspended,2024-01-19 10:24:51 PST
FCI BEAUMONT MEDIUM,"1,613",No Longer Available,Not Suspended,2024-03-20 10:02:37 PDT
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-02-01 14:02:57 PST
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-10 17:41:49 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-02 22:56:18 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-03 19:25:18 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-06 14:16:40 PST
FCI BEAUMONT MEDIUM,"1,667",No Longer Available,Not Suspended,2024-01-23 10:08:22 PST
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-12 09:19:25 PST
FCI BEAUMONT MEDIUM,"1,667",No Longer Available,Not Suspended,2024-01-22 10:06:58 PST
FCI BEAUMONT MEDIUM,"1,667",No Longer Available,Not Suspended,2024-01-24 09:02:20 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-03 09:19:58 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-05 11:16:32 PST
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-01-30 14:09:37 PST
FCI BEAUMONT MEDIUM,"1,612",No Longer Available,Not Suspended,2024-02-11 10:53:54 PST
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-01-28 20:20:43 PST
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-01-26 10:12:54 PST
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-01-27 14:37:22 PST
FCI BEAUMONT MEDIUM,"1,663",No Longer Available,Not Suspended,2024-01-11 12:10:23 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-04 12:33:58 PST
FCI BEAUMONT MEDIUM,"1,649",No Longer Available,Not Suspended,2024-01-18 10:14:23 PST
FCI BEAUMONT MEDIUM,"1,651",No Longer Available,Not Suspended,2024-01-29 09:43:39 PST
FCI BEAUMONT MEDIUM,"1,663",No Longer Available,Not Suspended,2024-01-13 12:44:38 PST
