title,population,operation_level,visiting_status,datetime_of_data
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-27 10:23:19 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-27 11:07:18 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-27 11:55:28 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-27 15:41:42 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-27 18:21:06 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-28 06:45:50 PDT
FCI BECKLEY,1680,Level 1,Not Suspended,2023-09-28 09:54:58 PDT
FCI BECKLEY,1689,Level 1,Not Suspended,2023-09-28 16:06:25 PDT
FCI BECKLEY,1689,Level 1,Not Suspended,2023-10-02 14:13:41 PDT
FCI BECKLEY,1682,Level 1,Not Suspended,2023-10-22 11:20:49 PDT
FCI BECKLEY,1699,Level 1,Suspended,2023-11-03 15:57:51 PDT
FCI BECKLEY,1699,Level 1,Suspended,2023-11-10 10:36:04 PST
FCI BECKLEY,1688,Level 1,Suspended,2023-11-12 09:18:02 PST
FCI BECKLEY,1688,Level 1,Suspended,2023-11-13 09:24:34 PST
FCI BECKLEY,1688,Level 1,Suspended,2023-11-15 09:27:38 PST
FCI BECKLEY,1675,Level 1,Not Suspended,2023-11-21 11:08:16 PST
FCI BECKLEY,1675,Level 1,Not Suspended,2023-11-22 09:50:00 PST
FCI BECKLEY,1675,Level 1,Not Suspended,2023-11-26 14:44:08 PST
FCI BECKLEY,1712,Level 1,Not Suspended,2023-11-27 12:07:37 PST
FCI BECKLEY,1712,Level 1,Not Suspended,2023-11-28 10:18:50 PST
FCI BECKLEY,1702,Level 1,Not Suspended,2023-11-30 10:11:38 PST
FCI BECKLEY,1702,Level 1,Not Suspended,2023-12-01 11:20:47 PST
FCI BECKLEY,1702,Level 1,Not Suspended,2023-12-03 10:45:43 PST
FCI BECKLEY,1702,Level 1,Not Suspended,2023-12-04 14:43:24 PST
FCI BECKLEY,1702,Level 1,Not Suspended,2023-12-05 07:28:48 PST
FCI BECKLEY,1689,Level 1,Not Suspended,2023-12-07 16:48:25 PST
FCI BECKLEY,1689,Level 1,Not Suspended,2023-12-08 20:43:27 PST
FCI BECKLEY,1689,Level 1,Not Suspended,2023-12-11 08:44:47 PST
FCI BECKLEY,1689,Level 1,Not Suspended,2023-12-12 16:27:41 PST
FCI BECKLEY,1689,Level 1,Not Suspended,2023-12-13 10:45:27 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-18 06:53:43 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-20 08:59:04 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-22 08:04:25 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-27 10:08:05 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-28 11:30:31 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-29 10:38:50 PST
FCI BECKLEY,1693,Level 1,Not Suspended,2023-12-29 11:20:27 PST
FCI BECKLEY,1711,Level 1,Suspended,2024-01-02 10:18:26 PST
FCI BECKLEY,1711,Level 1,Suspended,2024-01-03 09:44:45 PST
FCI BECKLEY,1706,Level 1,Suspended,2024-01-04 10:10:31 PST
FCI BECKLEY,1706,Level 1,Suspended,2024-01-05 10:11:48 PST
FCI BECKLEY,1706,Level 1,Suspended,2024-01-07 18:04:37 PST
FCI BECKLEY,1706,Level 1,Suspended,2024-01-08 10:32:25 PST
FCI BECKLEY,1706,Level 1,Suspended,2024-01-09 10:12:30 PST
FCI BECKLEY,1706,No Longer Available,Suspended,2024-01-11 12:10:54 PST
FCI BECKLEY,1706,No Longer Available,Suspended,2024-01-13 12:45:09 PST
FCI BECKLEY,1699,No Longer Available,Suspended,2024-01-16 10:12:59 PST
FCI BECKLEY,1699,No Longer Available,Suspended,2024-01-17 10:11:23 PST
FCI BECKLEY,1699,No Longer Available,Suspended,2024-01-18 10:14:54 PST
FCI BECKLEY,1691,No Longer Available,Suspended,2024-01-19 10:25:22 PST
