title,population,operation_level,visiting_status,datetime_of_data
FCI BENNETTSVILLE,"1,656",No Longer Available,Not Suspended,2024-02-16 10:21:15 PST
FCI BENNETTSVILLE,"1,656",No Longer Available,Not Suspended,2024-02-20 10:16:10 PST
FCI BENNETTSVILLE,"1,656",No Longer Available,Not Suspended,2024-02-18 14:46:21 PST
FCI BENNETTSVILLE,"1,656",No Longer Available,Not Suspended,2024-02-19 07:53:14 PST
FCI BENNETTSVILLE,"1,655",No Longer Available,Not Suspended,2024-02-27 07:06:28 PST
FCI BENNETTSVILLE,"1,655",No Longer Available,Not Suspended,2024-02-26 18:18:47 PST
FCI BENNETTSVILLE,"1,629",No Longer Available,Not Suspended,2024-03-01 10:14:39 PST
FCI BENNETTSVILLE,"1,660",No Longer Available,Not Suspended,2024-02-13 10:34:03 PST
FCI BENNETTSVILLE,"1,655",No Longer Available,Not Suspended,2024-02-23 12:33:40 PST
FCI BENNETTSVILLE,"1,655",No Longer Available,Not Suspended,2024-02-24 11:29:09 PST
FCI BENNETTSVILLE,"1,660",No Longer Available,Not Suspended,2024-02-08 14:04:24 PST
FCI BENNETTSVILLE,"1,629",No Longer Available,Not Suspended,2024-03-03 21:02:56 PST
FCI BENNETTSVILLE,"1,620",No Longer Available,Suspended,2024-03-19 10:00:48 PDT
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-07 19:10:09 PST
FCI BENNETTSVILLE,"1,620",No Longer Available,Not Suspended,2024-03-21 10:07:13 PDT
FCI BENNETTSVILLE,"1,660",No Longer Available,Not Suspended,2024-02-09 10:11:34 PST
FCI BENNETTSVILLE,"1,646",No Longer Available,Not Suspended,2024-01-19 10:25:37 PST
FCI BENNETTSVILLE,"1,620",No Longer Available,Suspended,2024-03-20 10:03:24 PDT
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-02-01 14:03:43 PST
FCI BENNETTSVILLE,"1,660",No Longer Available,Suspended,2024-02-10 17:42:39 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-02 22:57:05 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-03 19:26:05 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-06 14:17:28 PST
FCI BENNETTSVILLE,"1,646",No Longer Available,Not Suspended,2024-01-23 10:09:09 PST
FCI BENNETTSVILLE,"1,660",No Longer Available,Not Suspended,2024-02-12 09:20:13 PST
FCI BENNETTSVILLE,"1,646",No Longer Available,Not Suspended,2024-01-22 10:07:44 PST
FCI BENNETTSVILLE,"1,646",No Longer Available,Not Suspended,2024-01-24 09:03:06 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-03 09:20:45 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-05 11:17:18 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-30 14:10:24 PST
FCI BENNETTSVILLE,"1,660",No Longer Available,Suspended,2024-02-11 10:54:40 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-28 20:21:29 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-26 10:13:41 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-27 14:38:10 PST
FCI BENNETTSVILLE,"1,633",No Longer Available,Not Suspended,2024-01-11 12:11:10 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-04 12:34:46 PST
FCI BENNETTSVILLE,"1,661",No Longer Available,Not Suspended,2024-01-18 10:15:10 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-29 09:44:25 PST
FCI BENNETTSVILLE,"1,633",No Longer Available,Not Suspended,2024-01-13 12:45:25 PST
FCI BENNETTSVILLE,"1,661",No Longer Available,Not Suspended,2024-01-17 10:11:39 PST
FCI BENNETTSVILLE,"1,661",No Longer Available,Not Suspended,2024-01-16 10:13:15 PST
FCI BENNETTSVILLE,"1,680",No Longer Available,Not Suspended,2024-01-25 11:32:28 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-10-22 11:21:04 PDT
FCI BENNETTSVILLE,"1,576",Level 1,Not Suspended,2023-09-28 16:06:40 PDT
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-28 06:46:06 PDT
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 18:21:22 PDT
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 15:41:59 PDT
FCI BENNETTSVILLE,"1,604",Level 1,Not Suspended,2023-11-03 15:58:07 PDT
FCI BENNETTSVILLE,"1,576",Level 1,Suspended,2023-10-02 14:13:56 PDT
FCI BENNETTSVILLE,"1,574",Level 1,Not Suspended,2023-12-13 10:45:43 PST
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 11:55:44 PDT
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-28 09:55:14 PDT
FCI BENNETTSVILLE,"1,582",Level 1,Not Suspended,2023-11-15 09:27:54 PST
FCI BENNETTSVILLE,"1,574",Level 1,Not Suspended,2023-12-12 16:27:56 PST
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 11:07:26 PDT
FCI BENNETTSVILLE,"1,574",Level 1,Not Suspended,2023-12-11 08:45:02 PST
FCI BENNETTSVILLE,"1,582",Level 1,Not Suspended,2023-11-12 09:18:17 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-20 08:59:19 PST
FCI BENNETTSVILLE,"1,574",Level 1,Not Suspended,2023-12-08 20:43:42 PST
FCI BENNETTSVILLE,"1,582",Level 1,Not Suspended,2023-11-13 09:24:50 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-29 11:20:42 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-29 10:39:05 PST
FCI BENNETTSVILLE,"1,633",Level 1,Not Suspended,2024-01-08 10:32:40 PST
FCI BENNETTSVILLE,"1,633",Level 1,Not Suspended,2024-01-09 10:12:45 PST
FCI BENNETTSVILLE,"1,607",Level 1,Not Suspended,2023-11-21 11:08:31 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-22 08:04:41 PST
FCI BENNETTSVILLE,"1,574",Level 1,Not Suspended,2023-12-07 16:48:41 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-28 11:30:46 PST
FCI BENNETTSVILLE,"1,651",Level 1,Not Suspended,2024-01-02 10:18:41 PST
FCI BENNETTSVILLE,"1,604",Level 1,Not Suspended,2023-11-10 10:36:19 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-18 06:53:59 PST
FCI BENNETTSVILLE,"1,609",Level 1,Not Suspended,2023-11-27 12:07:53 PST
FCI BENNETTSVILLE,"1,609",Level 1,Not Suspended,2023-11-28 10:19:05 PST
FCI BENNETTSVILLE,"1,607",Level 1,Not Suspended,2023-11-22 09:50:15 PST
FCI BENNETTSVILLE,"1,608",Level 1,Not Suspended,2023-12-27 10:08:21 PST
FCI BENNETTSVILLE,"1,633",Level 1,Not Suspended,2024-01-05 10:12:03 PST
FCI BENNETTSVILLE,"1,633",Level 1,Not Suspended,2024-01-04 10:10:46 PST
FCI BENNETTSVILLE,"1,607",Level 1,Not Suspended,2023-11-26 14:44:23 PST
FCI BENNETTSVILLE,"1,651",Level 1,Not Suspended,2024-01-03 09:45:01 PST
FCI BENNETTSVILLE,"1,633",Level 1,Not Suspended,2024-01-07 18:04:53 PST
FCI BENNETTSVILLE,"1,601",Level 1,Not Suspended,2023-12-01 11:21:02 PST
FCI BENNETTSVILLE,"1,601",Level 1,Not Suspended,2023-11-30 10:11:54 PST
FCI BENNETTSVILLE,"1,601",Level 1,Not Suspended,2023-12-04 14:43:39 PST
FCI BENNETTSVILLE,"1,601",Level 1,Not Suspended,2023-12-05 07:29:04 PST
FCI BENNETTSVILLE,"1,601",Level 1,Not Suspended,2023-12-03 10:45:59 PST
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 10:23:27 PDT
