title,population,operation_level,visiting_status,datetime_of_data
FCI BERLIN,793,No Longer Available,Not Suspended,2024-02-16 10:21:30 PST
FCI BERLIN,793,No Longer Available,Not Suspended,2024-02-20 10:16:26 PST
FCI BERLIN,793,No Longer Available,Not Suspended,2024-02-18 14:46:37 PST
FCI BERLIN,793,No Longer Available,Not Suspended,2024-02-19 07:53:30 PST
FCI BERLIN,789,No Longer Available,Not Suspended,2024-02-27 07:06:44 PST
FCI BERLIN,789,No Longer Available,Not Suspended,2024-02-26 18:19:03 PST
FCI BERLIN,802,No Longer Available,Not Suspended,2024-03-01 10:14:54 PST
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-13 10:34:18 PST
FCI BERLIN,789,No Longer Available,Not Suspended,2024-02-23 12:33:56 PST
FCI BERLIN,789,No Longer Available,Not Suspended,2024-02-24 11:29:24 PST
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-08 14:04:39 PST
FCI BERLIN,802,No Longer Available,Not Suspended,2024-03-03 21:03:11 PST
FCI BERLIN,835,No Longer Available,Not Suspended,2024-03-19 10:01:03 PDT
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-07 19:10:25 PST
FCI BERLIN,835,No Longer Available,Not Suspended,2024-03-21 10:07:29 PDT
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-09 10:11:50 PST
FCI BERLIN,768,No Longer Available,Not Suspended,2024-01-19 10:25:53 PST
FCI BERLIN,835,No Longer Available,Not Suspended,2024-03-20 10:03:40 PDT
FCI BERLIN,781,No Longer Available,Not Suspended,2024-02-01 14:03:59 PST
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-10 17:42:55 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-02 22:57:20 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-03 19:26:21 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-06 14:17:43 PST
FCI BERLIN,768,No Longer Available,Not Suspended,2024-01-23 10:09:24 PST
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-12 09:20:29 PST
FCI BERLIN,768,No Longer Available,Not Suspended,2024-01-22 10:08:00 PST
FCI BERLIN,768,No Longer Available,Not Suspended,2024-01-24 09:03:22 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-03 09:21:01 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-05 11:17:34 PST
FCI BERLIN,781,No Longer Available,Not Suspended,2024-01-30 14:10:40 PST
FCI BERLIN,794,No Longer Available,Not Suspended,2024-02-11 10:54:56 PST
FCI BERLIN,781,No Longer Available,Not Suspended,2024-01-28 20:21:45 PST
FCI BERLIN,781,No Longer Available,Not Suspended,2024-01-26 10:13:56 PST
FCI BERLIN,781,No Longer Available,Suspended,2024-01-27 14:38:25 PST
FCI BERLIN,769,No Longer Available,Not Suspended,2024-01-11 12:11:26 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-04 12:35:01 PST
FCI BERLIN,771,No Longer Available,Not Suspended,2024-01-18 10:15:25 PST
FCI BERLIN,781,No Longer Available,Not Suspended,2024-01-29 09:44:40 PST
FCI BERLIN,769,No Longer Available,Not Suspended,2024-01-13 12:45:40 PST
FCI BERLIN,771,No Longer Available,Not Suspended,2024-01-17 10:11:54 PST
FCI BERLIN,771,No Longer Available,Not Suspended,2024-01-16 10:13:31 PST
FCI BERLIN,781,No Longer Available,Not Suspended,2024-01-25 11:32:43 PST
FCI BERLIN,829,Level 1,Not Suspended,2023-10-22 11:21:20 PDT
FCI BERLIN,833,Level 1,Not Suspended,2023-09-28 16:06:55 PDT
FCI BERLIN,839,Level 1,Not Suspended,2023-09-28 06:46:21 PDT
FCI BERLIN,839,Level 1,Not Suspended,2023-09-27 18:21:37 PDT
FCI BERLIN,839,Level 1,Not Suspended,2023-09-27 15:42:15 PDT
FCI BERLIN,807,Level 1,Not Suspended,2023-11-03 15:58:22 PDT
FCI BERLIN,833,Level 1,Not Suspended,2023-10-02 14:14:11 PDT
FCI BERLIN,781,Level 1,Not Suspended,2023-12-13 10:45:58 PST
FCI BERLIN,839,Level 1,Not Suspended,2023-09-27 11:56:05 PDT
FCI BERLIN,839,Level 1,Not Suspended,2023-09-28 09:55:29 PDT
FCI BERLIN,803,Level 1,Not Suspended,2023-11-15 09:28:09 PST
FCI BERLIN,781,Level 1,Not Suspended,2023-12-12 16:28:11 PST
FCI BERLIN,839,Level 1,Not Suspended,2023-09-27 11:07:34 PDT
FCI BERLIN,781,Level 1,Not Suspended,2023-12-11 08:45:18 PST
FCI BERLIN,803,Level 1,Not Suspended,2023-11-12 09:18:33 PST
FCI BERLIN,771,Level 1,Not Suspended,2023-12-20 08:59:34 PST
FCI BERLIN,781,Level 1,Not Suspended,2023-12-08 20:43:57 PST
FCI BERLIN,803,Level 1,Not Suspended,2023-11-13 09:25:05 PST
FCI BERLIN,771,Level 1,Not Suspended,2023-12-29 11:20:58 PST
FCI BERLIN,771,Level 1,Not Suspended,2023-12-29 10:39:20 PST
FCI BERLIN,769,Level 1,Not Suspended,2024-01-08 10:32:56 PST
FCI BERLIN,769,Level 1,Not Suspended,2024-01-09 10:13:01 PST
FCI BERLIN,776,Level 1,Not Suspended,2023-11-21 11:08:47 PST
