title,population,operation_level,visiting_status,datetime_of_data
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-27 10:23:51 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-27 11:07:50 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-27 11:56:38 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-27 15:42:48 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-27 18:22:08 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-28 06:46:52 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-09-28 09:56:01 PDT
FCI BIG SPRING,1121,Level 1,Not Suspended,2023-09-28 16:07:26 PDT
FCI BIG SPRING,1121,Level 1,Not Suspended,2023-10-02 14:14:42 PDT
FCI BIG SPRING,1101,Level 1,Not Suspended,2023-10-22 11:21:51 PDT
FCI BIG SPRING,1096,Level 1,Not Suspended,2023-11-03 15:58:54 PDT
FCI BIG SPRING,1096,Level 1,Not Suspended,2023-11-10 10:37:06 PST
FCI BIG SPRING,1102,Level 1,Not Suspended,2023-11-12 09:19:03 PST
FCI BIG SPRING,1102,Level 1,Not Suspended,2023-11-13 09:25:36 PST
FCI BIG SPRING,1102,Level 1,Not Suspended,2023-11-15 09:28:41 PST
FCI BIG SPRING,1091,Level 1,Not Suspended,2023-11-21 11:09:18 PST
FCI BIG SPRING,1091,Level 1,Not Suspended,2023-11-22 09:51:02 PST
FCI BIG SPRING,1091,Level 1,Not Suspended,2023-11-26 14:45:10 PST
FCI BIG SPRING,1093,Level 1,Not Suspended,2023-11-27 12:08:39 PST
FCI BIG SPRING,1093,Level 1,Not Suspended,2023-11-28 10:19:52 PST
FCI BIG SPRING,1092,Level 1,Not Suspended,2023-11-30 10:12:41 PST
FCI BIG SPRING,1092,Level 1,Not Suspended,2023-12-01 11:21:49 PST
FCI BIG SPRING,1092,Level 1,Not Suspended,2023-12-03 10:46:46 PST
FCI BIG SPRING,1092,Level 1,Not Suspended,2023-12-04 14:44:26 PST
FCI BIG SPRING,1092,Level 1,Not Suspended,2023-12-05 07:29:51 PST
FCI BIG SPRING,1077,Level 1,Not Suspended,2023-12-07 16:49:29 PST
FCI BIG SPRING,1077,Level 1,Not Suspended,2023-12-08 20:44:28 PST
FCI BIG SPRING,1077,Level 1,Not Suspended,2023-12-11 08:45:48 PST
FCI BIG SPRING,1077,Level 1,Not Suspended,2023-12-12 16:28:43 PST
FCI BIG SPRING,1077,Level 1,Not Suspended,2023-12-13 10:46:29 PST
FCI BIG SPRING,1079,Level 1,Not Suspended,2023-12-18 06:54:45 PST
FCI BIG SPRING,1079,Level 1,Not Suspended,2023-12-20 09:00:05 PST
FCI BIG SPRING,1079,Level 1,Not Suspended,2023-12-22 08:05:27 PST
