title,population,operation_level,visiting_status,datetime_of_data
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 10:24:23 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 11:08:22 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 11:57:42 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 15:43:53 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 18:23:09 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-28 06:47:54 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-28 09:57:03 PDT
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-09-28 16:08:28 PDT
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-10-02 14:15:44 PDT
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-10-22 11:22:53 PDT
FCI BUTNER LOW,947,Level 1,Not Suspended,2023-11-03 15:59:55 PDT
FCI BUTNER LOW,947,Level 1,Not Suspended,2023-11-10 10:38:08 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2023-11-12 09:20:05 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2023-11-13 09:26:39 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2023-11-15 09:29:42 PST
FCI BUTNER LOW,954,Level 1,Not Suspended,2023-11-21 11:10:21 PST
FCI BUTNER LOW,954,Level 1,Not Suspended,2023-11-22 09:52:03 PST
FCI BUTNER LOW,954,Level 1,Not Suspended,2023-11-26 14:46:12 PST
FCI BUTNER LOW,959,Level 1,Not Suspended,2023-11-27 12:09:41 PST
FCI BUTNER LOW,959,Level 1,Not Suspended,2023-11-28 10:20:54 PST
FCI BUTNER LOW,957,Level 1,Not Suspended,2023-11-30 10:13:43 PST
FCI BUTNER LOW,957,Level 1,Suspended,2023-12-01 11:22:51 PST
FCI BUTNER LOW,957,Level 1,Suspended,2023-12-03 10:47:47 PST
FCI BUTNER LOW,957,Level 1,Suspended,2023-12-04 14:45:28 PST
FCI BUTNER LOW,957,Level 1,Suspended,2023-12-05 07:30:53 PST
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-12-07 16:50:31 PST
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-12-08 20:45:30 PST
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-12-11 08:46:50 PST
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-12-12 16:29:44 PST
FCI BUTNER LOW,952,Level 1,Not Suspended,2023-12-13 10:47:30 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-18 06:55:47 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-20 09:01:07 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-22 08:06:30 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-27 10:10:09 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-28 11:32:33 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-29 10:40:53 PST
FCI BUTNER LOW,958,Level 1,Not Suspended,2023-12-29 11:22:30 PST
FCI BUTNER LOW,956,Level 1,Not Suspended,2024-01-02 10:20:29 PST
FCI BUTNER LOW,956,Level 1,Not Suspended,2024-01-03 09:46:51 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2024-01-04 10:12:34 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2024-01-05 10:13:53 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2024-01-07 18:06:41 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2024-01-08 10:34:28 PST
FCI BUTNER LOW,955,Level 1,Not Suspended,2024-01-09 10:14:34 PST
FCI BUTNER LOW,955,No Longer Available,Not Suspended,2024-01-11 12:13:00 PST
FCI BUTNER LOW,955,No Longer Available,Not Suspended,2024-01-13 12:47:13 PST
