title,population,operation_level,visiting_status,datetime_of_data
FCI BUTNER MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-02-16 10:22:49 PST
FCI BUTNER MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-02-20 10:17:44 PST
FCI BUTNER MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-02-18 14:47:55 PST
FCI BUTNER MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-02-19 07:54:49 PST
FCI BUTNER MEDIUM II,"1,370",No Longer Available,Suspended,2024-02-27 07:08:02 PST
FCI BUTNER MEDIUM II,"1,370",No Longer Available,Suspended,2024-02-26 18:20:20 PST
FCI BUTNER MEDIUM II,"1,365",No Longer Available,Suspended,2024-03-01 10:16:13 PST
FCI BUTNER MEDIUM II,"1,392",No Longer Available,Not Suspended,2024-02-13 10:35:37 PST
FCI BUTNER MEDIUM II,"1,370",No Longer Available,Suspended,2024-02-23 12:35:14 PST
FCI BUTNER MEDIUM II,"1,370",No Longer Available,Suspended,2024-02-24 11:30:42 PST
FCI BUTNER MEDIUM II,"1,392",No Longer Available,Not Suspended,2024-02-08 14:05:57 PST
FCI BUTNER MEDIUM II,"1,365",No Longer Available,Suspended,2024-03-03 21:04:30 PST
FCI BUTNER MEDIUM II,"1,361",No Longer Available,Suspended,2024-03-19 10:02:23 PDT
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-07 19:11:43 PST
FCI BUTNER MEDIUM II,"1,361",No Longer Available,Suspended,2024-03-21 10:08:47 PDT
FCI BUTNER MEDIUM II,"1,392",No Longer Available,Not Suspended,2024-02-09 10:13:08 PST
FCI BUTNER MEDIUM II,"1,430",No Longer Available,Not Suspended,2024-01-19 10:27:10 PST
FCI BUTNER MEDIUM II,"1,361",No Longer Available,Suspended,2024-03-20 10:04:58 PDT
FCI BUTNER MEDIUM II,"1,417",No Longer Available,Not Suspended,2024-02-01 14:05:17 PST
FCI BUTNER MEDIUM II,"1,392",No Longer Available,Not Suspended,2024-02-10 17:44:14 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-02 22:58:38 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-03 19:27:40 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-06 14:19:02 PST
FCI BUTNER MEDIUM II,"1,430",No Longer Available,Not Suspended,2024-01-23 10:10:43 PST
FCI BUTNER MEDIUM II,"1,392",No Longer Available,Not Suspended,2024-02-12 09:21:49 PST
FCI BUTNER MEDIUM II,"1,430",No Longer Available,Not Suspended,2024-01-22 10:09:17 PST
FCI BUTNER MEDIUM II,"1,430",No Longer Available,Not Suspended,2024-01-24 09:04:39 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-03 09:22:19 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-05 11:18:51 PST
FCI BUTNER MEDIUM II,"1,417",No Longer Available,Not Suspended,2024-01-30 14:11:58 PST
