title,population,operation_level,visiting_status,datetime_of_data
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-02-16 10:23:21 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-02-20 10:18:15 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-02-18 14:48:27 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-02-19 07:55:21 PST
FCI BUTNER MEDIUM I,867,No Longer Available,Not Suspended,2024-02-27 07:08:34 PST
FCI BUTNER MEDIUM I,867,No Longer Available,Not Suspended,2024-02-26 18:20:51 PST
FCI BUTNER MEDIUM I,864,No Longer Available,Not Suspended,2024-03-01 10:16:44 PST
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-13 10:36:08 PST
FCI BUTNER MEDIUM I,867,No Longer Available,Not Suspended,2024-02-23 12:35:45 PST
FCI BUTNER MEDIUM I,867,No Longer Available,Not Suspended,2024-02-24 11:31:13 PST
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-08 14:06:28 PST
FCI BUTNER MEDIUM I,864,No Longer Available,Not Suspended,2024-03-03 21:05:01 PST
FCI BUTNER MEDIUM I,860,No Longer Available,Not Suspended,2024-03-19 10:02:54 PDT
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-07 19:12:14 PST
FCI BUTNER MEDIUM I,860,No Longer Available,Not Suspended,2024-03-21 10:09:18 PDT
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-09 10:13:39 PST
FCI BUTNER MEDIUM I,889,No Longer Available,Not Suspended,2024-01-19 10:27:41 PST
FCI BUTNER MEDIUM I,860,No Longer Available,Not Suspended,2024-03-20 10:05:29 PDT
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-02-01 14:05:48 PST
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-10 17:44:45 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-02 22:59:09 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-03 19:28:11 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-06 14:19:33 PST
FCI BUTNER MEDIUM I,889,No Longer Available,Not Suspended,2024-01-23 10:11:14 PST
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-12 09:22:23 PST
FCI BUTNER MEDIUM I,889,No Longer Available,Not Suspended,2024-01-22 10:09:48 PST
FCI BUTNER MEDIUM I,889,No Longer Available,Not Suspended,2024-01-24 09:05:10 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-03 09:22:50 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-05 11:19:22 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-30 14:12:29 PST
FCI BUTNER MEDIUM I,872,No Longer Available,Not Suspended,2024-02-11 10:56:45 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-28 20:23:33 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-26 10:15:46 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-27 14:40:16 PST
FCI BUTNER MEDIUM I,879,No Longer Available,Not Suspended,2024-01-11 12:13:16 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-04 12:36:51 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-01-18 10:17:14 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-29 09:46:29 PST
FCI BUTNER MEDIUM I,879,No Longer Available,Not Suspended,2024-01-13 12:47:28 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-01-17 10:13:43 PST
FCI BUTNER MEDIUM I,874,No Longer Available,Not Suspended,2024-01-16 10:15:21 PST
FCI BUTNER MEDIUM I,886,No Longer Available,Not Suspended,2024-01-25 11:34:31 PST
FCI BUTNER MEDIUM I,858,Level 1,Not Suspended,2023-10-22 11:23:08 PDT
FCI BUTNER MEDIUM I,858,Level 1,Not Suspended,2023-09-28 16:08:43 PDT
FCI BUTNER MEDIUM I,851,Level 1,Not Suspended,2023-09-28 06:48:10 PDT
FCI BUTNER MEDIUM I,851,Level 1,Not Suspended,2023-09-27 18:23:25 PDT
