title,population,operation_level,visiting_status,datetime_of_data
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-27 10:25:11 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-27 11:09:12 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-27 11:59:20 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-27 15:45:29 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-27 18:24:42 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-28 06:49:27 PDT
FCI COLEMAN LOW,2055,Level 1,Not Suspended,2023-09-28 09:58:38 PDT
FCI COLEMAN LOW,2057,Level 1,Not Suspended,2023-09-28 16:10:02 PDT
FCI COLEMAN LOW,2057,Level 1,Not Suspended,2023-10-02 14:17:18 PDT
FCI COLEMAN LOW,2065,Level 1,Not Suspended,2023-10-22 11:24:25 PDT
FCI COLEMAN LOW,2048,Level 1,Not Suspended,2023-11-03 16:01:29 PDT
FCI COLEMAN LOW,2048,Level 1,Suspended,2023-11-10 10:39:40 PST
FCI COLEMAN LOW,2042,Level 1,Suspended,2023-11-12 09:21:37 PST
FCI COLEMAN LOW,2042,Level 1,Suspended,2023-11-13 09:28:14 PST
FCI COLEMAN LOW,2042,Level 1,Suspended,2023-11-15 09:31:14 PST
FCI COLEMAN LOW,2038,Level 1,Suspended,2023-11-21 11:11:54 PST
FCI COLEMAN LOW,2038,Level 1,Suspended,2023-11-22 09:53:37 PST
FCI COLEMAN LOW,2038,Level 1,Suspended,2023-11-26 14:47:45 PST
FCI COLEMAN LOW,2031,Level 1,Suspended,2023-11-27 12:11:14 PST
FCI COLEMAN LOW,2031,Level 1,Suspended,2023-11-28 10:22:27 PST
FCI COLEMAN LOW,2014,Level 1,Suspended,2023-11-30 10:15:16 PST
FCI COLEMAN LOW,2014,Level 1,Suspended,2023-12-01 11:24:24 PST
FCI COLEMAN LOW,2014,Level 1,Suspended,2023-12-03 10:49:20 PST
FCI COLEMAN LOW,2014,Level 1,Suspended,2023-12-04 14:47:02 PST
FCI COLEMAN LOW,2014,Level 1,Suspended,2023-12-05 07:32:28 PST
FCI COLEMAN LOW,2020,Level 1,Suspended,2023-12-07 16:52:06 PST
FCI COLEMAN LOW,2020,Level 1,Suspended,2023-12-08 20:47:02 PST
FCI COLEMAN LOW,2020,Level 1,Suspended,2023-12-11 08:48:25 PST
FCI COLEMAN LOW,2020,Level 1,Suspended,2023-12-12 16:31:17 PST
FCI COLEMAN LOW,2020,Level 1,Suspended,2023-12-13 10:49:02 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-18 06:57:20 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-20 09:02:39 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-22 08:08:03 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-27 10:11:41 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-28 11:34:05 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-29 10:42:26 PST
FCI COLEMAN LOW,2009,Level 1,Suspended,2023-12-29 11:24:03 PST
FCI COLEMAN LOW,2028,Level 1,Not Suspended,2024-01-02 10:22:02 PST
FCI COLEMAN LOW,2028,Level 1,Not Suspended,2024-01-03 09:48:24 PST
FCI COLEMAN LOW,2028,Level 1,Suspended,2024-01-04 10:14:07 PST
FCI COLEMAN LOW,2028,Level 1,Suspended,2024-01-05 10:15:27 PST
FCI COLEMAN LOW,2028,Level 1,Suspended,2024-01-07 18:08:13 PST
FCI COLEMAN LOW,2028,Level 1,Not Suspended,2024-01-08 10:36:00 PST
FCI COLEMAN LOW,2028,Level 1,Not Suspended,2024-01-09 10:16:08 PST
FCI COLEMAN LOW,2028,No Longer Available,Not Suspended,2024-01-11 12:14:34 PST
FCI COLEMAN LOW,2028,No Longer Available,Not Suspended,2024-01-13 12:48:45 PST
FCI COLEMAN LOW,2056,No Longer Available,Not Suspended,2024-01-16 10:16:38 PST
FCI COLEMAN LOW,2056,No Longer Available,Not Suspended,2024-01-17 10:15:00 PST
FCI COLEMAN LOW,2056,No Longer Available,Not Suspended,2024-01-18 10:18:33 PST
FCI COLEMAN LOW,2050,No Longer Available,Not Suspended,2024-01-19 10:28:59 PST
FCI COLEMAN LOW,2050,No Longer Available,Not Suspended,2024-01-22 10:11:06 PST
FCI COLEMAN LOW,2050,No Longer Available,Not Suspended,2024-01-23 10:12:33 PST
FCI COLEMAN LOW,2050,No Longer Available,Not Suspended,2024-01-24 09:06:28 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-25 11:35:49 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-26 10:17:03 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-27 14:41:34 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-28 20:24:50 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-29 09:47:47 PST
FCI COLEMAN LOW,2060,No Longer Available,Not Suspended,2024-01-30 14:13:48 PST
