title,population,operation_level,visiting_status,datetime_of_data
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-27 10:25:19 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-27 11:09:20 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-27 11:59:36 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-27 15:45:45 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-27 18:24:57 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-28 06:49:43 PDT
FCI COLEMAN MEDIUM,1562,Level 1,Not Suspended,2023-09-28 09:58:53 PDT
FCI COLEMAN MEDIUM,1556,Level 1,Not Suspended,2023-09-28 16:10:17 PDT
FCI COLEMAN MEDIUM,1556,Level 1,Not Suspended,2023-10-02 14:17:33 PDT
FCI COLEMAN MEDIUM,1552,Level 1,Suspended,2023-10-22 11:24:41 PDT
FCI COLEMAN MEDIUM,1559,Level 1,Not Suspended,2023-11-03 16:01:44 PDT
FCI COLEMAN MEDIUM,1559,Level 1,Not Suspended,2023-11-10 10:39:56 PST
FCI COLEMAN MEDIUM,1571,Level 1,Suspended,2023-11-12 09:21:52 PST
FCI COLEMAN MEDIUM,1571,Level 1,Not Suspended,2023-11-13 09:28:30 PST
FCI COLEMAN MEDIUM,1571,Level 1,Not Suspended,2023-11-15 09:31:30 PST
FCI COLEMAN MEDIUM,1568,Level 1,Not Suspended,2023-11-21 11:12:09 PST
FCI COLEMAN MEDIUM,1568,Level 1,Not Suspended,2023-11-22 09:53:52 PST
FCI COLEMAN MEDIUM,1568,Level 1,Not Suspended,2023-11-26 14:48:00 PST
FCI COLEMAN MEDIUM,1568,Level 1,Not Suspended,2023-11-27 12:11:29 PST
FCI COLEMAN MEDIUM,1568,Level 1,Not Suspended,2023-11-28 10:22:42 PST
FCI COLEMAN MEDIUM,1564,Level 1,Not Suspended,2023-11-30 10:15:31 PST
FCI COLEMAN MEDIUM,1564,Level 1,Not Suspended,2023-12-01 11:24:40 PST
FCI COLEMAN MEDIUM,1564,Level 1,Not Suspended,2023-12-03 10:49:36 PST
FCI COLEMAN MEDIUM,1564,Level 1,Not Suspended,2023-12-04 14:47:17 PST
FCI COLEMAN MEDIUM,1564,Level 1,Not Suspended,2023-12-05 07:32:43 PST
