title,population,operation_level,visiting_status,datetime_of_data
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-16 10:25:43 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-20 10:20:38 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-18 14:50:49 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-19 07:57:42 PST
FCI CUMBERLAND,"1,061",No Longer Available,Not Suspended,2024-02-27 07:10:56 PST
FCI CUMBERLAND,"1,061",No Longer Available,Not Suspended,2024-02-26 18:23:11 PST
FCI CUMBERLAND,"1,059",No Longer Available,Not Suspended,2024-03-01 10:19:03 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-13 10:38:29 PST
FCI CUMBERLAND,"1,061",No Longer Available,Not Suspended,2024-02-23 12:38:06 PST
FCI CUMBERLAND,"1,061",No Longer Available,Not Suspended,2024-02-24 11:33:34 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-08 14:08:49 PST
FCI CUMBERLAND,"1,059",No Longer Available,Not Suspended,2024-03-03 21:07:22 PST
FCI CUMBERLAND,"1,040",No Longer Available,Not Suspended,2024-03-19 10:05:15 PDT
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-07 19:14:34 PST
FCI CUMBERLAND,"1,040",No Longer Available,Not Suspended,2024-03-21 10:11:44 PDT
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-09 10:16:00 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-01-19 10:30:01 PST
FCI CUMBERLAND,"1,040",No Longer Available,Not Suspended,2024-03-20 10:07:51 PDT
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-02-01 14:08:07 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-10 17:47:08 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-02 23:01:30 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-03 19:30:33 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-06 14:21:54 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-01-23 10:13:36 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-12 09:24:48 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-01-22 10:12:08 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-01-24 09:07:29 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-03 09:25:10 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-05 11:21:42 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-30 14:14:51 PST
FCI CUMBERLAND,"1,056",No Longer Available,Not Suspended,2024-02-11 10:59:05 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-28 20:25:52 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-26 10:18:06 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-27 14:42:36 PST
FCI CUMBERLAND,"1,053",No Longer Available,Not Suspended,2024-01-11 12:15:37 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-04 12:39:11 PST
FCI CUMBERLAND,"1,041",No Longer Available,Not Suspended,2024-01-18 10:19:37 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-29 09:48:48 PST
FCI CUMBERLAND,"1,053",No Longer Available,Not Suspended,2024-01-13 12:49:47 PST
FCI CUMBERLAND,"1,041",No Longer Available,Not Suspended,2024-01-17 10:16:03 PST
FCI CUMBERLAND,"1,041",No Longer Available,Not Suspended,2024-01-16 10:17:41 PST
FCI CUMBERLAND,"1,044",No Longer Available,Not Suspended,2024-01-25 11:36:51 PST
