title,population,operation_level,visiting_status,datetime_of_data
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 10:25:52 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 11:09:53 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 12:00:42 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 15:46:51 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 18:25:59 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-28 06:50:45 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-28 09:59:56 PDT
FCI DANBURY,935,Level 1,Not Suspended,2023-09-28 16:11:19 PDT
FCI DANBURY,935,Level 1,Not Suspended,2023-10-02 14:18:36 PDT
FCI DANBURY,925,Level 1,Not Suspended,2023-10-22 11:25:43 PDT
FCI DANBURY,916,Level 1,Not Suspended,2023-11-03 16:02:46 PDT
FCI DANBURY,916,Level 1,Not Suspended,2023-11-10 10:40:59 PST
FCI DANBURY,939,Level 1,Not Suspended,2023-11-12 09:22:54 PST
FCI DANBURY,939,Level 1,Not Suspended,2023-11-13 09:29:32 PST
FCI DANBURY,939,Level 1,Not Suspended,2023-11-15 09:32:32 PST
FCI DANBURY,940,Level 1,Not Suspended,2023-11-21 11:13:12 PST
FCI DANBURY,940,Level 1,Not Suspended,2023-11-22 09:54:54 PST
FCI DANBURY,940,Level 1,Not Suspended,2023-11-26 14:49:02 PST
FCI DANBURY,929,Level 1,Not Suspended,2023-11-27 12:12:31 PST
FCI DANBURY,929,Level 1,Not Suspended,2023-11-28 10:23:44 PST
FCI DANBURY,932,Level 1,Not Suspended,2023-11-30 10:16:34 PST
FCI DANBURY,932,Level 1,Not Suspended,2023-12-01 11:25:50 PST
FCI DANBURY,932,Level 1,Not Suspended,2023-12-03 10:50:38 PST
FCI DANBURY,932,Level 1,Not Suspended,2023-12-04 14:48:19 PST
FCI DANBURY,932,Level 1,Not Suspended,2023-12-05 07:33:46 PST
FCI DANBURY,951,Level 1,Suspended,2023-12-07 16:53:26 PST
FCI DANBURY,951,Level 1,Suspended,2023-12-08 20:48:20 PST
FCI DANBURY,951,Level 1,Suspended,2023-12-11 08:49:43 PST
FCI DANBURY,951,Level 2,Suspended,2023-12-12 16:32:35 PST
FCI DANBURY,951,Level 2,Suspended,2023-12-13 10:50:20 PST
