title,population,operation_level,visiting_status,datetime_of_data
FCI DUBLIN,667,No Longer Available,Not Suspended,2024-02-16 10:26:30 PST
FCI DUBLIN,667,No Longer Available,Not Suspended,2024-02-20 10:21:24 PST
FCI DUBLIN,667,No Longer Available,Not Suspended,2024-02-18 14:51:36 PST
FCI DUBLIN,667,No Longer Available,Not Suspended,2024-02-19 07:58:30 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-02-27 07:11:43 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-02-26 18:23:58 PST
FCI DUBLIN,646,No Longer Available,Not Suspended,2024-03-01 10:19:50 PST
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-13 10:39:16 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-02-23 12:38:53 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-02-24 11:34:20 PST
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-08 14:09:36 PST
FCI DUBLIN,646,No Longer Available,Not Suspended,2024-03-03 21:08:09 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-03-19 10:06:02 PDT
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-07 19:15:21 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-03-21 10:12:32 PDT
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-09 10:16:46 PST
FCI DUBLIN,679,No Longer Available,Not Suspended,2024-01-19 10:30:48 PST
FCI DUBLIN,656,No Longer Available,Not Suspended,2024-03-20 10:08:38 PDT
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-02-01 14:08:54 PST
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-10 17:47:55 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-02 23:02:17 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-03 19:31:20 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-06 14:22:41 PST
FCI DUBLIN,679,No Longer Available,Not Suspended,2024-01-23 10:14:22 PST
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-12 09:25:36 PST
FCI DUBLIN,679,No Longer Available,Not Suspended,2024-01-22 10:12:54 PST
FCI DUBLIN,679,No Longer Available,Not Suspended,2024-01-24 09:08:16 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-03 09:25:57 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-05 11:22:29 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-30 14:15:39 PST
FCI DUBLIN,673,No Longer Available,Not Suspended,2024-02-11 10:59:52 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-28 20:26:38 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-26 10:18:52 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-27 14:43:24 PST
FCI DUBLIN,704,No Longer Available,Not Suspended,2024-01-11 12:16:23 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-04 12:39:57 PST
FCI DUBLIN,689,No Longer Available,Not Suspended,2024-01-18 10:20:24 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-29 09:49:35 PST
FCI DUBLIN,704,No Longer Available,Not Suspended,2024-01-13 12:50:33 PST
FCI DUBLIN,689,No Longer Available,Not Suspended,2024-01-17 10:16:49 PST
FCI DUBLIN,689,No Longer Available,Not Suspended,2024-01-16 10:18:28 PST
FCI DUBLIN,700,No Longer Available,Not Suspended,2024-01-25 11:37:39 PST
FCI DUBLIN,714,Level 1,Not Suspended,2023-10-22 11:26:14 PDT
FCI DUBLIN,709,Level 1,Not Suspended,2023-09-28 16:11:50 PDT
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-28 06:51:16 PDT
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-27 18:26:30 PDT
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-27 15:47:23 PDT
FCI DUBLIN,685,Level 1,Not Suspended,2023-11-03 16:03:17 PDT
FCI DUBLIN,709,Level 1,Not Suspended,2023-10-02 14:19:07 PDT
FCI DUBLIN,719,Level 1,Not Suspended,2023-12-13 10:50:50 PST
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-27 12:01:14 PDT
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-28 10:00:27 PDT
FCI DUBLIN,714,Level 1,Not Suspended,2023-11-15 09:33:02 PST
FCI DUBLIN,719,Level 1,Not Suspended,2023-12-12 16:33:05 PST
FCI DUBLIN,694,Level 1,Not Suspended,2023-09-27 11:10:10 PDT
FCI DUBLIN,719,Level 1,Not Suspended,2023-12-11 08:50:14 PST
FCI DUBLIN,714,Level 1,Not Suspended,2023-11-12 09:23:25 PST
FCI DUBLIN,710,Level 1,Not Suspended,2023-12-20 09:04:27 PST
FCI DUBLIN,719,Level 1,Not Suspended,2023-12-08 20:48:50 PST
