title,population,operation_level,visiting_status,datetime_of_data
FCI EDGEFIELD,"2,064",No Longer Available,Not Suspended,2024-02-16 10:27:01 PST
FCI EDGEFIELD,"2,064",No Longer Available,Not Suspended,2024-02-20 10:21:56 PST
FCI EDGEFIELD,"2,064",No Longer Available,Not Suspended,2024-02-18 14:52:06 PST
FCI EDGEFIELD,"2,064",No Longer Available,Not Suspended,2024-02-19 07:59:01 PST
FCI EDGEFIELD,"2,042",No Longer Available,Not Suspended,2024-02-27 07:12:14 PST
FCI EDGEFIELD,"2,042",No Longer Available,Not Suspended,2024-02-26 18:24:29 PST
FCI EDGEFIELD,"2,045",No Longer Available,Not Suspended,2024-03-01 10:20:21 PST
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-13 10:39:47 PST
FCI EDGEFIELD,"2,042",No Longer Available,Not Suspended,2024-02-23 12:39:24 PST
FCI EDGEFIELD,"2,042",No Longer Available,Not Suspended,2024-02-24 11:34:52 PST
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-08 14:10:08 PST
FCI EDGEFIELD,"2,045",No Longer Available,Not Suspended,2024-03-03 21:08:41 PST
FCI EDGEFIELD,"2,038",No Longer Available,Not Suspended,2024-03-19 10:06:34 PDT
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-07 19:15:52 PST
FCI EDGEFIELD,"2,038",No Longer Available,Not Suspended,2024-03-21 10:13:03 PDT
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-09 10:17:17 PST
FCI EDGEFIELD,"2,083",No Longer Available,Not Suspended,2024-01-19 10:31:19 PST
FCI EDGEFIELD,"2,038",No Longer Available,Not Suspended,2024-03-20 10:09:09 PDT
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-02-01 14:09:25 PST
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-10 17:48:26 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-02 23:02:48 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-03 19:31:52 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-06 14:23:12 PST
FCI EDGEFIELD,"2,083",No Longer Available,Not Suspended,2024-01-23 10:14:53 PST
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-12 09:26:10 PST
FCI EDGEFIELD,"2,083",No Longer Available,Not Suspended,2024-01-22 10:13:25 PST
FCI EDGEFIELD,"2,083",No Longer Available,Not Suspended,2024-01-24 09:08:46 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-03 09:26:29 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-05 11:23:00 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-30 14:16:10 PST
FCI EDGEFIELD,"2,054",No Longer Available,Not Suspended,2024-02-11 11:00:23 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-28 20:27:09 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-26 10:19:23 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-27 14:43:55 PST
FCI EDGEFIELD,"2,031",No Longer Available,Not Suspended,2024-01-11 12:16:54 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-04 12:40:28 PST
FCI EDGEFIELD,"2,022",No Longer Available,Not Suspended,2024-01-18 10:20:55 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-29 09:50:06 PST
FCI EDGEFIELD,"2,031",No Longer Available,Not Suspended,2024-01-13 12:51:04 PST
FCI EDGEFIELD,"2,022",No Longer Available,Not Suspended,2024-01-17 10:17:20 PST
FCI EDGEFIELD,"2,022",No Longer Available,Not Suspended,2024-01-16 10:19:00 PST
FCI EDGEFIELD,"2,071",No Longer Available,Not Suspended,2024-01-25 11:38:10 PST
FCI EDGEFIELD,"1,977",Level 1,Not Suspended,2023-10-22 11:26:44 PDT
FCI EDGEFIELD,"1,998",Level 1,Not Suspended,2023-09-28 16:12:21 PDT
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-28 06:51:47 PDT
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-27 18:27:01 PDT
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-27 15:47:55 PDT
FCI EDGEFIELD,"1,972",Level 1,Not Suspended,2023-11-03 16:03:48 PDT
FCI EDGEFIELD,"1,998",Level 1,Not Suspended,2023-10-02 14:19:39 PDT
FCI EDGEFIELD,"1,978",Level 1,Not Suspended,2023-12-13 10:51:21 PST
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-27 12:01:47 PDT
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-28 10:00:58 PDT
FCI EDGEFIELD,"1,983",Level 1,Not Suspended,2023-11-15 09:33:33 PST
FCI EDGEFIELD,"1,978",Level 1,Not Suspended,2023-12-12 16:33:36 PST
FCI EDGEFIELD,"2,009",Level 1,Not Suspended,2023-09-27 11:10:26 PDT
FCI EDGEFIELD,"1,978",Level 1,Not Suspended,2023-12-11 08:50:44 PST
FCI EDGEFIELD,"1,983",Level 1,Not Suspended,2023-11-12 09:23:56 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-20 09:04:58 PST
FCI EDGEFIELD,"1,978",Level 1,Not Suspended,2023-12-08 20:49:21 PST
FCI EDGEFIELD,"1,983",Level 1,Not Suspended,2023-11-13 09:30:35 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-29 11:26:21 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-29 10:44:46 PST
FCI EDGEFIELD,"2,031",Level 1,Not Suspended,2024-01-08 10:38:20 PST
FCI EDGEFIELD,"2,031",Level 1,Not Suspended,2024-01-09 10:18:28 PST
FCI EDGEFIELD,"2,003",Level 1,Not Suspended,2023-11-21 11:14:14 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-22 08:10:22 PST
FCI EDGEFIELD,"1,978",Level 1,Not Suspended,2023-12-07 16:54:30 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-28 11:36:24 PST
FCI EDGEFIELD,"2,014",Level 1,Not Suspended,2024-01-02 10:24:23 PST
FCI EDGEFIELD,"1,972",Level 1,Not Suspended,2023-11-10 10:42:01 PST
FCI EDGEFIELD,"2,002",Level 1,Not Suspended,2023-12-18 06:59:39 PST
