title,population,operation_level,visiting_status,datetime_of_data
FCI EL RENO,"1,209",No Longer Available,Not Suspended,2024-02-16 10:27:17 PST
FCI EL RENO,"1,209",No Longer Available,Not Suspended,2024-02-20 10:22:12 PST
FCI EL RENO,"1,209",No Longer Available,Not Suspended,2024-02-18 14:52:22 PST
FCI EL RENO,"1,209",No Longer Available,Not Suspended,2024-02-19 07:59:17 PST
FCI EL RENO,"1,200",No Longer Available,Not Suspended,2024-02-27 07:12:30 PST
FCI EL RENO,"1,200",No Longer Available,Not Suspended,2024-02-26 18:24:44 PST
FCI EL RENO,"1,190",No Longer Available,Not Suspended,2024-03-01 10:20:36 PST
FCI EL RENO,"1,210",No Longer Available,Not Suspended,2024-02-13 10:40:03 PST
FCI EL RENO,"1,200",No Longer Available,Not Suspended,2024-02-23 12:39:39 PST
FCI EL RENO,"1,200",No Longer Available,Not Suspended,2024-02-24 11:35:08 PST
FCI EL RENO,"1,210",No Longer Available,Not Suspended,2024-02-08 14:10:24 PST
FCI EL RENO,"1,190",No Longer Available,Not Suspended,2024-03-03 21:08:57 PST
FCI EL RENO,"1,195",No Longer Available,Not Suspended,2024-03-19 10:06:52 PDT
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-07 19:16:08 PST
FCI EL RENO,"1,195",No Longer Available,Not Suspended,2024-03-21 10:13:19 PDT
FCI EL RENO,"1,210",No Longer Available,Suspended,2024-02-09 10:17:33 PST
FCI EL RENO,"1,217",No Longer Available,Not Suspended,2024-01-19 10:31:35 PST
FCI EL RENO,"1,195",No Longer Available,Not Suspended,2024-03-20 10:09:25 PDT
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-01 14:09:41 PST
FCI EL RENO,"1,210",No Longer Available,Suspended,2024-02-10 17:48:42 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-02 23:03:03 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-03 19:32:08 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-06 14:23:28 PST
FCI EL RENO,"1,217",No Longer Available,Not Suspended,2024-01-23 10:15:10 PST
FCI EL RENO,"1,210",No Longer Available,Suspended,2024-02-12 09:26:25 PST
FCI EL RENO,"1,217",No Longer Available,Not Suspended,2024-01-22 10:13:40 PST
FCI EL RENO,"1,217",No Longer Available,Not Suspended,2024-01-24 09:09:02 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-03 09:26:44 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-05 11:23:15 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-30 14:16:26 PST
FCI EL RENO,"1,210",No Longer Available,Suspended,2024-02-11 11:00:39 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-28 20:27:25 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-26 10:19:39 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-27 14:44:11 PST
FCI EL RENO,"1,222",No Longer Available,Not Suspended,2024-01-11 12:17:10 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-04 12:40:44 PST
FCI EL RENO,"1,215",No Longer Available,Not Suspended,2024-01-18 10:21:11 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-29 09:50:21 PST
FCI EL RENO,"1,222",No Longer Available,Not Suspended,2024-01-13 12:51:20 PST
FCI EL RENO,"1,215",No Longer Available,Not Suspended,2024-01-17 10:17:36 PST
FCI EL RENO,"1,215",No Longer Available,Not Suspended,2024-01-16 10:19:16 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-01-25 11:38:26 PST
FCI EL RENO,"1,243",Level 1,Suspended,2023-10-22 11:27:00 PDT
FCI EL RENO,"1,271",Level 1,Not Suspended,2023-09-28 16:12:36 PDT
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-28 06:52:03 PDT
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-27 18:27:16 PDT
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-27 15:48:13 PDT
FCI EL RENO,"1,241",Level 1,Not Suspended,2023-11-03 16:04:04 PDT
FCI EL RENO,"1,271",Level 1,Not Suspended,2023-10-02 14:19:54 PDT
FCI EL RENO,"1,233",Level 1,Not Suspended,2023-12-13 10:51:36 PST
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-27 12:02:03 PDT
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-28 10:01:15 PDT
FCI EL RENO,"1,238",Level 1,Not Suspended,2023-11-15 09:33:49 PST
FCI EL RENO,"1,233",Level 1,Not Suspended,2023-12-12 16:33:52 PST
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-27 11:10:34 PDT
FCI EL RENO,"1,233",Level 1,Not Suspended,2023-12-11 08:51:00 PST
FCI EL RENO,"1,238",Level 1,Not Suspended,2023-11-12 09:24:12 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-20 09:05:13 PST
FCI EL RENO,"1,233",Level 1,Not Suspended,2023-12-08 20:49:37 PST
FCI EL RENO,"1,238",Level 1,Not Suspended,2023-11-13 09:30:51 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-29 11:26:37 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-29 10:45:01 PST
FCI EL RENO,"1,222",Level 1,Not Suspended,2024-01-08 10:38:36 PST
FCI EL RENO,"1,222",Level 1,Not Suspended,2024-01-09 10:18:44 PST
FCI EL RENO,"1,245",Level 1,Not Suspended,2023-11-21 11:14:31 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-22 08:10:38 PST
FCI EL RENO,"1,233",Level 1,Not Suspended,2023-12-07 16:54:47 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-28 11:36:39 PST
FCI EL RENO,"1,215",Level 1,Not Suspended,2024-01-02 10:24:41 PST
FCI EL RENO,"1,241",Level 1,Not Suspended,2023-11-10 10:42:17 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-18 06:59:55 PST
FCI EL RENO,"1,237",Level 1,Not Suspended,2023-11-27 12:13:49 PST
FCI EL RENO,"1,237",Level 1,Not Suspended,2023-11-28 10:25:02 PST
FCI EL RENO,"1,245",Level 1,Not Suspended,2023-11-22 09:56:11 PST
FCI EL RENO,"1,223",Level 1,Not Suspended,2023-12-27 10:14:16 PST
FCI EL RENO,"1,222",Level 1,Not Suspended,2024-01-05 10:18:02 PST
FCI EL RENO,"1,222",Level 1,Not Suspended,2024-01-04 10:16:42 PST
FCI EL RENO,"1,245",Level 1,Not Suspended,2023-11-26 14:50:20 PST
FCI EL RENO,"1,215",Level 1,Not Suspended,2024-01-03 09:50:59 PST
FCI EL RENO,"1,222",Level 1,Not Suspended,2024-01-07 18:10:47 PST
FCI EL RENO,"1,230",Level 1,Not Suspended,2023-12-01 11:27:15 PST
FCI EL RENO,"1,230",Level 1,Not Suspended,2023-11-30 10:17:52 PST
FCI EL RENO,"1,230",Level 1,Not Suspended,2023-12-04 14:49:38 PST
FCI EL RENO,"1,230",Level 1,Not Suspended,2023-12-05 07:35:04 PST
FCI EL RENO,"1,230",Level 1,Not Suspended,2023-12-03 10:51:58 PST
FCI EL RENO,"1,246",Level 1,Not Suspended,2023-09-27 10:26:32 PDT
