title,population,operation_level,visiting_status,datetime_of_data
FCI ENGLEWOOD,891,No Longer Available,Not Suspended,2024-02-16 10:27:48 PST
FCI ENGLEWOOD,891,No Longer Available,Not Suspended,2024-02-20 10:22:43 PST
FCI ENGLEWOOD,891,No Longer Available,Not Suspended,2024-02-18 14:52:56 PST
FCI ENGLEWOOD,891,No Longer Available,Not Suspended,2024-02-19 07:59:48 PST
FCI ENGLEWOOD,895,No Longer Available,Not Suspended,2024-02-27 07:13:02 PST
FCI ENGLEWOOD,895,No Longer Available,Not Suspended,2024-02-26 18:25:15 PST
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-03-01 10:21:07 PST
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-02-13 10:40:35 PST
FCI ENGLEWOOD,895,No Longer Available,Not Suspended,2024-02-23 12:40:10 PST
FCI ENGLEWOOD,895,No Longer Available,Not Suspended,2024-02-24 11:35:42 PST
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-02-08 14:10:55 PST
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-03-03 21:09:28 PST
FCI ENGLEWOOD,904,No Longer Available,Not Suspended,2024-03-19 10:07:23 PDT
FCI ENGLEWOOD,894,No Longer Available,Not Suspended,2024-02-07 19:16:38 PST
FCI ENGLEWOOD,904,No Longer Available,Not Suspended,2024-03-21 10:13:51 PDT
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-02-09 10:18:04 PST
FCI ENGLEWOOD,899,No Longer Available,Not Suspended,2024-01-19 10:32:06 PST
FCI ENGLEWOOD,904,No Longer Available,Not Suspended,2024-03-20 10:09:57 PDT
FCI ENGLEWOOD,893,No Longer Available,Not Suspended,2024-02-01 14:10:11 PST
FCI ENGLEWOOD,902,No Longer Available,Not Suspended,2024-02-10 17:49:14 PST
FCI ENGLEWOOD,894,No Longer Available,Not Suspended,2024-02-02 23:03:34 PST
