title,population,operation_level,visiting_status,datetime_of_data
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-16 10:28:03 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-20 10:22:59 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-18 14:53:11 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-19 08:00:04 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-02-27 07:13:18 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-02-26 18:25:31 PST
FCI ESTILL,63,No Longer Available,Not Suspended,2024-03-01 10:21:22 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-13 10:40:50 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-02-23 12:40:26 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-02-24 11:35:58 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-08 14:11:12 PST
FCI ESTILL,63,No Longer Available,Not Suspended,2024-03-03 21:09:44 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-03-19 10:07:39 PDT
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-07 19:16:54 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-03-21 10:14:07 PDT
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-09 10:18:19 PST
FCI ESTILL,58,No Longer Available,Not Suspended,2024-01-19 10:32:22 PST
FCI ESTILL,65,No Longer Available,Not Suspended,2024-03-20 10:10:12 PDT
FCI ESTILL,59,No Longer Available,Not Suspended,2024-02-01 14:10:27 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-10 17:49:29 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-02 23:03:50 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-03 19:32:56 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-06 14:24:15 PST
FCI ESTILL,58,No Longer Available,Not Suspended,2024-01-23 10:15:56 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-12 09:27:13 PST
FCI ESTILL,58,No Longer Available,Not Suspended,2024-01-22 10:14:27 PST
FCI ESTILL,58,No Longer Available,Not Suspended,2024-01-24 09:09:48 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-03 09:27:31 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-05 11:24:02 PST
FCI ESTILL,59,No Longer Available,Not Suspended,2024-01-30 14:17:13 PST
FCI ESTILL,64,No Longer Available,Not Suspended,2024-02-11 11:01:25 PST
FCI ESTILL,59,No Longer Available,Not Suspended,2024-01-28 20:28:11 PST
FCI ESTILL,59,No Longer Available,Not Suspended,2024-01-26 10:20:25 PST
