title,population,operation_level,visiting_status,datetime_of_data
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-27 10:27:05 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-27 11:11:07 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-27 12:03:09 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-27 15:49:18 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-27 18:28:18 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-28 06:53:05 PDT
FCI FAIRTON,830,Level 1,Not Suspended,2023-09-28 10:02:17 PDT
FCI FAIRTON,827,Level 1,Not Suspended,2023-09-28 16:13:39 PDT
FCI FAIRTON,827,Level 1,Not Suspended,2023-10-02 14:20:57 PDT
FCI FAIRTON,831,Level 1,Not Suspended,2023-10-22 11:28:02 PDT
FCI FAIRTON,831,Level 1,Not Suspended,2023-11-03 16:05:06 PDT
FCI FAIRTON,831,Level 1,Suspended,2023-11-10 10:43:19 PST
FCI FAIRTON,825,Level 1,Suspended,2023-11-12 09:25:14 PST
FCI FAIRTON,825,Level 1,Suspended,2023-11-13 09:31:54 PST
FCI FAIRTON,825,Level 1,Suspended,2023-11-15 09:34:50 PST
FCI FAIRTON,826,Level 1,Not Suspended,2023-11-21 11:15:32 PST
FCI FAIRTON,826,Level 1,Not Suspended,2023-11-22 09:57:13 PST
FCI FAIRTON,826,Level 1,Not Suspended,2023-11-26 14:51:21 PST
FCI FAIRTON,823,Level 1,Not Suspended,2023-11-27 12:14:50 PST
FCI FAIRTON,823,Level 1,Not Suspended,2023-11-28 10:26:04 PST
FCI FAIRTON,817,Level 1,Not Suspended,2023-11-30 10:18:53 PST
FCI FAIRTON,817,Level 1,Not Suspended,2023-12-01 11:28:17 PST
FCI FAIRTON,817,Level 1,Not Suspended,2023-12-03 10:53:00 PST
FCI FAIRTON,817,Level 1,Not Suspended,2023-12-04 14:50:40 PST
FCI FAIRTON,817,Level 1,Not Suspended,2023-12-05 07:36:07 PST
FCI FAIRTON,820,Level 1,Not Suspended,2023-12-07 16:55:51 PST
FCI FAIRTON,820,Level 1,Not Suspended,2023-12-08 20:50:38 PST
FCI FAIRTON,820,Level 1,Not Suspended,2023-12-11 08:52:01 PST
FCI FAIRTON,820,Level 1,Not Suspended,2023-12-12 16:34:54 PST
FCI FAIRTON,820,Level 1,Not Suspended,2023-12-13 10:52:38 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-18 07:00:57 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-20 09:06:15 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-22 08:11:41 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-27 10:15:17 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-28 11:37:41 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-29 10:46:04 PST
FCI FAIRTON,809,Level 1,Not Suspended,2023-12-29 11:27:38 PST
FCI FAIRTON,805,Level 1,Not Suspended,2024-01-02 10:25:43 PST
FCI FAIRTON,805,Level 1,Not Suspended,2024-01-03 09:52:01 PST
FCI FAIRTON,801,Level 1,Not Suspended,2024-01-04 10:17:44 PST
FCI FAIRTON,801,Level 1,Not Suspended,2024-01-05 10:19:05 PST
