title,population,operation_level,visiting_status,datetime_of_data
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-27 10:27:13 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-27 11:11:15 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-27 12:03:25 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-27 15:49:34 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-27 18:28:33 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-28 06:53:20 PDT
FCI FLORENCE,1272,Level 1,Not Suspended,2023-09-28 10:02:33 PDT
FCI FLORENCE,1287,Level 1,Not Suspended,2023-09-28 16:13:55 PDT
FCI FLORENCE,1287,Level 1,Not Suspended,2023-10-02 14:21:12 PDT
FCI FLORENCE,1285,Level 1,Not Suspended,2023-10-22 11:28:17 PDT
FCI FLORENCE,1256,Level 1,Not Suspended,2023-11-03 16:05:22 PDT
FCI FLORENCE,1256,Level 1,Not Suspended,2023-11-10 10:43:34 PST
FCI FLORENCE,1280,Level 1,Not Suspended,2023-11-12 09:25:29 PST
FCI FLORENCE,1280,Level 1,Not Suspended,2023-11-13 09:32:09 PST
FCI FLORENCE,1280,Level 1,Not Suspended,2023-11-15 09:35:05 PST
FCI FLORENCE,1293,Level 1,Not Suspended,2023-11-21 11:15:48 PST
FCI FLORENCE,1293,Level 1,Not Suspended,2023-11-22 09:57:28 PST
FCI FLORENCE,1293,Level 1,Not Suspended,2023-11-26 14:51:37 PST
FCI FLORENCE,1269,Level 1,Not Suspended,2023-11-27 12:15:06 PST
FCI FLORENCE,1269,Level 1,Not Suspended,2023-11-28 10:26:20 PST
FCI FLORENCE,1289,Level 1,Not Suspended,2023-11-30 10:19:09 PST
FCI FLORENCE,1289,Level 1,Not Suspended,2023-12-01 11:28:32 PST
FCI FLORENCE,1289,Level 1,Not Suspended,2023-12-03 10:53:15 PST
FCI FLORENCE,1289,Level 1,Not Suspended,2023-12-04 14:50:55 PST
FCI FLORENCE,1289,Level 1,Not Suspended,2023-12-05 07:36:23 PST
FCI FLORENCE,1263,Level 1,Not Suspended,2023-12-07 16:56:07 PST
FCI FLORENCE,1263,Level 1,Not Suspended,2023-12-08 20:50:53 PST
FCI FLORENCE,1263,Level 1,Not Suspended,2023-12-11 08:52:17 PST
FCI FLORENCE,1263,Level 1,Not Suspended,2023-12-12 16:35:09 PST
FCI FLORENCE,1263,Level 1,Not Suspended,2023-12-13 10:52:53 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-18 07:01:12 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-20 09:06:30 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-22 08:11:56 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-27 10:15:32 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-28 11:37:56 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-29 10:46:19 PST
FCI FLORENCE,1257,Level 1,Not Suspended,2023-12-29 11:27:54 PST
FCI FLORENCE,1256,Level 1,Not Suspended,2024-01-02 10:25:58 PST
FCI FLORENCE,1256,Level 1,Not Suspended,2024-01-03 09:52:17 PST
FCI FLORENCE,1240,Level 1,Not Suspended,2024-01-04 10:17:59 PST
FCI FLORENCE,1240,Level 1,Not Suspended,2024-01-05 10:19:20 PST
FCI FLORENCE,1240,Level 1,Not Suspended,2024-01-07 18:12:05 PST
FCI FLORENCE,1240,Level 1,Not Suspended,2024-01-08 10:39:53 PST
FCI FLORENCE,1240,Level 1,Not Suspended,2024-01-09 10:20:02 PST
FCI FLORENCE,1240,No Longer Available,Not Suspended,2024-01-11 12:18:28 PST
FCI FLORENCE,1240,No Longer Available,Not Suspended,2024-01-13 12:52:43 PST
FCI FLORENCE,1251,No Longer Available,Not Suspended,2024-01-16 10:20:35 PST
FCI FLORENCE,1251,No Longer Available,Not Suspended,2024-01-17 10:18:53 PST
FCI FLORENCE,1251,No Longer Available,Not Suspended,2024-01-18 10:22:30 PST
FCI FLORENCE,1244,No Longer Available,Not Suspended,2024-01-19 10:32:53 PST
FCI FLORENCE,1244,No Longer Available,Not Suspended,2024-01-22 10:14:58 PST
FCI FLORENCE,1244,No Longer Available,Not Suspended,2024-01-23 10:16:27 PST
FCI FLORENCE,1244,No Longer Available,Not Suspended,2024-01-24 09:10:19 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-25 11:39:43 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-26 10:20:56 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-27 14:45:29 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-28 20:28:42 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-29 09:51:39 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-01-30 14:17:44 PST
FCI FLORENCE,1259,No Longer Available,Not Suspended,2024-02-01 14:10:58 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-02 23:04:21 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-03 09:28:02 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-03 19:33:27 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-04 12:42:02 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-05 11:24:33 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-06 14:24:47 PST
FCI FLORENCE,1248,No Longer Available,Not Suspended,2024-02-07 19:17:25 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-08 14:11:43 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-09 10:18:50 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-10 17:50:00 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-11 11:01:57 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-12 09:27:47 PST
FCI FLORENCE,1242,No Longer Available,Not Suspended,2024-02-13 10:41:22 PST
FCI FLORENCE,1218,No Longer Available,Not Suspended,2024-02-16 10:28:34 PST
FCI FLORENCE,1218,No Longer Available,Not Suspended,2024-02-18 14:53:42 PST
FCI FLORENCE,1218,No Longer Available,Not Suspended,2024-02-19 08:00:35 PST
FCI FLORENCE,1218,No Longer Available,Not Suspended,2024-02-20 10:23:30 PST
FCI FLORENCE,1234,No Longer Available,Not Suspended,2024-02-23 12:40:57 PST
FCI FLORENCE,1234,No Longer Available,Not Suspended,2024-02-24 11:36:29 PST
FCI FLORENCE,1234,No Longer Available,Not Suspended,2024-02-26 18:26:03 PST
FCI FLORENCE,1234,No Longer Available,Not Suspended,2024-02-27 07:13:49 PST
FCI FLORENCE,1200,No Longer Available,Not Suspended,2024-03-01 10:21:54 PST
FCI FLORENCE,1200,No Longer Available,Not Suspended,2024-03-03 21:10:15 PST
FCI FLORENCE,1196,No Longer Available,Not Suspended,2024-03-19 10:08:10 PDT
FCI FLORENCE,1196,No Longer Available,Not Suspended,2024-03-20 10:10:43 PDT
FCI FLORENCE,1196,No Longer Available,Not Suspended,2024-03-21 10:14:38 PDT
