title,population,operation_level,visiting_status,datetime_of_data
FCI FORREST CITY LOW,,Level 1,Not Suspended,2023-09-27 10:27:46 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-27 11:11:50 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-27 12:04:31 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-27 15:50:39 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-27 18:29:34 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-28 06:54:23 PDT
FCI FORREST CITY LOW,1811.0,Level 1,Not Suspended,2023-09-28 10:03:35 PDT
FCI FORREST CITY LOW,1800.0,Level 1,Not Suspended,2023-09-28 16:14:57 PDT
FCI FORREST CITY LOW,1800.0,Level 1,Not Suspended,2023-10-02 14:22:14 PDT
FCI FORREST CITY LOW,1787.0,Level 1,Not Suspended,2023-10-22 11:29:19 PDT
FCI FORREST CITY LOW,1771.0,Level 1,Not Suspended,2023-11-03 16:06:23 PDT
FCI FORREST CITY LOW,1771.0,Level 1,Not Suspended,2023-11-10 10:44:36 PST
FCI FORREST CITY LOW,1771.0,Level 1,Not Suspended,2023-11-12 09:26:31 PST
FCI FORREST CITY LOW,1771.0,Level 1,Not Suspended,2023-11-13 09:33:11 PST
FCI FORREST CITY LOW,1771.0,Level 1,Not Suspended,2023-11-15 09:36:07 PST
FCI FORREST CITY LOW,1777.0,Level 1,Not Suspended,2023-11-21 11:16:51 PST
FCI FORREST CITY LOW,1777.0,Level 1,Suspended,2023-11-22 09:58:30 PST
FCI FORREST CITY LOW,1777.0,Level 1,Not Suspended,2023-11-26 14:52:39 PST
FCI FORREST CITY LOW,1769.0,Level 1,Not Suspended,2023-11-27 12:16:07 PST
FCI FORREST CITY LOW,1769.0,Level 1,Not Suspended,2023-11-28 10:27:25 PST
FCI FORREST CITY LOW,1762.0,Level 1,Not Suspended,2023-11-30 10:20:12 PST
FCI FORREST CITY LOW,1762.0,Level 1,Not Suspended,2023-12-01 11:29:35 PST
FCI FORREST CITY LOW,1762.0,Level 1,Not Suspended,2023-12-03 10:54:17 PST
FCI FORREST CITY LOW,1762.0,Level 1,Not Suspended,2023-12-04 14:51:58 PST
FCI FORREST CITY LOW,1762.0,Level 1,Not Suspended,2023-12-05 07:37:27 PST
FCI FORREST CITY LOW,1773.0,Level 1,Not Suspended,2023-12-07 16:57:20 PST
FCI FORREST CITY LOW,1773.0,Level 1,Not Suspended,2023-12-08 20:51:55 PST
FCI FORREST CITY LOW,1773.0,Level 1,Not Suspended,2023-12-11 08:53:18 PST
FCI FORREST CITY LOW,1773.0,Level 1,Not Suspended,2023-12-12 16:36:11 PST
FCI FORREST CITY LOW,1773.0,Level 1,Not Suspended,2023-12-13 10:53:55 PST
FCI FORREST CITY LOW,1767.0,Level 1,Not Suspended,2023-12-18 07:02:14 PST
FCI FORREST CITY LOW,1767.0,Level 1,Not Suspended,2023-12-20 09:07:32 PST
FCI FORREST CITY LOW,1767.0,Level 1,Not Suspended,2023-12-22 08:12:59 PST
FCI FORREST CITY LOW,1767.0,Level 1,Suspended,2023-12-27 10:16:34 PST
FCI FORREST CITY LOW,1767.0,Level 1,Suspended,2023-12-28 11:38:58 PST
FCI FORREST CITY LOW,1767.0,Level 1,Not Suspended,2023-12-29 10:47:21 PST
FCI FORREST CITY LOW,1767.0,Level 1,Not Suspended,2023-12-29 11:28:56 PST
FCI FORREST CITY LOW,1797.0,Level 1,Not Suspended,2024-01-02 10:27:01 PST
FCI FORREST CITY LOW,1797.0,Level 1,Not Suspended,2024-01-03 09:53:18 PST
FCI FORREST CITY LOW,1810.0,Level 1,Not Suspended,2024-01-04 10:19:02 PST
FCI FORREST CITY LOW,1810.0,Level 1,Not Suspended,2024-01-05 10:20:24 PST
FCI FORREST CITY LOW,1810.0,Level 1,Not Suspended,2024-01-07 18:13:08 PST
FCI FORREST CITY LOW,1810.0,Level 1,Not Suspended,2024-01-08 10:40:55 PST
FCI FORREST CITY LOW,1810.0,Level 1,Not Suspended,2024-01-09 10:21:04 PST
FCI FORREST CITY LOW,1810.0,No Longer Available,Not Suspended,2024-01-11 12:19:31 PST
FCI FORREST CITY LOW,1810.0,No Longer Available,Not Suspended,2024-01-13 12:53:47 PST
FCI FORREST CITY LOW,1804.0,No Longer Available,Suspended,2024-01-16 10:21:37 PST
FCI FORREST CITY LOW,1804.0,No Longer Available,Suspended,2024-01-17 10:19:55 PST
FCI FORREST CITY LOW,1804.0,No Longer Available,Not Suspended,2024-01-18 10:23:33 PST
FCI FORREST CITY LOW,1819.0,No Longer Available,Not Suspended,2024-01-19 10:33:56 PST
FCI FORREST CITY LOW,1819.0,No Longer Available,Not Suspended,2024-01-22 10:16:00 PST
FCI FORREST CITY LOW,1819.0,No Longer Available,Not Suspended,2024-01-23 10:17:31 PST
FCI FORREST CITY LOW,1819.0,No Longer Available,Not Suspended,2024-01-24 09:11:21 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-25 11:40:45 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-26 10:21:58 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-27 14:46:32 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-28 20:29:44 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-29 09:52:41 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-01-30 14:18:47 PST
FCI FORREST CITY LOW,1816.0,No Longer Available,Not Suspended,2024-02-01 14:12:00 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-02 23:05:23 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-03 09:29:05 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-03 19:34:30 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-04 12:43:04 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-05 11:25:35 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-06 14:25:50 PST
FCI FORREST CITY LOW,1801.0,No Longer Available,Not Suspended,2024-02-07 19:18:27 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Not Suspended,2024-02-08 14:12:45 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Not Suspended,2024-02-09 10:19:52 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Suspended,2024-02-10 17:51:04 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Suspended,2024-02-11 11:02:59 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Suspended,2024-02-12 09:28:52 PST
FCI FORREST CITY LOW,1771.0,No Longer Available,Not Suspended,2024-02-13 10:42:25 PST
FCI FORREST CITY LOW,1770.0,No Longer Available,Not Suspended,2024-02-16 10:29:37 PST
FCI FORREST CITY LOW,1770.0,No Longer Available,Not Suspended,2024-02-18 14:54:45 PST
FCI FORREST CITY LOW,1770.0,No Longer Available,Not Suspended,2024-02-19 08:01:38 PST
FCI FORREST CITY LOW,1770.0,No Longer Available,Not Suspended,2024-02-20 10:24:33 PST
FCI FORREST CITY LOW,1744.0,No Longer Available,Not Suspended,2024-02-23 12:42:00 PST
FCI FORREST CITY LOW,1744.0,No Longer Available,Not Suspended,2024-02-24 11:37:32 PST
FCI FORREST CITY LOW,1744.0,No Longer Available,Not Suspended,2024-02-26 18:27:05 PST
FCI FORREST CITY LOW,1744.0,No Longer Available,Not Suspended,2024-02-27 07:14:53 PST
FCI FORREST CITY LOW,1757.0,No Longer Available,Not Suspended,2024-03-01 10:22:56 PST
FCI FORREST CITY LOW,1757.0,No Longer Available,Suspended,2024-03-03 21:11:18 PST
FCI FORREST CITY LOW,1748.0,No Longer Available,Not Suspended,2024-03-19 10:09:14 PDT
FCI FORREST CITY LOW,1748.0,No Longer Available,Not Suspended,2024-03-20 10:11:46 PDT
