title,population,operation_level,visiting_status,datetime_of_data
FCI FORREST CITY MEDIUM,,Level 1,Not Suspended,2023-09-27 10:27:37 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-27 11:11:39 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-27 12:04:14 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-27 15:50:23 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-27 18:29:19 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-28 06:54:07 PDT
FCI FORREST CITY MEDIUM,1706.0,Level 1,Not Suspended,2023-09-28 10:03:19 PDT
FCI FORREST CITY MEDIUM,1701.0,Level 1,Not Suspended,2023-09-28 16:14:42 PDT
FCI FORREST CITY MEDIUM,1701.0,Level 1,Suspended,2023-10-02 14:21:59 PDT
FCI FORREST CITY MEDIUM,1680.0,Level 1,Not Suspended,2023-10-22 11:29:04 PDT
FCI FORREST CITY MEDIUM,1679.0,Level 1,Not Suspended,2023-11-03 16:06:08 PDT
FCI FORREST CITY MEDIUM,1679.0,Level 1,Not Suspended,2023-11-10 10:44:21 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-11-12 09:26:16 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-11-13 09:32:56 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-11-15 09:35:52 PST
FCI FORREST CITY MEDIUM,1690.0,Level 1,Not Suspended,2023-11-21 11:16:36 PST
FCI FORREST CITY MEDIUM,1690.0,Level 1,Suspended,2023-11-22 09:58:15 PST
FCI FORREST CITY MEDIUM,1690.0,Level 1,Not Suspended,2023-11-26 14:52:23 PST
FCI FORREST CITY MEDIUM,1691.0,Level 1,Not Suspended,2023-11-27 12:15:52 PST
FCI FORREST CITY MEDIUM,1691.0,Level 1,Not Suspended,2023-11-28 10:27:07 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-11-30 10:19:56 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-12-01 11:29:19 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-12-03 10:54:02 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-12-04 14:51:42 PST
FCI FORREST CITY MEDIUM,1687.0,Level 1,Not Suspended,2023-12-05 07:37:11 PST
FCI FORREST CITY MEDIUM,1689.0,Level 1,Not Suspended,2023-12-07 16:57:04 PST
FCI FORREST CITY MEDIUM,1689.0,Level 1,Not Suspended,2023-12-08 20:51:39 PST
FCI FORREST CITY MEDIUM,1689.0,Level 1,Not Suspended,2023-12-11 08:53:02 PST
FCI FORREST CITY MEDIUM,1689.0,Level 1,Not Suspended,2023-12-12 16:35:56 PST
FCI FORREST CITY MEDIUM,1689.0,Level 1,Not Suspended,2023-12-13 10:53:40 PST
FCI FORREST CITY MEDIUM,1680.0,Level 1,Not Suspended,2023-12-18 07:01:59 PST
FCI FORREST CITY MEDIUM,1680.0,Level 1,Not Suspended,2023-12-20 09:07:17 PST
FCI FORREST CITY MEDIUM,1680.0,Level 1,Not Suspended,2023-12-22 08:12:43 PST
