title,population,operation_level,visiting_status,datetime_of_data
FCI FORT DIX,"3,812",No Longer Available,Not Suspended,2024-02-16 10:29:52 PST
FCI FORT DIX,"3,812",No Longer Available,Not Suspended,2024-02-20 10:24:49 PST
FCI FORT DIX,"3,812",No Longer Available,Not Suspended,2024-02-18 14:55:01 PST
FCI FORT DIX,"3,812",No Longer Available,Not Suspended,2024-02-19 08:01:54 PST
FCI FORT DIX,"3,841",No Longer Available,Not Suspended,2024-02-27 07:15:08 PST
FCI FORT DIX,"3,841",No Longer Available,Not Suspended,2024-02-26 18:27:20 PST
FCI FORT DIX,"3,842",No Longer Available,Not Suspended,2024-03-01 10:23:11 PST
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-13 10:42:40 PST
FCI FORT DIX,"3,841",No Longer Available,Not Suspended,2024-02-23 12:42:15 PST
FCI FORT DIX,"3,841",No Longer Available,Not Suspended,2024-02-24 11:37:48 PST
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-08 14:13:00 PST
FCI FORT DIX,"3,842",No Longer Available,Not Suspended,2024-03-03 21:11:33 PST
FCI FORT DIX,"3,892",No Longer Available,Not Suspended,2024-03-19 10:09:30 PDT
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-07 19:18:42 PST
FCI FORT DIX,"3,892",No Longer Available,Not Suspended,2024-03-21 10:16:04 PDT
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-09 10:20:08 PST
FCI FORT DIX,"3,860",No Longer Available,Not Suspended,2024-01-19 10:34:11 PST
FCI FORT DIX,"3,892",No Longer Available,Not Suspended,2024-03-20 10:12:02 PDT
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-02-01 14:12:15 PST
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-10 17:51:19 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-02 23:05:39 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-03 19:34:46 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-06 14:26:05 PST
FCI FORT DIX,"3,860",No Longer Available,Not Suspended,2024-01-23 10:17:48 PST
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-12 09:29:08 PST
FCI FORT DIX,"3,860",No Longer Available,Not Suspended,2024-01-22 10:16:15 PST
FCI FORT DIX,"3,860",No Longer Available,Not Suspended,2024-01-24 09:11:36 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-03 09:29:20 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-05 11:25:51 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-30 14:19:03 PST
FCI FORT DIX,"3,836",No Longer Available,Not Suspended,2024-02-11 11:03:14 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-28 20:30:00 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-26 10:22:14 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-27 14:46:48 PST
FCI FORT DIX,"3,810",No Longer Available,Not Suspended,2024-01-11 12:19:46 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-04 12:43:20 PST
FCI FORT DIX,"3,879",No Longer Available,Not Suspended,2024-01-18 10:23:48 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-29 09:52:57 PST
FCI FORT DIX,"3,810",No Longer Available,Not Suspended,2024-01-13 12:54:03 PST
FCI FORT DIX,"3,879",No Longer Available,Not Suspended,2024-01-17 10:20:11 PST
FCI FORT DIX,"3,879",No Longer Available,Not Suspended,2024-01-16 10:21:53 PST
FCI FORT DIX,"3,877",No Longer Available,Not Suspended,2024-01-25 11:41:01 PST
FCI FORT DIX,"3,755",Level 1,Not Suspended,2023-10-22 11:29:47 PDT
FCI FORT DIX,"3,740",Level 1,Not Suspended,2023-09-28 16:15:13 PDT
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-28 06:54:39 PDT
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-27 18:29:50 PDT
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-27 15:50:55 PDT
FCI FORT DIX,"3,769",Level 1,Not Suspended,2023-11-03 16:06:39 PDT
FCI FORT DIX,"3,740",Level 1,Not Suspended,2023-10-02 14:22:30 PDT
FCI FORT DIX,"3,815",Level 1,Not Suspended,2023-12-13 10:54:10 PST
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-27 12:04:48 PDT
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-28 10:03:51 PDT
FCI FORT DIX,"3,759",Level 1,Not Suspended,2023-11-15 09:36:23 PST
FCI FORT DIX,"3,815",Level 1,Not Suspended,2023-12-12 16:36:27 PST
FCI FORT DIX,"3,749",Level 1,Not Suspended,2023-09-27 11:11:58 PDT
FCI FORT DIX,"3,815",Level 1,Not Suspended,2023-12-11 08:53:34 PST
FCI FORT DIX,"3,759",Level 1,Not Suspended,2023-11-12 09:26:47 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-20 09:07:47 PST
FCI FORT DIX,"3,815",Level 1,Not Suspended,2023-12-08 20:52:10 PST
FCI FORT DIX,"3,759",Level 1,Not Suspended,2023-11-13 09:33:27 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-29 11:29:11 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-29 10:47:37 PST
FCI FORT DIX,"3,810",Level 1,Not Suspended,2024-01-08 10:41:10 PST
FCI FORT DIX,"3,810",Level 1,Not Suspended,2024-01-09 10:21:19 PST
FCI FORT DIX,"3,779",Level 1,Not Suspended,2023-11-21 11:17:07 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-22 08:13:14 PST
FCI FORT DIX,"3,815",Level 1,Not Suspended,2023-12-07 16:57:37 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-28 11:39:14 PST
FCI FORT DIX,"3,819",Level 1,Not Suspended,2024-01-02 10:27:16 PST
FCI FORT DIX,"3,769",Level 1,Not Suspended,2023-11-10 10:44:51 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-18 07:02:30 PST
FCI FORT DIX,"3,797",Level 1,Not Suspended,2023-11-27 12:16:23 PST
FCI FORT DIX,"3,797",Level 1,Not Suspended,2023-11-28 10:27:41 PST
FCI FORT DIX,"3,779",Level 1,Not Suspended,2023-11-22 09:58:46 PST
FCI FORT DIX,"3,823",Level 1,Not Suspended,2023-12-27 10:16:49 PST
FCI FORT DIX,"3,810",Level 1,Not Suspended,2024-01-05 10:20:39 PST
FCI FORT DIX,"3,810",Level 1,Not Suspended,2024-01-04 10:19:17 PST
FCI FORT DIX,"3,779",Level 1,Not Suspended,2023-11-26 14:52:54 PST
FCI FORT DIX,"3,819",Level 1,Not Suspended,2024-01-03 09:53:34 PST
FCI FORT DIX,"3,810",Level 1,Not Suspended,2024-01-07 18:13:23 PST
