title,population,operation_level,visiting_status,datetime_of_data
FCI GILMER,,Level 1,Suspended,2023-09-27 10:28:11 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-27 11:12:14 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-27 12:05:20 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-27 15:51:28 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-27 18:30:20 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-28 06:55:10 PDT
FCI GILMER,1650.0,Level 1,Suspended,2023-09-28 10:04:22 PDT
FCI GILMER,1645.0,Level 1,Suspended,2023-09-28 16:15:43 PDT
FCI GILMER,1645.0,Level 1,Suspended,2023-10-02 14:23:01 PDT
FCI GILMER,1650.0,Level 1,Not Suspended,2023-10-22 11:30:18 PDT
FCI GILMER,1666.0,Level 1,Not Suspended,2023-11-03 16:07:10 PDT
FCI GILMER,1666.0,Level 1,Suspended,2023-11-10 10:45:22 PST
FCI GILMER,1657.0,Level 1,Suspended,2023-11-12 09:27:18 PST
FCI GILMER,1657.0,Level 1,Suspended,2023-11-13 09:33:58 PST
FCI GILMER,1657.0,Level 1,Suspended,2023-11-15 09:36:53 PST
FCI GILMER,1673.0,Level 1,Not Suspended,2023-11-21 11:17:37 PST
FCI GILMER,1673.0,Level 1,Not Suspended,2023-11-22 09:59:17 PST
FCI GILMER,1673.0,Level 1,Not Suspended,2023-11-26 14:53:25 PST
FCI GILMER,1680.0,Level 1,Not Suspended,2023-11-27 12:16:53 PST
FCI GILMER,1680.0,Level 1,Not Suspended,2023-11-28 10:28:12 PST
FCI GILMER,1678.0,Level 1,Not Suspended,2023-11-30 10:20:58 PST
FCI GILMER,1678.0,Level 1,Not Suspended,2023-12-01 11:30:21 PST
FCI GILMER,1678.0,Level 1,Not Suspended,2023-12-03 10:55:04 PST
FCI GILMER,1678.0,Level 1,Not Suspended,2023-12-04 14:52:44 PST
FCI GILMER,1678.0,Level 1,Not Suspended,2023-12-05 07:38:14 PST
FCI GILMER,1685.0,Level 1,Not Suspended,2023-12-07 16:58:11 PST
FCI GILMER,1685.0,Level 1,Not Suspended,2023-12-08 20:52:41 PST
FCI GILMER,1685.0,Level 1,Not Suspended,2023-12-11 08:54:04 PST
FCI GILMER,1685.0,Level 1,Not Suspended,2023-12-12 16:36:58 PST
FCI GILMER,1685.0,Level 1,Not Suspended,2023-12-13 10:54:41 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-18 07:03:00 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-20 09:08:18 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-22 08:13:45 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-27 10:17:20 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-28 11:39:44 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-29 10:48:07 PST
FCI GILMER,1691.0,Level 1,Not Suspended,2023-12-29 11:29:42 PST
FCI GILMER,1681.0,Level 1,Not Suspended,2024-01-02 10:27:47 PST
FCI GILMER,1681.0,Level 1,Not Suspended,2024-01-03 09:54:05 PST
FCI GILMER,1668.0,Level 1,Not Suspended,2024-01-04 10:19:48 PST
FCI GILMER,1668.0,Level 1,Not Suspended,2024-01-05 10:21:10 PST
FCI GILMER,1668.0,Level 1,Not Suspended,2024-01-07 18:13:55 PST
FCI GILMER,1668.0,Level 1,Not Suspended,2024-01-08 10:41:41 PST
