title,population,operation_level,visiting_status,datetime_of_data
FCI GREENVILLE,,Level 1,Not Suspended,2023-09-27 10:28:19 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-27 11:12:22 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-27 12:05:37 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-27 15:51:44 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-27 18:30:36 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-28 06:55:25 PDT
FCI GREENVILLE,1111.0,Level 1,Not Suspended,2023-09-28 10:04:37 PDT
FCI GREENVILLE,1119.0,Level 1,Not Suspended,2023-09-28 16:15:59 PDT
FCI GREENVILLE,1119.0,Level 1,Not Suspended,2023-10-02 14:23:16 PDT
FCI GREENVILLE,1136.0,Level 1,Not Suspended,2023-10-22 11:30:33 PDT
FCI GREENVILLE,1195.0,Level 1,Not Suspended,2023-11-03 16:07:26 PDT
FCI GREENVILLE,1195.0,Level 1,Not Suspended,2023-11-10 10:45:38 PST
FCI GREENVILLE,1234.0,Level 1,Not Suspended,2023-11-12 09:27:33 PST
FCI GREENVILLE,1234.0,Level 1,Not Suspended,2023-11-13 09:34:13 PST
FCI GREENVILLE,1234.0,Level 1,Not Suspended,2023-11-15 09:37:09 PST
FCI GREENVILLE,1232.0,Level 1,Not Suspended,2023-11-21 11:17:56 PST
FCI GREENVILLE,1232.0,Level 1,Not Suspended,2023-11-22 09:59:32 PST
FCI GREENVILLE,1232.0,Level 1,Not Suspended,2023-11-26 14:53:41 PST
FCI GREENVILLE,1241.0,Level 1,Not Suspended,2023-11-27 12:17:09 PST
FCI GREENVILLE,1241.0,Level 1,Not Suspended,2023-11-28 10:28:30 PST
FCI GREENVILLE,1256.0,Level 1,Not Suspended,2023-11-30 10:21:14 PST
FCI GREENVILLE,1256.0,Level 1,Not Suspended,2023-12-01 11:30:37 PST
FCI GREENVILLE,1256.0,Level 1,Not Suspended,2023-12-03 10:55:20 PST
FCI GREENVILLE,1256.0,Level 1,Not Suspended,2023-12-04 14:53:00 PST
FCI GREENVILLE,1256.0,Level 1,Not Suspended,2023-12-05 07:38:30 PST
FCI GREENVILLE,1250.0,Level 1,Not Suspended,2023-12-07 16:58:28 PST
FCI GREENVILLE,1250.0,Level 1,Not Suspended,2023-12-08 20:52:56 PST
FCI GREENVILLE,1250.0,Level 1,Not Suspended,2023-12-11 08:54:20 PST
FCI GREENVILLE,1250.0,Level 1,Not Suspended,2023-12-12 16:37:14 PST
FCI GREENVILLE,1250.0,Level 1,Not Suspended,2023-12-13 10:54:57 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-18 07:03:16 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-20 09:08:34 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-22 08:14:01 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-27 10:17:36 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-28 11:40:00 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-29 10:48:23 PST
FCI GREENVILLE,1304.0,Level 1,Not Suspended,2023-12-29 11:29:57 PST
FCI GREENVILLE,1293.0,Level 1,Not Suspended,2024-01-02 10:28:03 PST
FCI GREENVILLE,1293.0,Level 1,Not Suspended,2024-01-03 09:54:20 PST
FCI GREENVILLE,1300.0,Level 1,Not Suspended,2024-01-04 10:20:03 PST
FCI GREENVILLE,1300.0,Level 1,Not Suspended,2024-01-05 10:21:26 PST
FCI GREENVILLE,1300.0,Level 1,Not Suspended,2024-01-07 18:14:10 PST
FCI GREENVILLE,1300.0,Level 1,Not Suspended,2024-01-08 10:41:56 PST
FCI GREENVILLE,1300.0,Level 1,Not Suspended,2024-01-09 10:22:06 PST
