title,population,operation_level,visiting_status,datetime_of_data
FCI HAZELTON,,Level 1,Not Suspended,2023-09-27 10:28:35 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-27 11:12:39 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-27 12:06:09 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-27 15:52:18 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-27 18:31:07 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-28 06:55:56 PDT
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-09-28 10:05:08 PDT
FCI HAZELTON,2026.0,Level 1,Not Suspended,2023-09-28 16:16:30 PDT
FCI HAZELTON,2026.0,Level 1,Not Suspended,2023-10-02 14:23:47 PDT
FCI HAZELTON,2013.0,Level 1,Not Suspended,2023-10-22 11:31:04 PDT
FCI HAZELTON,2035.0,Level 1,Not Suspended,2023-11-03 16:07:57 PDT
FCI HAZELTON,2035.0,Level 1,Suspended,2023-11-10 10:46:09 PST
FCI HAZELTON,2043.0,Level 1,Not Suspended,2023-11-12 09:28:04 PST
FCI HAZELTON,2043.0,Level 1,Suspended,2023-11-13 09:34:44 PST
FCI HAZELTON,2043.0,Level 1,Suspended,2023-11-15 09:37:40 PST
FCI HAZELTON,2035.0,Level 1,Not Suspended,2023-11-21 11:18:27 PST
FCI HAZELTON,2035.0,Level 1,Not Suspended,2023-11-22 10:00:03 PST
FCI HAZELTON,2035.0,Level 1,Suspended,2023-11-26 14:54:12 PST
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-11-27 12:17:40 PST
FCI HAZELTON,2034.0,Level 1,Not Suspended,2023-11-28 10:29:04 PST
FCI HAZELTON,2031.0,Level 1,Not Suspended,2023-11-30 10:21:45 PST
FCI HAZELTON,2031.0,Level 1,Not Suspended,2023-12-01 11:31:08 PST
FCI HAZELTON,2031.0,Level 1,Not Suspended,2023-12-03 10:55:51 PST
FCI HAZELTON,2031.0,Level 1,Not Suspended,2023-12-04 14:53:31 PST
FCI HAZELTON,2031.0,Level 1,Not Suspended,2023-12-05 07:39:01 PST
FCI HAZELTON,2058.0,Level 1,Not Suspended,2023-12-07 16:59:00 PST
FCI HAZELTON,2058.0,Level 1,Not Suspended,2023-12-08 20:53:27 PST
FCI HAZELTON,2058.0,Level 1,Not Suspended,2023-12-11 08:54:50 PST
FCI HAZELTON,2058.0,Level 1,Not Suspended,2023-12-12 16:37:45 PST
FCI HAZELTON,2058.0,Level 1,Not Suspended,2023-12-13 10:55:28 PST
FCI HAZELTON,2046.0,Level 1,Not Suspended,2023-12-18 07:03:47 PST
FCI HAZELTON,2046.0,Level 1,Not Suspended,2023-12-20 09:09:05 PST
FCI HAZELTON,2046.0,Level 1,Suspended,2023-12-22 08:14:32 PST
FCI HAZELTON,2046.0,Level 1,Suspended,2023-12-27 10:18:06 PST
FCI HAZELTON,2046.0,Level 1,Not Suspended,2023-12-28 11:40:31 PST
FCI HAZELTON,2046.0,Level 1,Not Suspended,2023-12-29 10:48:54 PST
FCI HAZELTON,2046.0,Level 1,Not Suspended,2023-12-29 11:30:28 PST
FCI HAZELTON,2028.0,Level 1,Not Suspended,2024-01-02 10:28:34 PST
FCI HAZELTON,2028.0,Level 1,Not Suspended,2024-01-03 09:54:51 PST
FCI HAZELTON,2016.0,Level 1,Not Suspended,2024-01-04 10:20:35 PST
FCI HAZELTON,2016.0,Level 1,Not Suspended,2024-01-05 10:21:57 PST
FCI HAZELTON,2016.0,Level 1,Not Suspended,2024-01-07 18:14:42 PST
FCI HAZELTON,2016.0,Level 1,Not Suspended,2024-01-08 10:42:28 PST
FCI HAZELTON,2016.0,Level 1,Not Suspended,2024-01-09 10:22:37 PST
FCI HAZELTON,2016.0,No Longer Available,Not Suspended,2024-01-11 12:21:04 PST
FCI HAZELTON,2016.0,No Longer Available,Not Suspended,2024-01-13 12:55:20 PST
FCI HAZELTON,1984.0,No Longer Available,Not Suspended,2024-01-16 10:23:12 PST
FCI HAZELTON,1984.0,No Longer Available,Not Suspended,2024-01-17 10:21:30 PST
FCI HAZELTON,1984.0,No Longer Available,Not Suspended,2024-01-18 10:25:07 PST
FCI HAZELTON,1966.0,No Longer Available,Not Suspended,2024-01-19 10:35:29 PST
FCI HAZELTON,1966.0,No Longer Available,Suspended,2024-01-22 10:17:34 PST
FCI HAZELTON,1966.0,No Longer Available,Suspended,2024-01-23 10:19:06 PST
FCI HAZELTON,1966.0,No Longer Available,Suspended,2024-01-24 09:12:54 PST
FCI HAZELTON,1977.0,No Longer Available,Suspended,2024-01-25 11:42:18 PST
FCI HAZELTON,1977.0,No Longer Available,Suspended,2024-01-26 10:23:33 PST
FCI HAZELTON,1977.0,No Longer Available,Suspended,2024-01-27 14:48:07 PST
FCI HAZELTON,1977.0,No Longer Available,Suspended,2024-01-28 20:31:17 PST
FCI HAZELTON,1977.0,No Longer Available,Suspended,2024-01-29 09:54:14 PST
FCI HAZELTON,1977.0,No Longer Available,Not Suspended,2024-01-30 14:20:21 PST
FCI HAZELTON,1977.0,No Longer Available,Not Suspended,2024-02-01 14:13:33 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-02 23:06:57 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-03 09:30:39 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-03 19:36:05 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-04 12:44:38 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-05 11:27:08 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-06 14:27:24 PST
FCI HAZELTON,1973.0,No Longer Available,Not Suspended,2024-02-07 19:20:00 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-08 14:14:18 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-09 10:21:26 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-10 17:52:38 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-11 11:04:32 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-12 09:30:27 PST
FCI HAZELTON,1964.0,No Longer Available,Not Suspended,2024-02-13 10:43:59 PST
FCI HAZELTON,1972.0,No Longer Available,Not Suspended,2024-02-16 10:31:10 PST
FCI HAZELTON,1972.0,No Longer Available,Not Suspended,2024-02-18 14:56:19 PST
FCI HAZELTON,1972.0,No Longer Available,Not Suspended,2024-02-19 08:03:13 PST
FCI HAZELTON,1972.0,No Longer Available,Not Suspended,2024-02-20 10:26:08 PST
FCI HAZELTON,1999.0,No Longer Available,Not Suspended,2024-02-23 12:43:33 PST
FCI HAZELTON,1999.0,No Longer Available,Not Suspended,2024-02-24 11:39:14 PST
FCI HAZELTON,1999.0,No Longer Available,Not Suspended,2024-02-26 18:28:38 PST
FCI HAZELTON,1999.0,No Longer Available,Not Suspended,2024-02-27 07:16:27 PST
FCI HAZELTON,1997.0,No Longer Available,Not Suspended,2024-03-01 10:24:29 PST
FCI HAZELTON,1997.0,No Longer Available,Not Suspended,2024-03-03 21:12:55 PST
FCI HAZELTON,2014.0,No Longer Available,Not Suspended,2024-03-19 10:10:52 PDT
FCI HAZELTON,2014.0,No Longer Available,Not Suspended,2024-03-20 10:13:20 PDT
FCI HAZELTON,2014.0,No Longer Available,Not Suspended,2024-03-21 10:17:27 PDT
