title,population,operation_level,visiting_status,datetime_of_data
FCI HERLONG,,Level 1,Suspended,2023-09-27 10:28:51 PDT
FCI HERLONG,1523.0,Level 1,Suspended,2023-09-27 11:12:55 PDT
FCI HERLONG,1523.0,Level 1,Suspended,2023-09-27 12:06:42 PDT
FCI HERLONG,1523.0,Level 1,Not Suspended,2023-09-27 15:52:50 PDT
FCI HERLONG,1523.0,Level 1,Not Suspended,2023-09-27 18:31:37 PDT
FCI HERLONG,1523.0,Level 1,Not Suspended,2023-09-28 06:56:27 PDT
FCI HERLONG,1523.0,Level 1,Not Suspended,2023-09-28 10:05:39 PDT
FCI HERLONG,1549.0,Level 1,Not Suspended,2023-09-28 16:17:01 PDT
FCI HERLONG,1549.0,Level 1,Not Suspended,2023-10-02 14:24:18 PDT
FCI HERLONG,1508.0,Level 1,Not Suspended,2023-10-22 11:31:35 PDT
FCI HERLONG,1502.0,Level 1,Not Suspended,2023-11-03 16:08:28 PDT
FCI HERLONG,1502.0,Level 1,Suspended,2023-11-10 10:46:39 PST
FCI HERLONG,1498.0,Level 1,Suspended,2023-11-12 09:28:35 PST
FCI HERLONG,1498.0,Level 1,Suspended,2023-11-13 09:35:15 PST
FCI HERLONG,1498.0,Level 1,Suspended,2023-11-15 09:38:11 PST
FCI HERLONG,1485.0,Level 1,Suspended,2023-11-21 11:18:59 PST
FCI HERLONG,1485.0,Level 1,Suspended,2023-11-22 10:00:34 PST
FCI HERLONG,1485.0,Level 1,Suspended,2023-11-26 14:54:43 PST
FCI HERLONG,1498.0,Level 1,Suspended,2023-11-27 12:18:11 PST
FCI HERLONG,1498.0,Level 1,Suspended,2023-11-28 10:29:35 PST
FCI HERLONG,1486.0,Level 1,Suspended,2023-11-30 10:22:16 PST
FCI HERLONG,1486.0,Level 1,Not Suspended,2023-12-01 11:31:39 PST
FCI HERLONG,1486.0,Level 1,Not Suspended,2023-12-03 10:56:22 PST
FCI HERLONG,1486.0,Level 1,Not Suspended,2023-12-04 14:54:02 PST
FCI HERLONG,1486.0,Level 1,Not Suspended,2023-12-05 07:39:32 PST
FCI HERLONG,1514.0,Level 1,Not Suspended,2023-12-07 16:59:36 PST
FCI HERLONG,1514.0,Level 1,Not Suspended,2023-12-08 20:54:01 PST
FCI HERLONG,1514.0,Level 1,Not Suspended,2023-12-11 08:55:21 PST
FCI HERLONG,1514.0,Level 1,Not Suspended,2023-12-12 16:38:15 PST
FCI HERLONG,1514.0,Level 1,Not Suspended,2023-12-13 10:55:59 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-18 07:04:17 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-20 09:09:35 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-22 08:15:03 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-27 10:18:37 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-28 11:41:02 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-29 10:49:25 PST
FCI HERLONG,1488.0,Level 1,Not Suspended,2023-12-29 11:30:59 PST
FCI HERLONG,1453.0,Level 1,Not Suspended,2024-01-02 10:29:05 PST
FCI HERLONG,1453.0,Level 1,Not Suspended,2024-01-03 09:55:22 PST
FCI HERLONG,1477.0,Level 1,Not Suspended,2024-01-04 10:21:05 PST
FCI HERLONG,1477.0,Level 1,Not Suspended,2024-01-05 10:22:28 PST
FCI HERLONG,1477.0,Level 1,Not Suspended,2024-01-07 18:15:12 PST
FCI HERLONG,1477.0,Level 1,Not Suspended,2024-01-08 10:42:59 PST
FCI HERLONG,1477.0,Level 1,Not Suspended,2024-01-09 10:23:08 PST
FCI HERLONG,1477.0,No Longer Available,Not Suspended,2024-01-11 12:21:35 PST
FCI HERLONG,1477.0,No Longer Available,Not Suspended,2024-01-13 12:55:51 PST
FCI HERLONG,1436.0,No Longer Available,Not Suspended,2024-01-16 10:23:43 PST
FCI HERLONG,1436.0,No Longer Available,Not Suspended,2024-01-17 10:22:00 PST
FCI HERLONG,1436.0,No Longer Available,Not Suspended,2024-01-18 10:25:39 PST
FCI HERLONG,1509.0,No Longer Available,Suspended,2024-01-19 10:36:00 PST
FCI HERLONG,1509.0,No Longer Available,Suspended,2024-01-22 10:18:04 PST
FCI HERLONG,1509.0,No Longer Available,Suspended,2024-01-23 10:19:38 PST
FCI HERLONG,1509.0,No Longer Available,Suspended,2024-01-24 09:13:25 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-25 11:42:49 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-26 10:24:04 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-27 14:48:38 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-28 20:31:48 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-29 09:54:45 PST
FCI HERLONG,1480.0,No Longer Available,Suspended,2024-01-30 14:20:52 PST
FCI HERLONG,1480.0,No Longer Available,Not Suspended,2024-02-01 14:14:04 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-02 23:07:28 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-03 09:31:10 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-03 19:36:36 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-04 12:45:10 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-05 11:27:39 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-06 14:27:55 PST
FCI HERLONG,1473.0,No Longer Available,Not Suspended,2024-02-07 19:20:31 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-08 14:14:50 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-09 10:21:57 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-10 17:53:09 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-11 11:05:03 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-12 09:30:59 PST
FCI HERLONG,1435.0,No Longer Available,Not Suspended,2024-02-13 10:44:30 PST
FCI HERLONG,1415.0,No Longer Available,Not Suspended,2024-02-16 10:31:42 PST
FCI HERLONG,1415.0,No Longer Available,Not Suspended,2024-02-18 14:56:52 PST
FCI HERLONG,1415.0,No Longer Available,Not Suspended,2024-02-19 08:03:44 PST
FCI HERLONG,1415.0,No Longer Available,Not Suspended,2024-02-20 10:26:39 PST
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-02-23 12:44:04 PST
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-02-24 11:39:46 PST
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-02-26 18:29:09 PST
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-02-27 07:16:58 PST
FCI HERLONG,1396.0,No Longer Available,Not Suspended,2024-03-01 10:25:00 PST
FCI HERLONG,1396.0,No Longer Available,Not Suspended,2024-03-03 21:13:27 PST
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-03-19 10:11:23 PDT
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-03-20 10:13:53 PDT
FCI HERLONG,1406.0,No Longer Available,Not Suspended,2024-03-21 10:18:00 PDT
