title,population,operation_level,visiting_status,datetime_of_data
FCI JESUP,1649,Level 1,Not Suspended,2023-09-27 10:29:15 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-27 11:13:19 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-27 12:07:34 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-27 15:53:40 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-27 18:32:23 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-28 06:57:14 PDT
FCI JESUP,1649,Level 1,Not Suspended,2023-09-28 10:06:26 PDT
FCI JESUP,1617,Level 1,Not Suspended,2023-09-28 16:17:48 PDT
FCI JESUP,1617,Level 1,Not Suspended,2023-10-02 14:25:04 PDT
FCI JESUP,1652,Level 1,Not Suspended,2023-10-22 11:32:22 PDT
FCI JESUP,1644,Level 1,Not Suspended,2023-11-03 16:09:15 PDT
FCI JESUP,1644,Level 1,Not Suspended,2023-11-10 10:47:26 PST
FCI JESUP,1642,Level 1,Not Suspended,2023-11-12 09:29:22 PST
FCI JESUP,1642,Level 1,Not Suspended,2023-11-13 09:36:02 PST
FCI JESUP,1642,Level 1,Not Suspended,2023-11-15 09:38:57 PST
FCI JESUP,1636,Level 1,Not Suspended,2023-11-21 11:19:46 PST
FCI JESUP,1636,Level 1,Not Suspended,2023-11-22 10:01:21 PST
FCI JESUP,1636,Level 1,Not Suspended,2023-11-26 14:55:30 PST
FCI JESUP,1632,Level 1,Not Suspended,2023-11-27 12:18:57 PST
FCI JESUP,1632,Level 1,Not Suspended,2023-11-28 10:30:22 PST
FCI JESUP,1628,Level 1,Not Suspended,2023-11-30 10:23:02 PST
FCI JESUP,1628,Level 1,Not Suspended,2023-12-01 11:32:26 PST
FCI JESUP,1628,Level 1,Not Suspended,2023-12-03 10:57:09 PST
FCI JESUP,1628,Level 1,Not Suspended,2023-12-04 14:54:49 PST
FCI JESUP,1628,Level 1,Not Suspended,2023-12-05 07:40:19 PST
FCI JESUP,1648,Level 1,Not Suspended,2023-12-07 17:00:27 PST
FCI JESUP,1648,Level 1,Not Suspended,2023-12-08 20:54:47 PST
FCI JESUP,1648,Level 1,Not Suspended,2023-12-11 08:56:07 PST
FCI JESUP,1648,Level 1,Not Suspended,2023-12-12 16:39:02 PST
FCI JESUP,1648,Level 1,Not Suspended,2023-12-13 10:56:45 PST
FCI JESUP,1652,Level 1,Not Suspended,2023-12-18 07:05:04 PST
FCI JESUP,1652,Level 1,Not Suspended,2023-12-20 09:10:21 PST
FCI JESUP,1652,Level 1,Not Suspended,2023-12-22 08:15:50 PST
FCI JESUP,1652,Level 1,Not Suspended,2023-12-27 10:19:24 PST
