title,population,operation_level,visiting_status,datetime_of_data
FCI LOMPOC,929,No Longer Available,Not Suspended,2024-02-16 10:34:05 PST
FCI LOMPOC,929,No Longer Available,Not Suspended,2024-02-20 10:29:03 PST
FCI LOMPOC,929,No Longer Available,Not Suspended,2024-02-18 14:59:16 PST
FCI LOMPOC,929,No Longer Available,Not Suspended,2024-02-19 08:06:09 PST
FCI LOMPOC,917,No Longer Available,Not Suspended,2024-02-27 07:19:25 PST
FCI LOMPOC,917,No Longer Available,Not Suspended,2024-02-26 18:31:33 PST
FCI LOMPOC,908,No Longer Available,Not Suspended,2024-03-01 10:27:25 PST
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-13 10:46:52 PST
FCI LOMPOC,917,No Longer Available,Not Suspended,2024-02-23 12:46:30 PST
FCI LOMPOC,917,No Longer Available,Not Suspended,2024-02-24 11:42:20 PST
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-08 14:17:12 PST
FCI LOMPOC,908,No Longer Available,Not Suspended,2024-03-03 21:15:56 PST
FCI LOMPOC,892,No Longer Available,Not Suspended,2024-03-19 10:13:44 PDT
FCI LOMPOC,932,No Longer Available,Not Suspended,2024-02-07 19:22:57 PST
FCI LOMPOC,892,No Longer Available,Not Suspended,2024-03-21 10:20:37 PDT
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-09 10:24:19 PST
FCI LOMPOC,899,No Longer Available,Not Suspended,2024-01-19 10:38:23 PST
FCI LOMPOC,892,No Longer Available,Not Suspended,2024-03-20 10:16:15 PDT
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-02-01 14:16:25 PST
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-10 17:55:36 PST
FCI LOMPOC,932,No Longer Available,Not Suspended,2024-02-02 23:09:50 PST
FCI LOMPOC,932,No Longer Available,Not Suspended,2024-02-03 19:39:00 PST
FCI LOMPOC,932,No Longer Available,Suspended,2024-02-06 14:30:19 PST
FCI LOMPOC,899,No Longer Available,Not Suspended,2024-01-23 10:22:01 PST
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-12 09:33:30 PST
FCI LOMPOC,899,No Longer Available,Not Suspended,2024-01-22 10:20:26 PST
FCI LOMPOC,899,No Longer Available,Not Suspended,2024-01-24 09:15:48 PST
FCI LOMPOC,932,No Longer Available,Not Suspended,2024-02-03 09:33:36 PST
FCI LOMPOC,932,No Longer Available,Suspended,2024-02-05 11:29:59 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-30 14:23:22 PST
FCI LOMPOC,922,No Longer Available,Not Suspended,2024-02-11 11:07:26 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-28 20:34:10 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-26 10:26:27 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-27 14:51:02 PST
FCI LOMPOC,901,No Longer Available,Not Suspended,2024-01-11 12:23:57 PST
FCI LOMPOC,932,No Longer Available,Suspended,2024-02-04 12:47:34 PST
FCI LOMPOC,900,No Longer Available,Not Suspended,2024-01-18 10:28:03 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-29 09:57:06 PST
FCI LOMPOC,901,No Longer Available,Not Suspended,2024-01-13 12:58:14 PST
FCI LOMPOC,900,No Longer Available,Not Suspended,2024-01-17 10:24:24 PST
FCI LOMPOC,900,No Longer Available,Not Suspended,2024-01-16 10:26:10 PST
FCI LOMPOC,893,No Longer Available,Not Suspended,2024-01-25 11:45:10 PST
FCI LOMPOC,865,Level 1,Not Suspended,2023-10-22 11:33:55 PDT
FCI LOMPOC,890,Level 1,Not Suspended,2023-09-28 16:19:23 PDT
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-28 06:58:48 PDT
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-27 18:33:57 PDT
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-27 15:55:17 PDT
FCI LOMPOC,904,Level 1,Not Suspended,2023-11-03 16:10:48 PDT
FCI LOMPOC,890,Level 1,Not Suspended,2023-10-02 14:26:39 PDT
FCI LOMPOC,909,Level 1,Not Suspended,2023-12-13 10:58:17 PST
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-27 12:09:12 PDT
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-28 10:08:00 PDT
FCI LOMPOC,889,Level 1,Not Suspended,2023-11-15 09:40:32 PST
FCI LOMPOC,909,Level 1,Not Suspended,2023-12-12 16:40:36 PST
FCI LOMPOC,882,Level 1,Not Suspended,2023-09-27 11:14:07 PDT
FCI LOMPOC,909,Level 1,Not Suspended,2023-12-11 08:57:41 PST
FCI LOMPOC,889,Level 1,Not Suspended,2023-11-12 09:30:55 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-20 09:11:56 PST
FCI LOMPOC,909,Level 1,Not Suspended,2023-12-08 20:56:24 PST
FCI LOMPOC,889,Level 1,Not Suspended,2023-11-13 09:37:39 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-29 11:33:18 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-29 10:51:45 PST
FCI LOMPOC,901,Level 1,Not Suspended,2024-01-08 10:45:18 PST
FCI LOMPOC,901,Level 1,Not Suspended,2024-01-09 10:25:30 PST
FCI LOMPOC,878,Level 1,Not Suspended,2023-11-21 11:21:21 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-22 08:17:24 PST
FCI LOMPOC,909,Level 1,Not Suspended,2023-12-07 17:02:04 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-28 11:43:23 PST
FCI LOMPOC,907,Level 1,Not Suspended,2024-01-02 10:31:27 PST
FCI LOMPOC,904,Level 1,Not Suspended,2023-11-10 10:49:01 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-18 07:06:39 PST
FCI LOMPOC,866,Level 1,Not Suspended,2023-11-27 12:20:29 PST
FCI LOMPOC,866,Level 1,Not Suspended,2023-11-28 10:31:58 PST
FCI LOMPOC,878,Level 1,Not Suspended,2023-11-22 10:02:55 PST
FCI LOMPOC,906,Level 1,Not Suspended,2023-12-27 10:20:58 PST
FCI LOMPOC,901,Level 1,Not Suspended,2024-01-05 10:24:51 PST
FCI LOMPOC,901,Level 1,Not Suspended,2024-01-04 10:23:28 PST
FCI LOMPOC,878,Level 1,Not Suspended,2023-11-26 14:57:04 PST
FCI LOMPOC,907,Level 1,Not Suspended,2024-01-03 09:57:43 PST
