title,population,operation_level,visiting_status,datetime_of_data
FCI LORETTO,800,No Longer Available,Not Suspended,2024-02-16 10:34:36 PST
FCI LORETTO,800,No Longer Available,Not Suspended,2024-02-20 10:29:35 PST
FCI LORETTO,800,No Longer Available,Not Suspended,2024-02-18 14:59:47 PST
FCI LORETTO,800,No Longer Available,Not Suspended,2024-02-19 08:06:43 PST
FCI LORETTO,795,No Longer Available,Not Suspended,2024-02-27 07:19:57 PST
FCI LORETTO,795,No Longer Available,Not Suspended,2024-02-26 18:32:05 PST
FCI LORETTO,804,No Longer Available,Not Suspended,2024-03-01 10:27:56 PST
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-13 10:47:24 PST
FCI LORETTO,795,No Longer Available,Not Suspended,2024-02-23 12:47:02 PST
FCI LORETTO,795,No Longer Available,Not Suspended,2024-02-24 11:42:51 PST
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-08 14:17:43 PST
FCI LORETTO,804,No Longer Available,Not Suspended,2024-03-03 21:16:29 PST
FCI LORETTO,791,No Longer Available,Not Suspended,2024-03-19 10:14:16 PDT
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-07 19:23:31 PST
FCI LORETTO,791,No Longer Available,Not Suspended,2024-03-21 10:21:12 PDT
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-09 10:24:50 PST
FCI LORETTO,808,No Longer Available,Not Suspended,2024-01-19 10:38:55 PST
FCI LORETTO,791,No Longer Available,Not Suspended,2024-03-20 10:16:46 PDT
FCI LORETTO,803,No Longer Available,Not Suspended,2024-02-01 14:16:56 PST
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-10 17:56:07 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-02 23:10:22 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-03 19:39:32 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-06 14:30:51 PST
FCI LORETTO,808,No Longer Available,Not Suspended,2024-01-23 10:22:33 PST
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-12 09:34:02 PST
FCI LORETTO,808,No Longer Available,Not Suspended,2024-01-22 10:20:58 PST
FCI LORETTO,808,No Longer Available,Not Suspended,2024-01-24 09:16:21 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-03 09:34:08 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-05 11:30:30 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-30 14:23:54 PST
FCI LORETTO,798,No Longer Available,Not Suspended,2024-02-11 11:07:59 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-28 20:34:43 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-26 10:26:58 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-27 14:51:34 PST
FCI LORETTO,806,No Longer Available,Not Suspended,2024-01-11 12:24:28 PST
FCI LORETTO,805,No Longer Available,Not Suspended,2024-02-04 12:48:06 PST
FCI LORETTO,807,No Longer Available,Not Suspended,2024-01-18 10:28:36 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-29 09:57:37 PST
FCI LORETTO,806,No Longer Available,Not Suspended,2024-01-13 12:58:45 PST
FCI LORETTO,807,No Longer Available,Not Suspended,2024-01-17 10:24:56 PST
FCI LORETTO,807,No Longer Available,Not Suspended,2024-01-16 10:26:41 PST
FCI LORETTO,803,No Longer Available,Not Suspended,2024-01-25 11:45:42 PST
FCI LORETTO,822,Level 1,Not Suspended,2023-10-22 11:34:27 PDT
FCI LORETTO,834,Level 1,Not Suspended,2023-09-28 16:19:53 PDT
FCI LORETTO,821,Level 1,Not Suspended,2023-09-28 06:59:20 PDT
FCI LORETTO,821,Level 1,Not Suspended,2023-09-27 18:34:28 PDT
FCI LORETTO,821,Level 1,Not Suspended,2023-09-27 15:55:49 PDT
FCI LORETTO,820,Level 1,Not Suspended,2023-11-03 16:11:19 PDT
FCI LORETTO,834,Level 1,Not Suspended,2023-10-02 14:27:11 PDT
FCI LORETTO,820,Level 1,Not Suspended,2023-12-13 10:58:48 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-09-27 12:09:44 PDT
FCI LORETTO,821,Level 1,Not Suspended,2023-09-28 10:08:31 PDT
FCI LORETTO,822,Level 1,Not Suspended,2023-11-15 09:41:03 PST
FCI LORETTO,820,Level 1,Not Suspended,2023-12-12 16:41:07 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-09-27 11:14:24 PDT
FCI LORETTO,820,Level 1,Not Suspended,2023-12-11 08:58:12 PST
FCI LORETTO,822,Level 1,Not Suspended,2023-11-12 09:31:26 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-20 09:12:27 PST
FCI LORETTO,820,Level 1,Not Suspended,2023-12-08 20:56:55 PST
FCI LORETTO,822,Level 1,Not Suspended,2023-11-13 09:38:10 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-29 11:33:49 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-29 10:52:16 PST
FCI LORETTO,806,Level 1,Not Suspended,2024-01-08 10:45:48 PST
FCI LORETTO,806,Level 1,Not Suspended,2024-01-09 10:26:02 PST
FCI LORETTO,817,Level 1,Not Suspended,2023-11-21 11:21:53 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-22 08:17:56 PST
FCI LORETTO,820,Level 1,Not Suspended,2023-12-07 17:02:37 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-28 11:43:55 PST
FCI LORETTO,800,Level 1,Not Suspended,2024-01-02 10:31:59 PST
FCI LORETTO,820,Level 1,Not Suspended,2023-11-10 10:49:33 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-18 07:07:11 PST
FCI LORETTO,823,Level 1,Not Suspended,2023-11-27 12:21:00 PST
FCI LORETTO,823,Level 1,Not Suspended,2023-11-28 10:32:29 PST
FCI LORETTO,817,Level 1,Not Suspended,2023-11-22 10:03:27 PST
FCI LORETTO,813,Level 1,Not Suspended,2023-12-27 10:21:30 PST
FCI LORETTO,806,Level 1,Not Suspended,2024-01-05 10:25:23 PST
FCI LORETTO,806,Level 1,Not Suspended,2024-01-04 10:24:00 PST
FCI LORETTO,817,Level 1,Not Suspended,2023-11-26 14:57:36 PST
FCI LORETTO,800,Level 1,Not Suspended,2024-01-03 09:58:15 PST
FCI LORETTO,806,Level 1,Not Suspended,2024-01-07 18:18:03 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-12-01 11:34:32 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-11-30 10:25:08 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-12-04 14:56:53 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-12-05 07:42:25 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-12-03 10:59:14 PST
FCI LORETTO,821,Level 1,Not Suspended,2023-09-27 10:30:21 PDT
