title,population,operation_level,visiting_status,datetime_of_data
FCI MANCHESTER,"1,106",No Longer Available,Not Suspended,2024-02-16 10:35:07 PST
FCI MANCHESTER,"1,106",No Longer Available,Not Suspended,2024-02-20 10:30:06 PST
FCI MANCHESTER,"1,106",No Longer Available,Not Suspended,2024-02-18 15:00:18 PST
FCI MANCHESTER,"1,106",No Longer Available,Not Suspended,2024-02-19 08:07:15 PST
FCI MANCHESTER,"1,110",No Longer Available,Not Suspended,2024-02-27 07:20:29 PST
FCI MANCHESTER,"1,110",No Longer Available,Not Suspended,2024-02-26 18:32:38 PST
FCI MANCHESTER,"1,126",No Longer Available,Not Suspended,2024-03-01 10:28:27 PST
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-13 10:47:55 PST
FCI MANCHESTER,"1,110",No Longer Available,Not Suspended,2024-02-23 12:47:34 PST
FCI MANCHESTER,"1,110",No Longer Available,Not Suspended,2024-02-24 11:43:23 PST
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-08 14:18:15 PST
FCI MANCHESTER,"1,126",No Longer Available,Not Suspended,2024-03-03 21:17:05 PST
FCI MANCHESTER,"1,121",No Longer Available,Suspended,2024-03-19 10:14:46 PDT
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-07 19:24:06 PST
FCI MANCHESTER,"1,121",No Longer Available,Suspended,2024-03-21 10:21:44 PDT
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-09 10:25:21 PST
FCI MANCHESTER,"1,112",No Longer Available,Not Suspended,2024-01-19 10:39:26 PST
FCI MANCHESTER,"1,121",No Longer Available,Suspended,2024-03-20 10:17:17 PDT
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-02-01 14:17:28 PST
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-10 17:56:38 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-02 23:10:54 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-03 19:40:03 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-06 14:31:22 PST
FCI MANCHESTER,"1,112",No Longer Available,Not Suspended,2024-01-23 10:23:04 PST
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-12 09:34:36 PST
FCI MANCHESTER,"1,112",No Longer Available,Not Suspended,2024-01-22 10:21:29 PST
FCI MANCHESTER,"1,112",No Longer Available,Not Suspended,2024-01-24 09:16:52 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-03 09:34:40 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-05 11:31:01 PST
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-01-30 14:24:25 PST
FCI MANCHESTER,"1,115",No Longer Available,Not Suspended,2024-02-11 11:08:30 PST
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-01-28 20:35:15 PST
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-01-26 10:27:32 PST
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-01-27 14:52:06 PST
FCI MANCHESTER,"1,099",No Longer Available,Not Suspended,2024-01-11 12:24:59 PST
FCI MANCHESTER,"1,128",No Longer Available,Not Suspended,2024-02-04 12:48:37 PST
FCI MANCHESTER,"1,113",No Longer Available,Not Suspended,2024-01-18 10:29:07 PST
FCI MANCHESTER,"1,124",No Longer Available,Not Suspended,2024-01-29 09:58:09 PST
