title,population,operation_level,visiting_status,datetime_of_data
FCI MARIANNA,,Level 1,Not Suspended,2023-09-27 10:30:45 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-27 11:14:49 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-27 12:10:33 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-27 15:56:38 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-27 18:35:15 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-28 07:00:06 PDT
FCI MARIANNA,1220.0,Level 1,Not Suspended,2023-09-28 10:09:18 PDT
FCI MARIANNA,1221.0,Level 1,Not Suspended,2023-09-28 16:20:41 PDT
FCI MARIANNA,1221.0,Level 1,Not Suspended,2023-10-02 14:27:57 PDT
FCI MARIANNA,1213.0,Level 1,Not Suspended,2023-10-22 11:35:14 PDT
FCI MARIANNA,1201.0,Level 1,Not Suspended,2023-11-03 16:12:05 PDT
FCI MARIANNA,1201.0,Level 1,Not Suspended,2023-11-10 10:50:19 PST
FCI MARIANNA,1203.0,Level 1,Not Suspended,2023-11-12 09:32:12 PST
FCI MARIANNA,1203.0,Level 1,Not Suspended,2023-11-13 09:38:57 PST
FCI MARIANNA,1203.0,Level 1,Not Suspended,2023-11-15 09:41:49 PST
FCI MARIANNA,1206.0,Level 1,Not Suspended,2023-11-21 11:22:40 PST
FCI MARIANNA,1206.0,Level 1,Not Suspended,2023-11-22 10:04:13 PST
FCI MARIANNA,1206.0,Level 1,Not Suspended,2023-11-26 14:58:22 PST
FCI MARIANNA,1217.0,Level 1,Not Suspended,2023-11-27 12:21:46 PST
FCI MARIANNA,1217.0,Level 1,Not Suspended,2023-11-28 10:33:16 PST
FCI MARIANNA,1212.0,Level 1,Not Suspended,2023-11-30 10:25:54 PST
FCI MARIANNA,1212.0,Level 1,Not Suspended,2023-12-01 11:35:18 PST
FCI MARIANNA,1212.0,Level 1,Not Suspended,2023-12-03 11:00:01 PST
FCI MARIANNA,1212.0,Level 1,Not Suspended,2023-12-04 14:57:40 PST
FCI MARIANNA,1212.0,Level 1,Not Suspended,2023-12-05 07:43:12 PST
FCI MARIANNA,1208.0,Level 1,Not Suspended,2023-12-07 17:03:25 PST
FCI MARIANNA,1208.0,Level 1,Not Suspended,2023-12-08 20:57:41 PST
FCI MARIANNA,1208.0,Level 1,Not Suspended,2023-12-11 08:59:01 PST
FCI MARIANNA,1208.0,Level 1,Not Suspended,2023-12-12 16:41:53 PST
FCI MARIANNA,1208.0,Level 1,Not Suspended,2023-12-13 10:59:34 PST
FCI MARIANNA,1202.0,Level 1,Not Suspended,2023-12-18 07:07:57 PST
