title,population,operation_level,visiting_status,datetime_of_data
FCI MCDOWELL,,Level 1,Not Suspended,2023-09-27 10:31:10 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-27 11:15:14 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-27 12:11:22 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-27 15:57:28 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-27 18:36:01 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-28 07:00:54 PDT
FCI MCDOWELL,1546.0,Level 1,Not Suspended,2023-09-28 10:10:04 PDT
FCI MCDOWELL,1556.0,Level 1,Not Suspended,2023-09-28 16:21:27 PDT
FCI MCDOWELL,1556.0,Level 1,Not Suspended,2023-10-02 14:28:44 PDT
FCI MCDOWELL,1565.0,Level 1,Not Suspended,2023-10-22 11:36:00 PDT
FCI MCDOWELL,1563.0,Level 1,Not Suspended,2023-11-03 16:12:52 PDT
FCI MCDOWELL,1563.0,Level 1,Not Suspended,2023-11-10 10:51:07 PST
FCI MCDOWELL,1560.0,Level 1,Not Suspended,2023-11-12 09:32:59 PST
FCI MCDOWELL,1560.0,Level 1,Not Suspended,2023-11-13 09:39:46 PST
FCI MCDOWELL,1560.0,Level 1,Not Suspended,2023-11-15 09:42:37 PST
FCI MCDOWELL,1559.0,Level 1,Not Suspended,2023-11-21 11:23:27 PST
FCI MCDOWELL,1559.0,Level 1,Not Suspended,2023-11-22 10:05:01 PST
FCI MCDOWELL,1559.0,Level 1,Not Suspended,2023-11-26 14:59:09 PST
FCI MCDOWELL,1558.0,Level 1,Not Suspended,2023-11-27 12:22:33 PST
FCI MCDOWELL,1558.0,Level 1,Not Suspended,2023-11-28 10:34:03 PST
FCI MCDOWELL,1551.0,Level 1,Not Suspended,2023-11-30 10:26:42 PST
FCI MCDOWELL,1551.0,Level 1,Not Suspended,2023-12-01 11:36:05 PST
FCI MCDOWELL,1551.0,Level 1,Not Suspended,2023-12-03 11:00:47 PST
FCI MCDOWELL,1551.0,Level 1,Not Suspended,2023-12-04 14:58:27 PST
FCI MCDOWELL,1551.0,Level 1,Not Suspended,2023-12-05 07:43:59 PST
FCI MCDOWELL,1544.0,Level 1,Not Suspended,2023-12-07 17:04:14 PST
FCI MCDOWELL,1544.0,Level 1,Not Suspended,2023-12-08 20:58:27 PST
FCI MCDOWELL,1544.0,Level 1,Not Suspended,2023-12-11 08:59:50 PST
FCI MCDOWELL,1544.0,Level 1,Not Suspended,2023-12-12 16:42:40 PST
FCI MCDOWELL,1544.0,Level 1,Not Suspended,2023-12-13 11:00:21 PST
