title,population,operation_level,visiting_status,datetime_of_data
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-27 10:31:18 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-27 11:15:22 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-27 12:11:38 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-27 15:57:44 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-27 18:36:16 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-28 07:01:09 PDT
FCI MCKEAN,1086,Level 1,Not Suspended,2023-09-28 10:10:19 PDT
FCI MCKEAN,1105,Level 1,Not Suspended,2023-09-28 16:21:43 PDT
FCI MCKEAN,1105,Level 1,Suspended,2023-10-02 14:29:00 PDT
FCI MCKEAN,1090,Level 1,Not Suspended,2023-10-22 11:36:16 PDT
FCI MCKEAN,1103,Level 1,Not Suspended,2023-11-03 16:13:07 PDT
FCI MCKEAN,1103,Level 1,Not Suspended,2023-11-10 10:51:23 PST
FCI MCKEAN,1119,Level 1,Not Suspended,2023-11-12 09:33:14 PST
FCI MCKEAN,1119,Level 1,Not Suspended,2023-11-13 09:40:02 PST
FCI MCKEAN,1119,Level 1,Not Suspended,2023-11-15 09:42:52 PST
FCI MCKEAN,1114,Level 1,Not Suspended,2023-11-21 11:23:43 PST
FCI MCKEAN,1114,Level 1,Not Suspended,2023-11-22 10:05:16 PST
FCI MCKEAN,1114,Level 1,Not Suspended,2023-11-26 14:59:25 PST
FCI MCKEAN,1132,Level 1,Not Suspended,2023-11-27 12:22:48 PST
FCI MCKEAN,1132,Level 1,Not Suspended,2023-11-28 10:34:18 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-11-30 10:26:57 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-01 11:36:20 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-03 11:01:03 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-04 14:58:42 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-05 07:44:15 PST
FCI MCKEAN,1138,Level 1,Not Suspended,2023-12-07 17:04:30 PST
FCI MCKEAN,1138,Level 1,Not Suspended,2023-12-08 20:58:43 PST
FCI MCKEAN,1138,Level 1,Not Suspended,2023-12-11 09:00:08 PST
FCI MCKEAN,1138,Level 1,Not Suspended,2023-12-12 16:42:55 PST
FCI MCKEAN,1138,Level 1,Not Suspended,2023-12-13 11:00:36 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-18 07:09:01 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-20 09:14:15 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-22 08:19:45 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-27 10:23:18 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-28 11:45:43 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-29 10:54:04 PST
FCI MCKEAN,1129,Level 1,Not Suspended,2023-12-29 11:35:37 PST
FCI MCKEAN,1135,Level 1,Not Suspended,2024-01-02 10:33:48 PST
FCI MCKEAN,1135,Level 1,Not Suspended,2024-01-03 10:00:04 PST
FCI MCKEAN,1134,Level 1,Not Suspended,2024-01-04 10:25:48 PST
FCI MCKEAN,1134,Level 1,Not Suspended,2024-01-05 10:27:13 PST
FCI MCKEAN,1134,Level 1,Not Suspended,2024-01-07 18:19:51 PST
FCI MCKEAN,1134,Level 1,Not Suspended,2024-01-08 10:47:36 PST
FCI MCKEAN,1134,Level 1,Not Suspended,2024-01-09 10:27:50 PST
FCI MCKEAN,1134,No Longer Available,Not Suspended,2024-01-11 12:26:17 PST
FCI MCKEAN,1134,No Longer Available,Not Suspended,2024-01-13 13:00:33 PST
FCI MCKEAN,1127,No Longer Available,Not Suspended,2024-01-16 10:28:33 PST
FCI MCKEAN,1127,No Longer Available,Not Suspended,2024-01-17 10:26:46 PST
FCI MCKEAN,1127,No Longer Available,Not Suspended,2024-01-18 10:30:25 PST
FCI MCKEAN,1164,No Longer Available,Not Suspended,2024-01-19 10:40:46 PST
FCI MCKEAN,1164,No Longer Available,Not Suspended,2024-01-22 10:22:48 PST
FCI MCKEAN,1164,No Longer Available,Not Suspended,2024-01-23 10:24:22 PST
FCI MCKEAN,1164,No Longer Available,Not Suspended,2024-01-24 09:18:10 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-25 11:47:31 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-26 10:28:51 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-27 14:53:29 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-28 20:36:34 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-29 09:59:29 PST
FCI MCKEAN,1159,No Longer Available,Not Suspended,2024-01-30 14:25:45 PST
FCI MCKEAN,1159,No Longer Available,Suspended,2024-02-01 14:18:48 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-02 23:12:14 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-03 09:36:00 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-03 19:41:24 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-04 12:49:58 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-05 11:32:19 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-06 14:32:45 PST
FCI MCKEAN,1156,No Longer Available,Suspended,2024-02-07 19:25:26 PST
