title,population,operation_level,visiting_status,datetime_of_data
FCI MEMPHIS,,Level 1,Not Suspended,2023-09-27 10:31:26 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-27 11:15:30 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-27 12:11:55 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-27 15:58:01 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-27 18:36:32 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-28 07:01:24 PDT
FCI MEMPHIS,997.0,Level 1,Not Suspended,2023-09-28 10:10:36 PDT
FCI MEMPHIS,991.0,Level 1,Not Suspended,2023-09-28 16:21:59 PDT
FCI MEMPHIS,991.0,Level 1,Not Suspended,2023-10-02 14:29:16 PDT
FCI MEMPHIS,1083.0,Level 1,Not Suspended,2023-10-22 11:36:31 PDT
FCI MEMPHIS,1120.0,Level 1,Not Suspended,2023-11-03 16:13:23 PDT
FCI MEMPHIS,1120.0,Level 1,Not Suspended,2023-11-10 10:51:38 PST
FCI MEMPHIS,1109.0,Level 1,Not Suspended,2023-11-12 09:33:30 PST
FCI MEMPHIS,1109.0,Level 1,Not Suspended,2023-11-13 09:40:17 PST
FCI MEMPHIS,1109.0,Level 1,Not Suspended,2023-11-15 09:43:07 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-11-21 11:23:59 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-11-22 10:05:32 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-11-26 14:59:41 PST
FCI MEMPHIS,1098.0,Level 1,Not Suspended,2023-11-27 12:23:04 PST
FCI MEMPHIS,1098.0,Level 1,Not Suspended,2023-11-28 10:34:34 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-11-30 10:27:13 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-12-01 11:36:36 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-12-03 11:01:18 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-12-04 14:58:57 PST
FCI MEMPHIS,1095.0,Level 1,Not Suspended,2023-12-05 07:44:31 PST
FCI MEMPHIS,1090.0,Level 1,Not Suspended,2023-12-07 17:04:46 PST
FCI MEMPHIS,1090.0,Level 1,Not Suspended,2023-12-08 20:58:58 PST
FCI MEMPHIS,1090.0,Level 1,Not Suspended,2023-12-11 09:00:24 PST
FCI MEMPHIS,1090.0,Level 1,Not Suspended,2023-12-12 16:43:10 PST
FCI MEMPHIS,1090.0,Level 1,Not Suspended,2023-12-13 11:00:52 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-18 07:09:18 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-20 09:14:30 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-22 08:20:01 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-27 10:23:34 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-28 11:46:01 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-29 10:54:20 PST
FCI MEMPHIS,1086.0,Level 1,Not Suspended,2023-12-29 11:35:53 PST
FCI MEMPHIS,1084.0,Level 1,Not Suspended,2024-01-02 10:34:03 PST
FCI MEMPHIS,1084.0,Level 1,Not Suspended,2024-01-03 10:00:20 PST
FCI MEMPHIS,1080.0,Level 1,Not Suspended,2024-01-04 10:26:04 PST
FCI MEMPHIS,1080.0,Level 1,Not Suspended,2024-01-05 10:27:28 PST
