title,population,operation_level,visiting_status,datetime_of_data
FCI MENDOTA,,Level 1,Suspended,2023-09-27 10:31:34 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-27 11:15:38 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-27 12:12:11 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-27 15:58:17 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-27 18:36:47 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-28 07:01:40 PDT
FCI MENDOTA,1203.0,Level 1,Suspended,2023-09-28 10:10:51 PDT
FCI MENDOTA,1195.0,Level 1,Suspended,2023-09-28 16:22:14 PDT
FCI MENDOTA,1195.0,Level 1,Suspended,2023-10-02 14:29:31 PDT
FCI MENDOTA,1178.0,Level 1,Suspended,2023-10-22 11:36:47 PDT
FCI MENDOTA,1163.0,Level 1,Not Suspended,2023-11-03 16:13:39 PDT
FCI MENDOTA,1163.0,Level 1,Not Suspended,2023-11-10 10:51:53 PST
FCI MENDOTA,1158.0,Level 1,Not Suspended,2023-11-12 09:33:45 PST
FCI MENDOTA,1158.0,Level 1,Not Suspended,2023-11-13 09:40:33 PST
FCI MENDOTA,1158.0,Level 1,Not Suspended,2023-11-15 09:43:23 PST
FCI MENDOTA,1146.0,Level 1,Not Suspended,2023-11-21 11:24:14 PST
FCI MENDOTA,1146.0,Level 1,Not Suspended,2023-11-22 10:05:47 PST
FCI MENDOTA,1146.0,Level 1,Suspended,2023-11-26 14:59:56 PST
FCI MENDOTA,1129.0,Level 1,Suspended,2023-11-27 12:23:19 PST
FCI MENDOTA,1129.0,Level 1,Suspended,2023-11-28 10:34:49 PST
FCI MENDOTA,1128.0,Level 1,Suspended,2023-11-30 10:27:28 PST
FCI MENDOTA,1128.0,Level 1,Suspended,2023-12-01 11:36:51 PST
FCI MENDOTA,1128.0,Level 1,Suspended,2023-12-03 11:01:34 PST
