title,population,operation_level,visiting_status,datetime_of_data
FCI MIAMI,978,No Longer Available,Not Suspended,2024-02-16 10:37:13 PST
FCI MIAMI,978,No Longer Available,Not Suspended,2024-02-20 10:32:13 PST
FCI MIAMI,978,No Longer Available,Not Suspended,2024-02-18 15:02:27 PST
FCI MIAMI,978,No Longer Available,Not Suspended,2024-02-19 08:09:26 PST
FCI MIAMI,"1,016",No Longer Available,Not Suspended,2024-02-27 07:22:37 PST
FCI MIAMI,"1,016",No Longer Available,Not Suspended,2024-02-26 18:34:53 PST
FCI MIAMI,"1,020",No Longer Available,Not Suspended,2024-03-01 10:30:32 PST
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-13 10:50:06 PST
FCI MIAMI,"1,016",No Longer Available,Not Suspended,2024-02-23 12:49:41 PST
FCI MIAMI,"1,016",No Longer Available,Not Suspended,2024-02-24 11:45:31 PST
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-08 14:20:25 PST
FCI MIAMI,"1,020",No Longer Available,Not Suspended,2024-03-03 21:19:21 PST
FCI MIAMI,987,No Longer Available,Not Suspended,2024-03-19 10:16:54 PDT
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-07 19:26:14 PST
FCI MIAMI,987,No Longer Available,Not Suspended,2024-03-21 10:24:00 PDT
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-09 10:27:28 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-19 10:41:34 PST
FCI MIAMI,987,No Longer Available,Not Suspended,2024-03-20 10:19:25 PDT
FCI MIAMI,975,No Longer Available,Not Suspended,2024-02-01 14:19:35 PST
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-10 17:59:02 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-02 23:13:02 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-03 19:42:12 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-06 14:33:33 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-23 10:25:09 PST
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-12 09:36:45 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-22 10:23:34 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-24 09:18:57 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-03 09:36:48 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-05 11:33:07 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-30 14:26:33 PST
FCI MIAMI,971,No Longer Available,Not Suspended,2024-02-11 11:10:34 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-28 20:37:22 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-26 10:29:37 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-27 14:54:18 PST
FCI MIAMI,978,No Longer Available,Not Suspended,2024-01-11 12:27:04 PST
FCI MIAMI,966,No Longer Available,Not Suspended,2024-02-04 12:50:51 PST
FCI MIAMI,979,No Longer Available,Not Suspended,2024-01-18 10:31:12 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-29 10:00:15 PST
FCI MIAMI,978,No Longer Available,Not Suspended,2024-01-13 13:01:19 PST
FCI MIAMI,979,No Longer Available,Not Suspended,2024-01-17 10:27:33 PST
FCI MIAMI,979,No Longer Available,Not Suspended,2024-01-16 10:29:21 PST
FCI MIAMI,975,No Longer Available,Not Suspended,2024-01-25 11:48:18 PST
FCI MIAMI,962,Level 1,Not Suspended,2023-10-22 11:37:02 PDT
FCI MIAMI,955,Level 1,Not Suspended,2023-09-28 16:22:30 PDT
FCI MIAMI,962,Level 1,Not Suspended,2023-09-28 07:01:55 PDT
FCI MIAMI,962,Level 1,Not Suspended,2023-09-27 18:37:02 PDT
FCI MIAMI,962,Level 1,Not Suspended,2023-09-27 15:58:33 PDT
FCI MIAMI,966,Level 1,Not Suspended,2023-11-03 16:13:54 PDT
FCI MIAMI,955,Level 1,Not Suspended,2023-10-02 14:29:46 PDT
FCI MIAMI,960,Level 1,Not Suspended,2023-12-13 11:01:22 PST
FCI MIAMI,962,Level 1,Not Suspended,2023-09-27 12:12:28 PDT
FCI MIAMI,962,Level 1,Not Suspended,2023-09-28 10:11:07 PDT
FCI MIAMI,957,Level 1,Not Suspended,2023-11-15 09:43:38 PST
FCI MIAMI,960,Level 1,Not Suspended,2023-12-12 16:43:41 PST
FCI MIAMI,962,Level 1,Not Suspended,2023-09-27 11:15:46 PDT
FCI MIAMI,960,Level 1,Not Suspended,2023-12-11 09:00:56 PST
FCI MIAMI,957,Level 1,Not Suspended,2023-11-12 09:34:00 PST
FCI MIAMI,971,Level 1,Not Suspended,2023-12-20 09:15:01 PST
FCI MIAMI,960,Level 1,Not Suspended,2023-12-08 20:59:29 PST
FCI MIAMI,957,Level 1,Not Suspended,2023-11-13 09:40:48 PST
FCI MIAMI,971,Level 1,Not Suspended,2023-12-29 11:36:23 PST
FCI MIAMI,971,Level 1,Not Suspended,2023-12-29 10:54:51 PST
FCI MIAMI,978,Level 1,Not Suspended,2024-01-08 10:48:22 PST
FCI MIAMI,978,Level 1,Not Suspended,2024-01-09 10:28:37 PST
FCI MIAMI,976,Level 1,Not Suspended,2023-11-21 11:24:32 PST
FCI MIAMI,971,Level 1,Not Suspended,2023-12-22 08:20:32 PST
FCI MIAMI,960,Level 1,Not Suspended,2023-12-07 17:05:18 PST
FCI MIAMI,971,Level 1,Not Suspended,2023-12-28 11:46:33 PST
FCI MIAMI,986,Level 1,Not Suspended,2024-01-02 10:34:34 PST
