title,population,operation_level,visiting_status,datetime_of_data
FCI MILAN,"1,563",No Longer Available,Not Suspended,2024-02-16 10:37:44 PST
FCI MILAN,"1,563",No Longer Available,Not Suspended,2024-02-20 10:32:51 PST
FCI MILAN,"1,563",No Longer Available,Not Suspended,2024-02-18 15:02:59 PST
FCI MILAN,"1,563",No Longer Available,Not Suspended,2024-02-19 08:09:58 PST
FCI MILAN,"1,556",No Longer Available,Not Suspended,2024-02-27 07:23:09 PST
FCI MILAN,"1,556",No Longer Available,Not Suspended,2024-02-26 18:35:24 PST
FCI MILAN,"1,558",No Longer Available,Not Suspended,2024-03-01 10:31:03 PST
FCI MILAN,"1,545",No Longer Available,Not Suspended,2024-02-13 10:50:39 PST
FCI MILAN,"1,556",No Longer Available,Not Suspended,2024-02-23 12:50:12 PST
FCI MILAN,"1,556",No Longer Available,Not Suspended,2024-02-24 11:46:03 PST
FCI MILAN,"1,545",No Longer Available,Not Suspended,2024-02-08 14:20:56 PST
FCI MILAN,"1,558",No Longer Available,Not Suspended,2024-03-03 21:19:54 PST
FCI MILAN,"1,537",No Longer Available,Not Suspended,2024-03-19 10:17:26 PDT
FCI MILAN,"1,549",No Longer Available,Not Suspended,2024-02-07 19:26:46 PST
FCI MILAN,"1,537",No Longer Available,Not Suspended,2024-03-21 10:24:36 PDT
FCI MILAN,"1,545",No Longer Available,Not Suspended,2024-02-09 10:28:00 PST
FCI MILAN,"1,552",No Longer Available,Not Suspended,2024-01-19 10:42:06 PST
FCI MILAN,"1,537",No Longer Available,Not Suspended,2024-03-20 10:19:56 PDT
FCI MILAN,"1,553",No Longer Available,Not Suspended,2024-02-01 14:20:08 PST
FCI MILAN,"1,545",No Longer Available,Not Suspended,2024-02-10 17:59:34 PST
FCI MILAN,"1,549",No Longer Available,Not Suspended,2024-02-02 23:13:33 PST
FCI MILAN,"1,549",No Longer Available,Not Suspended,2024-02-03 19:42:43 PST
FCI MILAN,"1,549",No Longer Available,Not Suspended,2024-02-06 14:34:05 PST
FCI MILAN,"1,552",No Longer Available,Not Suspended,2024-01-23 10:25:40 PST
FCI MILAN,"1,545",No Longer Available,Not Suspended,2024-02-12 09:37:18 PST
FCI MILAN,"1,552",No Longer Available,Not Suspended,2024-01-22 10:24:04 PST
FCI MILAN,"1,552",No Longer Available,Not Suspended,2024-01-24 09:19:28 PST
FCI MILAN,"1,549",No Longer Available,Not Suspended,2024-02-03 09:37:19 PST
