title,population,operation_level,visiting_status,datetime_of_data
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-27 10:32:14 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-27 11:16:20 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-27 12:13:32 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-27 15:59:37 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-27 18:38:04 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-28 07:02:58 PDT
FCI MORGANTOWN,512,Level 1,Not Suspended,2023-09-28 10:12:09 PDT
FCI MORGANTOWN,506,Level 1,Not Suspended,2023-09-28 16:23:32 PDT
FCI MORGANTOWN,506,Level 1,Not Suspended,2023-10-02 14:30:49 PDT
FCI MORGANTOWN,491,Level 1,Not Suspended,2023-10-22 11:38:05 PDT
FCI MORGANTOWN,470,Level 1,Not Suspended,2023-11-03 16:14:57 PDT
FCI MORGANTOWN,470,Level 1,Not Suspended,2023-11-10 10:53:12 PST
FCI MORGANTOWN,463,Level 1,Not Suspended,2023-11-12 09:35:03 PST
FCI MORGANTOWN,463,Level 1,Not Suspended,2023-11-13 09:41:51 PST
FCI MORGANTOWN,463,Level 1,Not Suspended,2023-11-15 09:44:41 PST
FCI MORGANTOWN,458,Level 1,Not Suspended,2023-11-21 11:25:35 PST
FCI MORGANTOWN,458,Level 1,Not Suspended,2023-11-22 10:07:05 PST
FCI MORGANTOWN,458,Level 1,Not Suspended,2023-11-26 15:01:15 PST
FCI MORGANTOWN,453,Level 1,Not Suspended,2023-11-27 12:24:37 PST
FCI MORGANTOWN,453,Level 1,Not Suspended,2023-11-28 10:36:09 PST
FCI MORGANTOWN,448,Level 1,Not Suspended,2023-11-30 10:28:46 PST
FCI MORGANTOWN,448,Level 1,Not Suspended,2023-12-01 11:38:09 PST
FCI MORGANTOWN,448,Level 1,Not Suspended,2023-12-03 11:02:52 PST
FCI MORGANTOWN,448,Level 1,Not Suspended,2023-12-04 15:00:31 PST
FCI MORGANTOWN,448,Level 1,Not Suspended,2023-12-05 07:46:05 PST
FCI MORGANTOWN,444,Level 1,Not Suspended,2023-12-07 17:06:26 PST
FCI MORGANTOWN,444,Level 1,Not Suspended,2023-12-08 21:00:33 PST
FCI MORGANTOWN,444,Level 1,Not Suspended,2023-12-11 09:02:00 PST
FCI MORGANTOWN,444,Level 1,Not Suspended,2023-12-12 16:44:43 PST
FCI MORGANTOWN,444,Level 1,Not Suspended,2023-12-13 11:02:24 PST
FCI MORGANTOWN,446,Level 1,Not Suspended,2023-12-18 07:10:50 PST
