title,population,operation_level,visiting_status,datetime_of_data
FCI OAKDALE II,"1,116",No Longer Available,Not Suspended,2024-02-16 10:38:49 PST
FCI OAKDALE II,"1,116",No Longer Available,Not Suspended,2024-02-20 10:33:55 PST
FCI OAKDALE II,"1,116",No Longer Available,Not Suspended,2024-02-18 15:04:03 PST
FCI OAKDALE II,"1,116",No Longer Available,Not Suspended,2024-02-19 08:11:01 PST
FCI OAKDALE II,"1,110",No Longer Available,Not Suspended,2024-02-27 07:24:12 PST
FCI OAKDALE II,"1,110",No Longer Available,Not Suspended,2024-02-26 18:36:34 PST
FCI OAKDALE II,"1,123",No Longer Available,Not Suspended,2024-03-01 10:32:06 PST
FCI OAKDALE II,"1,117",No Longer Available,Not Suspended,2024-02-13 10:51:42 PST
FCI OAKDALE II,"1,110",No Longer Available,Not Suspended,2024-02-23 12:51:17 PST
FCI OAKDALE II,"1,110",No Longer Available,Not Suspended,2024-02-24 11:47:06 PST
FCI OAKDALE II,"1,117",No Longer Available,Not Suspended,2024-02-08 14:21:59 PST
FCI OAKDALE II,"1,123",No Longer Available,Not Suspended,2024-03-03 21:21:05 PST
FCI OAKDALE II,"1,123",No Longer Available,Not Suspended,2024-03-19 10:18:30 PDT
FCI OAKDALE II,"1,146",No Longer Available,Not Suspended,2024-02-07 19:27:50 PST
FCI OAKDALE II,"1,123",No Longer Available,Not Suspended,2024-03-21 10:25:45 PDT
FCI OAKDALE II,"1,117",No Longer Available,Not Suspended,2024-02-09 10:29:03 PST
FCI OAKDALE II,"1,157",No Longer Available,Not Suspended,2024-01-19 10:43:10 PST
FCI OAKDALE II,"1,123",No Longer Available,Not Suspended,2024-03-20 10:21:00 PDT
FCI OAKDALE II,"1,154",No Longer Available,Not Suspended,2024-02-01 14:21:10 PST
FCI OAKDALE II,"1,117",No Longer Available,Not Suspended,2024-02-10 18:00:38 PST
FCI OAKDALE II,"1,146",No Longer Available,Not Suspended,2024-02-02 23:14:36 PST
FCI OAKDALE II,"1,146",No Longer Available,Not Suspended,2024-02-03 19:43:50 PST
FCI OAKDALE II,"1,146",No Longer Available,Not Suspended,2024-02-06 14:35:08 PST
FCI OAKDALE II,"1,157",No Longer Available,Not Suspended,2024-01-23 10:26:43 PST
FCI OAKDALE II,"1,117",No Longer Available,Not Suspended,2024-02-12 09:38:23 PST
FCI OAKDALE II,"1,157",No Longer Available,Not Suspended,2024-01-22 10:25:07 PST
FCI OAKDALE II,"1,157",No Longer Available,Not Suspended,2024-01-24 09:20:31 PST
