title,population,operation_level,visiting_status,datetime_of_data
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-16 10:39:05 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-20 10:34:11 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-18 15:04:18 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-19 08:11:17 PST
FCI OAKDALE I,827,No Longer Available,Not Suspended,2024-02-27 07:24:28 PST
FCI OAKDALE I,827,No Longer Available,Not Suspended,2024-02-26 18:36:49 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-03-01 10:32:21 PST
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-13 10:51:57 PST
FCI OAKDALE I,827,No Longer Available,Not Suspended,2024-02-23 12:51:33 PST
FCI OAKDALE I,827,No Longer Available,Not Suspended,2024-02-24 11:47:22 PST
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-08 14:22:15 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-03-03 21:21:21 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-03-19 10:18:46 PDT
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-07 19:28:07 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-03-21 10:26:01 PDT
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-09 10:29:19 PST
FCI OAKDALE I,837,No Longer Available,Not Suspended,2024-01-19 10:43:26 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-03-20 10:21:15 PDT
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-02-01 14:21:26 PST
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-10 18:00:55 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-02 23:14:52 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-03 19:44:06 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-06 14:35:23 PST
FCI OAKDALE I,837,No Longer Available,Not Suspended,2024-01-23 10:27:00 PST
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-12 09:38:38 PST
FCI OAKDALE I,837,No Longer Available,Not Suspended,2024-01-22 10:25:23 PST
FCI OAKDALE I,837,No Longer Available,Not Suspended,2024-01-24 09:20:46 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-03 09:38:39 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-05 11:34:56 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-30 14:28:26 PST
FCI OAKDALE I,828,No Longer Available,Not Suspended,2024-02-11 11:12:24 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-28 20:39:11 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-26 10:31:28 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-27 14:56:08 PST
FCI OAKDALE I,822,No Longer Available,Not Suspended,2024-01-11 12:28:54 PST
FCI OAKDALE I,829,No Longer Available,Not Suspended,2024-02-04 12:52:42 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-01-18 10:33:02 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-29 10:02:04 PST
FCI OAKDALE I,822,No Longer Available,Not Suspended,2024-01-13 13:03:08 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-01-17 10:29:24 PST
FCI OAKDALE I,820,No Longer Available,Not Suspended,2024-01-16 10:31:12 PST
FCI OAKDALE I,835,No Longer Available,Not Suspended,2024-01-25 11:50:08 PST
FCI OAKDALE I,806,Level 1,Not Suspended,2023-10-22 11:38:51 PDT
FCI OAKDALE I,811,Level 1,Not Suspended,2023-09-28 16:24:18 PDT
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-28 07:03:44 PDT
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-27 18:38:50 PDT
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-27 16:00:26 PDT
FCI OAKDALE I,790,Level 1,Not Suspended,2023-11-03 16:15:43 PDT
FCI OAKDALE I,811,Level 1,Not Suspended,2023-10-02 14:31:35 PDT
FCI OAKDALE I,801,Level 1,Not Suspended,2023-12-13 11:03:10 PST
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-27 12:14:21 PDT
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-28 10:12:56 PDT
FCI OAKDALE I,814,Level 1,Not Suspended,2023-11-15 09:45:27 PST
FCI OAKDALE I,801,Level 1,Not Suspended,2023-12-12 16:45:29 PST
FCI OAKDALE I,824,Level 1,Not Suspended,2023-09-27 11:16:44 PDT
FCI OAKDALE I,801,Level 1,Not Suspended,2023-12-11 09:02:49 PST
FCI OAKDALE I,814,Level 1,Not Suspended,2023-11-12 09:35:49 PST
FCI OAKDALE I,806,Level 1,Not Suspended,2023-12-20 09:16:49 PST
FCI OAKDALE I,801,Level 1,Not Suspended,2023-12-08 21:01:19 PST
FCI OAKDALE I,814,Level 1,Not Suspended,2023-11-13 09:42:37 PST
