title,population,operation_level,visiting_status,datetime_of_data
FCI OTISVILLE,"1,052",No Longer Available,Not Suspended,2024-02-16 10:39:37 PST
FCI OTISVILLE,"1,052",No Longer Available,Not Suspended,2024-02-20 10:34:43 PST
FCI OTISVILLE,"1,052",No Longer Available,Not Suspended,2024-02-18 15:04:50 PST
FCI OTISVILLE,"1,052",No Longer Available,Not Suspended,2024-02-19 08:11:50 PST
FCI OTISVILLE,"1,056",No Longer Available,Not Suspended,2024-02-27 07:25:00 PST
FCI OTISVILLE,"1,056",No Longer Available,Not Suspended,2024-02-26 18:37:22 PST
FCI OTISVILLE,"1,053",No Longer Available,Suspended,2024-03-01 10:32:52 PST
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-13 10:52:29 PST
FCI OTISVILLE,"1,056",No Longer Available,Not Suspended,2024-02-23 12:52:05 PST
FCI OTISVILLE,"1,056",No Longer Available,Not Suspended,2024-02-24 11:47:55 PST
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-08 14:22:47 PST
FCI OTISVILLE,"1,053",No Longer Available,Suspended,2024-03-03 21:21:55 PST
FCI OTISVILLE,"1,075",No Longer Available,Suspended,2024-03-19 10:19:18 PDT
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-07 19:28:39 PST
FCI OTISVILLE,"1,075",No Longer Available,Suspended,2024-03-21 10:26:35 PDT
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-09 10:29:50 PST
FCI OTISVILLE,"1,085",No Longer Available,Not Suspended,2024-01-19 10:43:58 PST
FCI OTISVILLE,"1,075",No Longer Available,Suspended,2024-03-20 10:21:52 PDT
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-02-01 14:21:58 PST
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-10 18:01:27 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-02 23:15:24 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-03 19:44:39 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-06 14:35:55 PST
FCI OTISVILLE,"1,085",No Longer Available,Not Suspended,2024-01-23 10:27:33 PST
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-12 09:39:11 PST
FCI OTISVILLE,"1,085",No Longer Available,Not Suspended,2024-01-22 10:25:54 PST
FCI OTISVILLE,"1,085",No Longer Available,Not Suspended,2024-01-24 09:21:18 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-03 09:39:11 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-05 11:35:28 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-30 14:29:00 PST
FCI OTISVILLE,"1,048",No Longer Available,Not Suspended,2024-02-11 11:12:55 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-28 20:39:42 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-26 10:31:59 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-27 14:56:40 PST
FCI OTISVILLE,"1,081",No Longer Available,Not Suspended,2024-01-11 12:29:26 PST
FCI OTISVILLE,"1,054",No Longer Available,Not Suspended,2024-02-04 12:53:14 PST
FCI OTISVILLE,"1,066",No Longer Available,Not Suspended,2024-01-18 10:33:34 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-29 10:02:35 PST
FCI OTISVILLE,"1,081",No Longer Available,Not Suspended,2024-01-13 13:03:39 PST
FCI OTISVILLE,"1,066",No Longer Available,Not Suspended,2024-01-17 10:29:56 PST
FCI OTISVILLE,"1,066",No Longer Available,Not Suspended,2024-01-16 10:31:44 PST
FCI OTISVILLE,"1,075",No Longer Available,Not Suspended,2024-01-25 11:50:40 PST
FCI OTISVILLE,"1,045",Level 1,Not Suspended,2023-10-22 11:39:23 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-28 16:24:49 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-28 07:04:15 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-27 18:39:21 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-27 16:00:58 PDT
FCI OTISVILLE,"1,022",Level 1,Not Suspended,2023-11-03 16:16:14 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-10-02 14:32:06 PDT
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-13 11:03:41 PST
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-27 12:14:53 PDT
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-28 10:13:27 PDT
FCI OTISVILLE,"1,041",Level 1,Not Suspended,2023-11-15 09:45:58 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-12 16:46:00 PST
FCI OTISVILLE,"1,070",Level 1,Not Suspended,2023-09-27 11:17:01 PDT
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-11 09:03:23 PST
FCI OTISVILLE,"1,041",Level 1,Not Suspended,2023-11-12 09:36:20 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-20 09:17:20 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-08 21:01:50 PST
FCI OTISVILLE,"1,041",Level 1,Not Suspended,2023-11-13 09:43:09 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-29 11:38:45 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-29 10:57:10 PST
FCI OTISVILLE,"1,081",Level 1,Not Suspended,2024-01-08 10:50:41 PST
FCI OTISVILLE,"1,081",Level 1,Not Suspended,2024-01-09 10:31:04 PST
FCI OTISVILLE,"1,048",Level 1,Not Suspended,2023-11-21 11:26:53 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-22 08:22:52 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-07 17:07:49 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-28 11:48:54 PST
FCI OTISVILLE,"1,058",Level 1,Not Suspended,2024-01-02 10:36:56 PST
FCI OTISVILLE,"1,022",Level 1,Not Suspended,2023-11-10 10:54:30 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-18 07:12:08 PST
FCI OTISVILLE,"1,058",Level 1,Not Suspended,2023-11-27 12:25:54 PST
FCI OTISVILLE,"1,058",Level 1,Not Suspended,2023-11-28 10:37:27 PST
FCI OTISVILLE,"1,048",Level 1,Not Suspended,2023-11-22 10:08:22 PST
FCI OTISVILLE,"1,056",Level 1,Not Suspended,2023-12-27 10:26:25 PST
FCI OTISVILLE,"1,081",Level 1,Not Suspended,2024-01-05 10:30:20 PST
FCI OTISVILLE,"1,081",Level 1,Not Suspended,2024-01-04 10:28:55 PST
FCI OTISVILLE,"1,048",Level 1,Not Suspended,2023-11-26 15:02:32 PST
FCI OTISVILLE,"1,058",Level 1,Not Suspended,2024-01-03 10:03:10 PST
FCI OTISVILLE,"1,081",Level 1,Not Suspended,2024-01-07 18:22:57 PST
FCI OTISVILLE,"1,046",Level 1,Not Suspended,2023-12-01 11:39:27 PST
FCI OTISVILLE,"1,046",Level 1,Not Suspended,2023-11-30 10:30:04 PST
FCI OTISVILLE,"1,046",Level 1,Not Suspended,2023-12-04 15:01:49 PST
FCI OTISVILLE,"1,046",Level 1,Not Suspended,2023-12-05 07:47:23 PST
FCI OTISVILLE,"1,046",Level 1,Not Suspended,2023-12-03 11:04:10 PST
