title,population,operation_level,visiting_status,datetime_of_data
FCI OXFORD,"1,044",No Longer Available,Not Suspended,2024-02-16 10:39:52 PST
FCI OXFORD,"1,044",No Longer Available,Not Suspended,2024-02-20 10:34:59 PST
FCI OXFORD,"1,044",No Longer Available,Not Suspended,2024-02-18 15:05:05 PST
FCI OXFORD,"1,044",No Longer Available,Not Suspended,2024-02-19 08:12:05 PST
FCI OXFORD,"1,039",No Longer Available,Not Suspended,2024-02-27 07:25:17 PST
FCI OXFORD,"1,039",No Longer Available,Not Suspended,2024-02-26 18:37:39 PST
FCI OXFORD,"1,041",No Longer Available,Not Suspended,2024-03-01 10:33:08 PST
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-13 10:52:45 PST
FCI OXFORD,"1,039",No Longer Available,Not Suspended,2024-02-23 12:52:21 PST
FCI OXFORD,"1,039",No Longer Available,Not Suspended,2024-02-24 11:48:11 PST
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-08 14:23:03 PST
FCI OXFORD,"1,041",No Longer Available,Not Suspended,2024-03-03 21:22:13 PST
FCI OXFORD,"1,069",No Longer Available,Not Suspended,2024-03-19 10:19:34 PDT
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-07 19:28:54 PST
FCI OXFORD,"1,069",No Longer Available,Not Suspended,2024-03-21 10:26:53 PDT
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-09 10:30:06 PST
FCI OXFORD,"1,014",No Longer Available,Not Suspended,2024-01-19 10:44:14 PST
FCI OXFORD,"1,069",No Longer Available,Not Suspended,2024-03-20 10:22:08 PDT
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-02-01 14:22:13 PST
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-10 18:01:42 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-02 23:15:39 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-03 19:44:54 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-06 14:36:11 PST
FCI OXFORD,"1,014",No Longer Available,Not Suspended,2024-01-23 10:27:49 PST
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-12 09:39:28 PST
FCI OXFORD,"1,014",No Longer Available,Not Suspended,2024-01-22 10:26:10 PST
FCI OXFORD,"1,014",No Longer Available,Not Suspended,2024-01-24 09:21:34 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-03 09:39:27 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-05 11:35:43 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-30 14:29:16 PST
FCI OXFORD,"1,024",No Longer Available,Not Suspended,2024-02-11 11:13:11 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-28 20:39:58 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-26 10:32:15 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-27 14:56:56 PST
FCI OXFORD,979,No Longer Available,Not Suspended,2024-01-11 12:29:42 PST
FCI OXFORD,"1,033",No Longer Available,Not Suspended,2024-02-04 12:53:30 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-18 10:33:50 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-29 10:02:50 PST
FCI OXFORD,979,No Longer Available,Suspended,2024-01-13 13:03:54 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-17 10:30:12 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-16 10:32:00 PST
FCI OXFORD,"1,012",No Longer Available,Not Suspended,2024-01-25 11:50:55 PST
FCI OXFORD,"1,011",Level 1,Not Suspended,2023-10-22 11:39:38 PDT
FCI OXFORD,923,Level 1,Not Suspended,2023-09-28 16:25:05 PDT
FCI OXFORD,920,Level 1,Not Suspended,2023-09-28 07:04:31 PDT
FCI OXFORD,920,Level 1,Not Suspended,2023-09-27 18:39:37 PDT
FCI OXFORD,920,Level 1,Not Suspended,2023-09-27 16:01:14 PDT
FCI OXFORD,995,Level 1,Not Suspended,2023-11-03 16:16:30 PDT
FCI OXFORD,923,Level 1,Not Suspended,2023-10-02 14:32:24 PDT
FCI OXFORD,993,Level 1,Not Suspended,2023-12-13 11:03:56 PST
FCI OXFORD,920,Level 1,Not Suspended,2023-09-27 12:15:10 PDT
FCI OXFORD,920,Level 1,Not Suspended,2023-09-28 10:13:43 PDT
FCI OXFORD,"1,016",Level 1,Not Suspended,2023-11-15 09:46:13 PST
FCI OXFORD,993,Level 1,Not Suspended,2023-12-12 16:46:16 PST
