title,population,operation_level,visiting_status,datetime_of_data
FCI PEKIN,"1,266",No Longer Available,Not Suspended,2024-02-16 10:40:09 PST
FCI PEKIN,"1,266",No Longer Available,Not Suspended,2024-02-20 10:35:15 PST
FCI PEKIN,"1,266",No Longer Available,Not Suspended,2024-02-18 15:05:22 PST
FCI PEKIN,"1,266",No Longer Available,Not Suspended,2024-02-19 08:12:22 PST
FCI PEKIN,"1,258",No Longer Available,Not Suspended,2024-02-27 07:25:33 PST
FCI PEKIN,"1,258",No Longer Available,Not Suspended,2024-02-26 18:37:55 PST
FCI PEKIN,"1,244",No Longer Available,Not Suspended,2024-03-01 10:33:23 PST
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-13 10:53:01 PST
FCI PEKIN,"1,258",No Longer Available,Not Suspended,2024-02-23 12:52:36 PST
FCI PEKIN,"1,258",No Longer Available,Not Suspended,2024-02-24 11:48:26 PST
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-08 14:23:19 PST
FCI PEKIN,"1,244",No Longer Available,Not Suspended,2024-03-03 21:22:29 PST
FCI PEKIN,"1,257",No Longer Available,Not Suspended,2024-03-19 10:19:50 PDT
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-07 19:29:11 PST
FCI PEKIN,"1,257",No Longer Available,Not Suspended,2024-03-21 10:27:08 PDT
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-09 10:30:22 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-19 10:44:29 PST
FCI PEKIN,"1,257",No Longer Available,Not Suspended,2024-03-20 10:22:24 PDT
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-02-01 14:22:29 PST
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-10 18:01:58 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-02 23:15:55 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-03 19:45:11 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-06 14:36:26 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-23 10:28:04 PST
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-12 09:39:44 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-22 10:26:26 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-24 09:21:49 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-03 09:39:43 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-05 11:35:59 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-30 14:29:32 PST
FCI PEKIN,"1,277",No Longer Available,Not Suspended,2024-02-11 11:13:32 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-28 20:40:14 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-26 10:32:30 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-27 14:57:12 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-11 12:29:58 PST
FCI PEKIN,"1,278",No Longer Available,Not Suspended,2024-02-04 12:53:45 PST
FCI PEKIN,"1,299",No Longer Available,Not Suspended,2024-01-18 10:34:05 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-29 10:03:06 PST
FCI PEKIN,"1,291",No Longer Available,Not Suspended,2024-01-13 13:04:10 PST
FCI PEKIN,"1,299",No Longer Available,Not Suspended,2024-01-17 10:30:28 PST
FCI PEKIN,"1,299",No Longer Available,Not Suspended,2024-01-16 10:32:16 PST
FCI PEKIN,"1,298",No Longer Available,Not Suspended,2024-01-25 11:51:11 PST
FCI PEKIN,"1,290",Level 1,Not Suspended,2023-10-22 11:39:54 PDT
FCI PEKIN,"1,308",Level 1,Not Suspended,2023-09-28 16:25:21 PDT
FCI PEKIN,"1,314",Level 1,Not Suspended,2023-09-28 07:04:47 PDT
FCI PEKIN,"1,314",Level 1,Not Suspended,2023-09-27 18:39:52 PDT
FCI PEKIN,"1,314",Level 1,Not Suspended,2023-09-27 16:01:31 PDT
FCI PEKIN,"1,273",Level 1,Not Suspended,2023-11-03 16:16:45 PDT
FCI PEKIN,"1,308",Level 1,Not Suspended,2023-10-02 14:32:40 PDT
FCI PEKIN,"1,290",Level 1,Not Suspended,2023-12-13 11:04:12 PST
FCI PEKIN,"1,314",Level 1,Not Suspended,2023-09-27 12:15:28 PDT
FCI PEKIN,"1,314",Level 1,Not Suspended,2023-09-28 10:13:58 PDT
FCI PEKIN,"1,274",Level 1,Not Suspended,2023-11-15 09:46:29 PST
FCI PEKIN,"1,290",Level 1,Not Suspended,2023-12-12 16:46:31 PST
