title,population,operation_level,visiting_status,datetime_of_data
FCI PETERSBURG LOW,672,No Longer Available,Not Suspended,2024-02-16 10:40:56 PST
FCI PETERSBURG LOW,672,No Longer Available,Not Suspended,2024-02-20 10:36:03 PST
FCI PETERSBURG LOW,672,No Longer Available,Not Suspended,2024-02-18 15:06:09 PST
FCI PETERSBURG LOW,672,No Longer Available,Not Suspended,2024-02-19 08:13:09 PST
FCI PETERSBURG LOW,673,No Longer Available,Not Suspended,2024-02-27 07:26:21 PST
FCI PETERSBURG LOW,673,No Longer Available,Not Suspended,2024-02-26 18:38:45 PST
FCI PETERSBURG LOW,678,No Longer Available,Not Suspended,2024-03-01 10:34:10 PST
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-13 10:53:49 PST
FCI PETERSBURG LOW,673,No Longer Available,Not Suspended,2024-02-23 12:53:24 PST
FCI PETERSBURG LOW,673,No Longer Available,Not Suspended,2024-02-24 11:49:15 PST
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-08 14:24:06 PST
FCI PETERSBURG LOW,678,No Longer Available,Not Suspended,2024-03-03 21:23:19 PST
FCI PETERSBURG LOW,676,No Longer Available,Not Suspended,2024-03-19 10:20:37 PDT
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-07 19:29:58 PST
FCI PETERSBURG LOW,676,No Longer Available,Not Suspended,2024-03-21 10:28:02 PDT
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-09 10:31:09 PST
FCI PETERSBURG LOW,679,No Longer Available,Not Suspended,2024-01-19 10:45:16 PST
FCI PETERSBURG LOW,676,No Longer Available,Not Suspended,2024-03-20 10:23:11 PDT
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-02-01 14:23:16 PST
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-10 18:02:46 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-02 23:16:43 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-03 19:45:58 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-06 14:37:14 PST
FCI PETERSBURG LOW,679,No Longer Available,Not Suspended,2024-01-23 10:28:51 PST
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-12 09:40:33 PST
FCI PETERSBURG LOW,679,No Longer Available,Not Suspended,2024-01-22 10:27:12 PST
FCI PETERSBURG LOW,679,No Longer Available,Not Suspended,2024-01-24 09:22:36 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-03 09:40:31 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-05 11:36:46 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-30 14:30:22 PST
FCI PETERSBURG LOW,669,No Longer Available,Not Suspended,2024-02-11 11:14:19 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-28 20:41:01 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-26 10:33:17 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-27 14:58:00 PST
FCI PETERSBURG LOW,682,No Longer Available,Not Suspended,2024-01-11 12:30:45 PST
FCI PETERSBURG LOW,677,No Longer Available,Not Suspended,2024-02-04 12:54:33 PST
FCI PETERSBURG LOW,680,No Longer Available,Not Suspended,2024-01-18 10:34:52 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-29 10:03:53 PST
FCI PETERSBURG LOW,682,No Longer Available,Not Suspended,2024-01-13 13:04:57 PST
FCI PETERSBURG LOW,680,No Longer Available,Not Suspended,2024-01-17 10:31:14 PST
FCI PETERSBURG LOW,680,No Longer Available,Not Suspended,2024-01-16 10:33:03 PST
FCI PETERSBURG LOW,675,No Longer Available,Not Suspended,2024-01-25 11:51:58 PST
FCI PETERSBURG LOW,684,Level 1,Not Suspended,2023-10-22 11:40:40 PDT
FCI PETERSBURG LOW,693,Level 1,Suspended,2023-09-28 16:26:07 PDT
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-28 07:05:33 PDT
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-27 18:40:38 PDT
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-27 16:02:20 PDT
FCI PETERSBURG LOW,688,Level 1,Not Suspended,2023-11-03 16:17:32 PDT
FCI PETERSBURG LOW,693,Level 1,Not Suspended,2023-10-02 14:33:26 PDT
FCI PETERSBURG LOW,681,Level 1,Not Suspended,2023-12-13 11:04:58 PST
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-27 12:16:17 PDT
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-28 10:14:45 PDT
FCI PETERSBURG LOW,694,Level 1,Not Suspended,2023-11-15 09:47:15 PST
FCI PETERSBURG LOW,681,Level 1,Not Suspended,2023-12-12 16:47:17 PST
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-27 11:17:41 PDT
FCI PETERSBURG LOW,681,Level 1,Not Suspended,2023-12-11 09:04:43 PST
FCI PETERSBURG LOW,694,Level 1,Not Suspended,2023-11-12 09:37:38 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-20 09:18:37 PST
FCI PETERSBURG LOW,681,Level 1,Not Suspended,2023-12-08 21:03:07 PST
FCI PETERSBURG LOW,694,Level 1,Not Suspended,2023-11-13 09:44:27 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-29 11:40:03 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-29 10:58:33 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2024-01-08 10:51:58 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2024-01-09 10:32:22 PST
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-11-21 11:28:11 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-22 08:24:10 PST
FCI PETERSBURG LOW,681,Level 1,Not Suspended,2023-12-07 17:09:10 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-28 11:50:11 PST
FCI PETERSBURG LOW,680,Level 1,Not Suspended,2024-01-02 10:38:14 PST
FCI PETERSBURG LOW,688,Level 1,Not Suspended,2023-11-10 10:55:49 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-18 07:13:25 PST
FCI PETERSBURG LOW,691,Level 1,Not Suspended,2023-11-27 12:27:12 PST
FCI PETERSBURG LOW,691,Level 1,Not Suspended,2023-11-28 10:38:47 PST
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-11-22 10:09:40 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2023-12-27 10:27:42 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2024-01-05 10:31:37 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2024-01-04 10:30:13 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-11-26 15:03:50 PST
FCI PETERSBURG LOW,680,Level 1,Not Suspended,2024-01-03 10:04:27 PST
FCI PETERSBURG LOW,682,Level 1,Not Suspended,2024-01-07 18:24:14 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-12-01 11:40:45 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-11-30 10:31:22 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-12-04 15:03:07 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-12-05 07:48:41 PST
FCI PETERSBURG LOW,686,Level 1,Not Suspended,2023-12-03 11:05:28 PST
FCI PETERSBURG LOW,686,Level 1,Suspended,2023-09-27 10:33:35 PDT
