title,population,operation_level,visiting_status,datetime_of_data
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-27 10:33:27 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-27 11:17:33 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-27 12:16:01 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-27 16:02:04 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-27 18:40:23 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-28 07:05:18 PDT
FCI PETERSBURG MEDIUM,1714,Level 1,Not Suspended,2023-09-28 10:14:30 PDT
FCI PETERSBURG MEDIUM,1669,Level 1,Not Suspended,2023-09-28 16:25:52 PDT
FCI PETERSBURG MEDIUM,1669,Level 1,Not Suspended,2023-10-02 14:33:11 PDT
FCI PETERSBURG MEDIUM,1730,Level 1,Not Suspended,2023-10-22 11:40:24 PDT
FCI PETERSBURG MEDIUM,1711,Level 1,Not Suspended,2023-11-03 16:17:17 PDT
FCI PETERSBURG MEDIUM,1711,Level 1,Not Suspended,2023-11-10 10:55:34 PST
FCI PETERSBURG MEDIUM,1697,Level 1,Not Suspended,2023-11-12 09:37:22 PST
FCI PETERSBURG MEDIUM,1697,Level 1,Not Suspended,2023-11-13 09:44:11 PST
FCI PETERSBURG MEDIUM,1697,Level 1,Not Suspended,2023-11-15 09:47:00 PST
FCI PETERSBURG MEDIUM,1709,Level 1,Suspended,2023-11-21 11:27:56 PST
FCI PETERSBURG MEDIUM,1709,Level 1,Suspended,2023-11-22 10:09:24 PST
FCI PETERSBURG MEDIUM,1709,Level 1,Suspended,2023-11-26 15:03:35 PST
FCI PETERSBURG MEDIUM,1668,Level 1,Suspended,2023-11-27 12:26:56 PST
FCI PETERSBURG MEDIUM,1668,Level 1,Suspended,2023-11-28 10:38:29 PST
FCI PETERSBURG MEDIUM,1686,Level 1,Suspended,2023-11-30 10:31:06 PST
FCI PETERSBURG MEDIUM,1686,Level 1,Suspended,2023-12-01 11:40:29 PST
FCI PETERSBURG MEDIUM,1686,Level 1,Suspended,2023-12-03 11:05:12 PST
FCI PETERSBURG MEDIUM,1686,Level 1,Suspended,2023-12-04 15:02:51 PST
FCI PETERSBURG MEDIUM,1686,Level 1,Suspended,2023-12-05 07:48:25 PST
FCI PETERSBURG MEDIUM,1659,Level 1,Not Suspended,2023-12-07 17:08:55 PST
FCI PETERSBURG MEDIUM,1659,Level 1,Not Suspended,2023-12-08 21:02:52 PST
FCI PETERSBURG MEDIUM,1659,Level 1,Not Suspended,2023-12-11 09:04:27 PST
FCI PETERSBURG MEDIUM,1659,Level 1,Not Suspended,2023-12-12 16:47:02 PST
FCI PETERSBURG MEDIUM,1659,Level 1,Not Suspended,2023-12-13 11:04:42 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-18 07:13:09 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-20 09:18:22 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-22 08:23:55 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-27 10:27:27 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-28 11:49:56 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-29 10:58:17 PST
FCI PETERSBURG MEDIUM,1691,Level 1,Not Suspended,2023-12-29 11:39:47 PST
FCI PETERSBURG MEDIUM,1701,Level 1,Not Suspended,2024-01-02 10:37:59 PST
FCI PETERSBURG MEDIUM,1701,Level 1,Not Suspended,2024-01-03 10:04:12 PST
FCI PETERSBURG MEDIUM,1660,Level 1,Not Suspended,2024-01-04 10:29:57 PST
FCI PETERSBURG MEDIUM,1660,Level 1,Not Suspended,2024-01-05 10:31:22 PST
FCI PETERSBURG MEDIUM,1660,Level 1,Not Suspended,2024-01-07 18:23:59 PST
FCI PETERSBURG MEDIUM,1660,Level 1,Not Suspended,2024-01-08 10:51:43 PST
FCI PETERSBURG MEDIUM,1660,Level 1,Not Suspended,2024-01-09 10:32:06 PST
FCI PETERSBURG MEDIUM,1660,No Longer Available,Not Suspended,2024-01-11 12:30:29 PST
FCI PETERSBURG MEDIUM,1660,No Longer Available,Not Suspended,2024-01-13 13:04:41 PST
FCI PETERSBURG MEDIUM,1696,No Longer Available,Not Suspended,2024-01-16 10:32:48 PST
FCI PETERSBURG MEDIUM,1696,No Longer Available,Not Suspended,2024-01-17 10:30:58 PST
FCI PETERSBURG MEDIUM,1696,No Longer Available,Not Suspended,2024-01-18 10:34:37 PST
FCI PETERSBURG MEDIUM,1661,No Longer Available,Not Suspended,2024-01-19 10:45:00 PST
FCI PETERSBURG MEDIUM,1661,No Longer Available,Not Suspended,2024-01-22 10:26:57 PST
FCI PETERSBURG MEDIUM,1661,No Longer Available,Not Suspended,2024-01-23 10:28:35 PST
FCI PETERSBURG MEDIUM,1661,No Longer Available,Not Suspended,2024-01-24 09:22:21 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-25 11:51:42 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-26 10:33:02 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-27 14:57:43 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-28 20:40:45 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-29 10:03:37 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-01-30 14:30:05 PST
FCI PETERSBURG MEDIUM,1711,No Longer Available,Not Suspended,2024-02-01 14:23:00 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-02 23:16:27 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-03 09:40:15 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-03 19:45:43 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-04 12:54:17 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-05 11:36:30 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-06 14:36:58 PST
FCI PETERSBURG MEDIUM,1690,No Longer Available,Not Suspended,2024-02-07 19:29:43 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-08 14:23:50 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-09 10:30:53 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-10 18:02:30 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-11 11:14:03 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-12 09:40:16 PST
FCI PETERSBURG MEDIUM,1735,No Longer Available,Not Suspended,2024-02-13 10:53:33 PST
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-02-16 10:40:40 PST
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-02-18 15:05:53 PST
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-02-19 08:12:54 PST
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-02-20 10:35:47 PST
FCI PETERSBURG MEDIUM,1719,No Longer Available,Not Suspended,2024-02-23 12:53:08 PST
FCI PETERSBURG MEDIUM,1719,No Longer Available,Not Suspended,2024-02-24 11:48:58 PST
FCI PETERSBURG MEDIUM,1719,No Longer Available,Not Suspended,2024-02-26 18:38:28 PST
FCI PETERSBURG MEDIUM,1719,No Longer Available,Not Suspended,2024-02-27 07:26:05 PST
FCI PETERSBURG MEDIUM,1687,No Longer Available,Not Suspended,2024-03-01 10:33:54 PST
FCI PETERSBURG MEDIUM,1687,No Longer Available,Not Suspended,2024-03-03 21:23:02 PST
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-03-19 10:20:21 PDT
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-03-20 10:22:55 PDT
FCI PETERSBURG MEDIUM,1677,No Longer Available,Not Suspended,2024-03-21 10:27:43 PDT
