title,population,operation_level,visiting_status,datetime_of_data
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-27 10:33:51 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-27 11:17:58 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-27 12:16:50 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-27 16:02:53 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-27 18:41:09 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-28 07:06:05 PDT
FCI PHOENIX,1239,Level 1,Not Suspended,2023-09-28 10:15:16 PDT
FCI PHOENIX,1261,Level 1,Not Suspended,2023-09-28 16:26:38 PDT
FCI PHOENIX,1261,Level 1,Not Suspended,2023-10-02 14:33:57 PDT
FCI PHOENIX,1236,Level 2,Suspended,2023-10-22 11:41:11 PDT
FCI PHOENIX,1231,Level 1,Suspended,2023-11-03 16:18:03 PDT
FCI PHOENIX,1231,Level 1,Not Suspended,2023-11-10 10:56:20 PST
FCI PHOENIX,1224,Level 1,Not Suspended,2023-11-12 09:38:09 PST
FCI PHOENIX,1224,Level 1,Not Suspended,2023-11-13 09:44:58 PST
FCI PHOENIX,1224,Level 1,Not Suspended,2023-11-15 09:47:47 PST
FCI PHOENIX,1214,Level 1,Not Suspended,2023-11-21 11:28:43 PST
FCI PHOENIX,1214,Level 1,Not Suspended,2023-11-22 10:10:12 PST
FCI PHOENIX,1214,Level 1,Not Suspended,2023-11-26 15:04:22 PST
FCI PHOENIX,1214,Level 1,Not Suspended,2023-11-27 12:27:43 PST
FCI PHOENIX,1214,Level 1,Not Suspended,2023-11-28 10:39:19 PST
FCI PHOENIX,1200,Level 1,Not Suspended,2023-11-30 10:31:53 PST
FCI PHOENIX,1200,Level 1,Not Suspended,2023-12-01 11:41:16 PST
FCI PHOENIX,1200,Level 1,Not Suspended,2023-12-03 11:05:59 PST
