title,population,operation_level,visiting_status,datetime_of_data
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-27 10:33:59 PDT
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-27 11:18:06 PDT
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-27 12:17:06 PDT
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-27 16:03:09 PDT
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-27 18:41:24 PDT
FCI POLLOCK,1570,Level 1,Not Suspended,2023-09-28 07:06:20 PDT
FCI POLLOCK,1570,,Not Suspended,2023-09-28 10:15:32 PDT
FCI POLLOCK,1556,Level 1,Not Suspended,2023-09-28 16:26:55 PDT
FCI POLLOCK,1556,Level 1,Not Suspended,2023-10-02 14:34:13 PDT
FCI POLLOCK,1522,Level 1,Not Suspended,2023-10-22 11:41:26 PDT
FCI POLLOCK,1520,Level 1,Not Suspended,2023-11-03 16:18:18 PDT
FCI POLLOCK,1520,Level 1,Not Suspended,2023-11-10 10:56:35 PST
FCI POLLOCK,1526,Level 1,Not Suspended,2023-11-12 09:38:25 PST
FCI POLLOCK,1526,Level 1,Not Suspended,2023-11-13 09:45:14 PST
FCI POLLOCK,1526,Level 1,Not Suspended,2023-11-15 09:48:02 PST
FCI POLLOCK,1517,Level 1,Not Suspended,2023-11-21 11:28:59 PST
FCI POLLOCK,1517,Level 1,Not Suspended,2023-11-22 10:10:27 PST
FCI POLLOCK,1517,Level 1,Not Suspended,2023-11-26 15:04:37 PST
FCI POLLOCK,1539,Level 1,Not Suspended,2023-11-27 12:27:59 PST
FCI POLLOCK,1539,Level 1,Not Suspended,2023-11-28 10:39:34 PST
FCI POLLOCK,1538,Level 1,Not Suspended,2023-11-30 10:32:09 PST
FCI POLLOCK,1538,Level 1,Not Suspended,2023-12-01 11:41:32 PST
FCI POLLOCK,1538,Level 1,Not Suspended,2023-12-03 11:06:15 PST
FCI POLLOCK,1538,Level 1,Not Suspended,2023-12-04 15:03:54 PST
