title,population,operation_level,visiting_status,datetime_of_data
FCI RAY BROOK,672,No Longer Available,Not Suspended,2024-02-16 10:42:16 PST
FCI RAY BROOK,672,No Longer Available,Not Suspended,2024-02-20 10:37:23 PST
FCI RAY BROOK,672,No Longer Available,Not Suspended,2024-02-18 15:07:28 PST
FCI RAY BROOK,672,No Longer Available,Not Suspended,2024-02-19 08:14:30 PST
FCI RAY BROOK,687,No Longer Available,Not Suspended,2024-02-27 07:27:41 PST
FCI RAY BROOK,687,No Longer Available,Not Suspended,2024-02-26 18:40:08 PST
FCI RAY BROOK,679,No Longer Available,Not Suspended,2024-03-01 10:35:29 PST
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-13 10:55:09 PST
FCI RAY BROOK,687,No Longer Available,Not Suspended,2024-02-23 12:54:44 PST
FCI RAY BROOK,687,No Longer Available,Not Suspended,2024-02-24 11:50:34 PST
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-08 14:25:24 PST
FCI RAY BROOK,679,No Longer Available,Not Suspended,2024-03-03 21:24:43 PST
FCI RAY BROOK,661,No Longer Available,Not Suspended,2024-03-19 10:21:59 PDT
FCI RAY BROOK,693,No Longer Available,Suspended,2024-02-07 19:31:20 PST
FCI RAY BROOK,661,No Longer Available,Not Suspended,2024-03-21 10:29:28 PDT
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-09 10:32:28 PST
FCI RAY BROOK,677,No Longer Available,Not Suspended,2024-01-19 10:46:34 PST
FCI RAY BROOK,661,No Longer Available,Not Suspended,2024-03-20 10:24:31 PDT
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-02-01 14:24:35 PST
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-10 18:04:06 PST
FCI RAY BROOK,693,No Longer Available,Not Suspended,2024-02-02 23:18:02 PST
FCI RAY BROOK,693,No Longer Available,Not Suspended,2024-02-03 19:47:19 PST
FCI RAY BROOK,693,No Longer Available,Suspended,2024-02-06 14:38:35 PST
FCI RAY BROOK,677,No Longer Available,Not Suspended,2024-01-23 10:30:09 PST
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-12 09:41:55 PST
FCI RAY BROOK,677,No Longer Available,Not Suspended,2024-01-22 10:28:30 PST
FCI RAY BROOK,677,No Longer Available,Not Suspended,2024-01-24 09:23:54 PST
FCI RAY BROOK,693,No Longer Available,Not Suspended,2024-02-03 09:41:51 PST
FCI RAY BROOK,693,No Longer Available,Suspended,2024-02-05 11:38:04 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-30 14:31:41 PST
FCI RAY BROOK,677,No Longer Available,Suspended,2024-02-11 11:15:40 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-28 20:42:19 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-26 10:34:36 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-27 14:59:19 PST
FCI RAY BROOK,657,No Longer Available,Suspended,2024-01-11 12:32:04 PST
FCI RAY BROOK,693,No Longer Available,Suspended,2024-02-04 12:55:52 PST
FCI RAY BROOK,679,No Longer Available,Not Suspended,2024-01-18 10:36:11 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-29 10:05:11 PST
FCI RAY BROOK,657,No Longer Available,Suspended,2024-01-13 13:06:17 PST
FCI RAY BROOK,679,No Longer Available,Suspended,2024-01-17 10:32:32 PST
FCI RAY BROOK,679,No Longer Available,Suspended,2024-01-16 10:34:22 PST
FCI RAY BROOK,697,No Longer Available,Not Suspended,2024-01-25 11:53:16 PST
FCI RAY BROOK,682,Level 1,Suspended,2023-10-22 11:41:57 PDT
FCI RAY BROOK,682,Level 1,Not Suspended,2023-09-28 16:27:26 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-28 07:06:51 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-27 18:41:55 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-27 16:03:42 PDT
FCI RAY BROOK,707,Level 1,Not Suspended,2023-11-03 16:18:50 PDT
FCI RAY BROOK,682,Level 1,Not Suspended,2023-10-02 14:34:44 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-12-13 11:06:15 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-27 12:17:40 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-28 10:16:05 PDT
FCI RAY BROOK,716,Level 1,Not Suspended,2023-11-15 09:48:33 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-12-12 16:48:35 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-27 11:18:22 PDT
FCI RAY BROOK,683,Level 1,Not Suspended,2023-12-11 09:06:04 PST
FCI RAY BROOK,716,Level 1,Not Suspended,2023-11-12 09:38:56 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-20 09:19:56 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-12-08 21:04:24 PST
FCI RAY BROOK,716,Level 1,Not Suspended,2023-11-13 09:45:44 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-29 11:41:21 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-29 10:59:55 PST
FCI RAY BROOK,657,Level 1,Suspended,2024-01-08 10:53:16 PST
FCI RAY BROOK,657,Level 1,Suspended,2024-01-09 10:33:40 PST
FCI RAY BROOK,685,Level 1,Not Suspended,2023-11-21 11:29:30 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-22 08:25:30 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-12-07 17:10:29 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-28 11:51:28 PST
FCI RAY BROOK,662,Level 1,Not Suspended,2024-01-02 10:39:36 PST
FCI RAY BROOK,707,Level 1,Not Suspended,2023-11-10 10:57:07 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-18 07:14:42 PST
FCI RAY BROOK,695,Level 1,Not Suspended,2023-11-27 12:28:30 PST
FCI RAY BROOK,695,Level 1,Not Suspended,2023-11-28 10:40:05 PST
FCI RAY BROOK,685,Level 1,Not Suspended,2023-11-22 10:10:59 PST
FCI RAY BROOK,676,Level 1,Not Suspended,2023-12-27 10:29:00 PST
FCI RAY BROOK,657,Level 1,Suspended,2024-01-05 10:32:56 PST
FCI RAY BROOK,657,Level 1,Not Suspended,2024-01-04 10:31:30 PST
FCI RAY BROOK,685,Level 1,Not Suspended,2023-11-26 15:05:08 PST
FCI RAY BROOK,662,Level 1,Not Suspended,2024-01-03 10:05:45 PST
FCI RAY BROOK,657,Level 1,Suspended,2024-01-07 18:25:31 PST
FCI RAY BROOK,690,Level 1,Not Suspended,2023-12-01 11:42:03 PST
FCI RAY BROOK,690,Level 1,Not Suspended,2023-11-30 10:32:40 PST
FCI RAY BROOK,690,Level 1,Not Suspended,2023-12-04 15:04:25 PST
FCI RAY BROOK,690,Level 1,Not Suspended,2023-12-05 07:49:59 PST
FCI RAY BROOK,690,Level 1,Not Suspended,2023-12-03 11:06:45 PST
FCI RAY BROOK,683,Level 1,Not Suspended,2023-09-27 10:34:16 PDT
