title,population,operation_level,visiting_status,datetime_of_data
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-27 10:34:32 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-27 11:18:38 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-27 12:18:13 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-27 16:04:15 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-27 18:42:25 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-28 07:07:23 PDT
FCI SAFFORD,673,Level 1,Not Suspended,2023-09-28 10:16:35 PDT
FCI SAFFORD,660,Level 1,Not Suspended,2023-09-28 16:27:57 PDT
FCI SAFFORD,660,Level 1,Not Suspended,2023-10-02 14:35:15 PDT
FCI SAFFORD,660,Level 1,Not Suspended,2023-10-22 11:42:28 PDT
FCI SAFFORD,683,Level 1,Not Suspended,2023-11-03 16:19:20 PDT
FCI SAFFORD,683,Level 1,Not Suspended,2023-11-10 10:57:38 PST
FCI SAFFORD,663,Level 1,Not Suspended,2023-11-12 09:39:27 PST
FCI SAFFORD,663,Level 1,Not Suspended,2023-11-13 09:46:16 PST
FCI SAFFORD,663,Level 1,Not Suspended,2023-11-15 09:49:04 PST
FCI SAFFORD,661,Level 1,Not Suspended,2023-11-21 11:30:01 PST
FCI SAFFORD,661,Level 1,Not Suspended,2023-11-22 10:11:29 PST
FCI SAFFORD,661,Level 1,Not Suspended,2023-11-26 15:05:39 PST
FCI SAFFORD,638,Level 1,Not Suspended,2023-11-27 12:29:01 PST
FCI SAFFORD,638,Level 1,Not Suspended,2023-11-28 10:40:36 PST
FCI SAFFORD,619,Level 1,Not Suspended,2023-11-30 10:33:10 PST
FCI SAFFORD,619,Level 1,Not Suspended,2023-12-01 11:42:34 PST
FCI SAFFORD,619,Level 1,Not Suspended,2023-12-03 11:07:16 PST
FCI SAFFORD,619,Level 1,Not Suspended,2023-12-04 15:04:56 PST
FCI SAFFORD,619,Level 1,Not Suspended,2023-12-05 07:50:30 PST
FCI SAFFORD,652,Level 1,Not Suspended,2023-12-07 17:11:00 PST
FCI SAFFORD,652,Level 1,Not Suspended,2023-12-08 21:04:55 PST
FCI SAFFORD,652,Level 1,Not Suspended,2023-12-11 09:06:37 PST
FCI SAFFORD,652,Level 1,Not Suspended,2023-12-12 16:49:06 PST
FCI SAFFORD,652,Level 1,Not Suspended,2023-12-13 11:06:46 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-18 07:15:13 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-20 09:20:27 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-22 08:26:01 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-27 10:29:30 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-28 11:51:59 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-29 11:00:26 PST
FCI SAFFORD,655,Level 1,Not Suspended,2023-12-29 11:41:52 PST
FCI SAFFORD,668,Level 1,Not Suspended,2024-01-02 10:40:07 PST
FCI SAFFORD,668,Level 1,Not Suspended,2024-01-03 10:06:16 PST
FCI SAFFORD,648,Level 1,Not Suspended,2024-01-04 10:32:01 PST
FCI SAFFORD,648,Level 1,Not Suspended,2024-01-05 10:33:27 PST
FCI SAFFORD,648,Level 1,Not Suspended,2024-01-07 18:26:02 PST
FCI SAFFORD,648,Level 1,Not Suspended,2024-01-08 10:53:47 PST
FCI SAFFORD,648,Level 1,Not Suspended,2024-01-09 10:34:11 PST
FCI SAFFORD,648,No Longer Available,Not Suspended,2024-01-11 12:32:35 PST
FCI SAFFORD,648,No Longer Available,Not Suspended,2024-01-13 13:06:47 PST
FCI SAFFORD,669,No Longer Available,Not Suspended,2024-01-16 10:34:53 PST
FCI SAFFORD,669,No Longer Available,Not Suspended,2024-01-17 10:33:04 PST
FCI SAFFORD,669,No Longer Available,Not Suspended,2024-01-18 10:36:43 PST
FCI SAFFORD,660,No Longer Available,Not Suspended,2024-01-19 10:47:05 PST
FCI SAFFORD,660,No Longer Available,Not Suspended,2024-01-22 10:29:01 PST
FCI SAFFORD,660,No Longer Available,Not Suspended,2024-01-23 10:30:40 PST
FCI SAFFORD,660,No Longer Available,Not Suspended,2024-01-24 09:24:25 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-25 11:53:47 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-26 10:35:07 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-27 14:59:51 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-28 20:42:51 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-29 10:05:42 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-01-30 14:32:13 PST
FCI SAFFORD,653,No Longer Available,Not Suspended,2024-02-01 14:25:06 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-02 23:18:34 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-03 09:42:23 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-03 19:47:51 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-04 12:56:24 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-05 11:38:35 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-06 14:39:07 PST
FCI SAFFORD,642,No Longer Available,Not Suspended,2024-02-07 19:31:52 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-08 14:25:56 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-09 10:33:00 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-10 18:04:37 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-11 11:16:12 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-12 09:42:28 PST
FCI SAFFORD,668,No Longer Available,Not Suspended,2024-02-13 10:55:40 PST
FCI SAFFORD,656,No Longer Available,Not Suspended,2024-02-16 10:42:48 PST
FCI SAFFORD,656,No Longer Available,Not Suspended,2024-02-18 15:08:00 PST
FCI SAFFORD,656,No Longer Available,Not Suspended,2024-02-19 08:15:02 PST
FCI SAFFORD,656,No Longer Available,Not Suspended,2024-02-20 10:37:55 PST
FCI SAFFORD,644,No Longer Available,Not Suspended,2024-02-23 12:55:16 PST
FCI SAFFORD,644,No Longer Available,Not Suspended,2024-02-24 11:51:09 PST
FCI SAFFORD,644,No Longer Available,Not Suspended,2024-02-26 18:40:42 PST
FCI SAFFORD,644,No Longer Available,Not Suspended,2024-02-27 07:28:13 PST
FCI SAFFORD,674,No Longer Available,Not Suspended,2024-03-01 10:36:02 PST
FCI SAFFORD,674,No Longer Available,Not Suspended,2024-03-03 21:25:16 PST
FCI SAFFORD,639,No Longer Available,Not Suspended,2024-03-19 10:22:30 PDT
FCI SAFFORD,639,No Longer Available,Not Suspended,2024-03-20 10:25:03 PDT
FCI SAFFORD,639,No Longer Available,Not Suspended,2024-03-21 10:30:02 PDT
