title,population,operation_level,visiting_status,datetime_of_data
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-27 10:34:48 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-27 11:18:54 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-27 12:18:46 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-27 16:04:47 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-27 18:42:56 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-28 07:07:55 PDT
FCI SANDSTONE,1153,Level 1,Not Suspended,2023-09-28 10:17:06 PDT
FCI SANDSTONE,1138,Level 1,Not Suspended,2023-09-28 16:28:27 PDT
FCI SANDSTONE,1138,Level 1,Not Suspended,2023-10-02 14:35:46 PDT
FCI SANDSTONE,1154,Level 1,Not Suspended,2023-10-22 11:43:00 PDT
FCI SANDSTONE,1146,Level 1,Not Suspended,2023-11-03 16:19:52 PDT
FCI SANDSTONE,1146,Level 1,Not Suspended,2023-11-10 10:58:09 PST
FCI SANDSTONE,1142,Level 1,Not Suspended,2023-11-12 09:39:58 PST
FCI SANDSTONE,1142,Level 1,Not Suspended,2023-11-13 09:46:47 PST
FCI SANDSTONE,1142,Level 1,Not Suspended,2023-11-15 09:49:36 PST
FCI SANDSTONE,1141,Level 1,Not Suspended,2023-11-21 11:30:32 PST
FCI SANDSTONE,1141,Level 1,Not Suspended,2023-11-22 10:12:03 PST
FCI SANDSTONE,1141,Level 1,Suspended,2023-11-26 15:06:12 PST
FCI SANDSTONE,1127,Level 1,Suspended,2023-11-27 12:29:32 PST
FCI SANDSTONE,1127,Level 1,Suspended,2023-11-28 10:41:07 PST
FCI SANDSTONE,1133,Level 1,Suspended,2023-11-30 10:33:43 PST
FCI SANDSTONE,1133,Level 1,Suspended,2023-12-01 11:43:07 PST
FCI SANDSTONE,1133,Level 1,Suspended,2023-12-03 11:07:48 PST
FCI SANDSTONE,1133,Level 1,Suspended,2023-12-04 15:05:28 PST
FCI SANDSTONE,1133,Level 1,Suspended,2023-12-05 07:51:02 PST
FCI SANDSTONE,1122,Level 1,Suspended,2023-12-07 17:11:31 PST
FCI SANDSTONE,1122,Level 1,Suspended,2023-12-08 21:05:26 PST
FCI SANDSTONE,1122,Level 1,Suspended,2023-12-11 09:07:08 PST
FCI SANDSTONE,1122,Level 1,Not Suspended,2023-12-12 16:49:39 PST
FCI SANDSTONE,1122,Level 1,Not Suspended,2023-12-13 11:07:16 PST
FCI SANDSTONE,1097,Level 1,Not Suspended,2023-12-18 07:15:44 PST
FCI SANDSTONE,1097,Level 1,Not Suspended,2023-12-20 09:20:58 PST
FCI SANDSTONE,1097,Level 1,Not Suspended,2023-12-22 08:26:34 PST
FCI SANDSTONE,1097,Level 1,Not Suspended,2023-12-27 10:30:05 PST
FCI SANDSTONE,1097,Level 1,Not Suspended,2023-12-28 11:52:30 PST
