title,population,operation_level,visiting_status,datetime_of_data
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-27 10:34:56 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-27 11:19:03 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-27 12:19:03 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-27 16:05:03 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-27 18:43:12 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-28 07:08:10 PDT
FCI SCHUYLKILL,1173,Level 1,Not Suspended,2023-09-28 10:17:22 PDT
FCI SCHUYLKILL,1163,Level 1,Not Suspended,2023-09-28 16:28:44 PDT
FCI SCHUYLKILL,1163,Level 1,Not Suspended,2023-10-02 14:36:02 PDT
FCI SCHUYLKILL,1179,Level 1,Not Suspended,2023-10-22 11:43:16 PDT
FCI SCHUYLKILL,1149,Level 1,Not Suspended,2023-11-03 16:20:07 PDT
FCI SCHUYLKILL,1149,Level 1,Not Suspended,2023-11-10 10:58:25 PST
FCI SCHUYLKILL,1110,Level 1,Not Suspended,2023-11-12 09:40:14 PST
FCI SCHUYLKILL,1110,Level 1,Not Suspended,2023-11-13 09:47:02 PST
FCI SCHUYLKILL,1110,Level 1,Not Suspended,2023-11-15 09:49:52 PST
FCI SCHUYLKILL,1047,Level 1,Not Suspended,2023-11-21 11:30:48 PST
FCI SCHUYLKILL,1047,Level 1,Not Suspended,2023-11-22 10:12:18 PST
FCI SCHUYLKILL,1047,Level 1,Not Suspended,2023-11-26 15:06:27 PST
FCI SCHUYLKILL,1016,Level 1,Not Suspended,2023-11-27 12:29:47 PST
FCI SCHUYLKILL,1016,Level 1,Not Suspended,2023-11-28 10:41:22 PST
FCI SCHUYLKILL,1010,Level 1,Not Suspended,2023-11-30 10:33:59 PST
FCI SCHUYLKILL,1010,Level 1,Not Suspended,2023-12-01 11:43:22 PST
FCI SCHUYLKILL,1010,Level 1,Not Suspended,2023-12-03 11:08:03 PST
FCI SCHUYLKILL,1010,Level 1,Not Suspended,2023-12-04 15:05:43 PST
FCI SCHUYLKILL,1010,Level 1,Not Suspended,2023-12-05 07:51:17 PST
FCI SCHUYLKILL,1025,Level 1,Not Suspended,2023-12-07 17:11:47 PST
FCI SCHUYLKILL,1025,Level 1,Not Suspended,2023-12-08 21:05:41 PST
FCI SCHUYLKILL,1025,Level 1,Not Suspended,2023-12-11 09:07:26 PST
FCI SCHUYLKILL,1025,Level 1,Not Suspended,2023-12-12 16:49:55 PST
FCI SCHUYLKILL,1025,Level 1,Not Suspended,2023-12-13 11:07:32 PST
FCI SCHUYLKILL,1020,Level 1,Not Suspended,2023-12-18 07:15:59 PST
FCI SCHUYLKILL,1020,Level 1,Not Suspended,2023-12-20 09:21:13 PST
FCI SCHUYLKILL,1020,Level 1,Suspended,2023-12-22 08:26:49 PST
FCI SCHUYLKILL,1020,Level 1,Suspended,2023-12-27 10:30:21 PST
FCI SCHUYLKILL,1020,Level 1,Suspended,2023-12-28 11:52:45 PST
FCI SCHUYLKILL,1020,Level 1,Suspended,2023-12-29 11:01:13 PST
FCI SCHUYLKILL,1020,Level 1,Suspended,2023-12-29 11:42:39 PST
FCI SCHUYLKILL,1003,Level 1,Suspended,2024-01-02 10:40:54 PST
FCI SCHUYLKILL,1003,Level 1,Suspended,2024-01-03 10:07:04 PST
FCI SCHUYLKILL,997,Level 1,Suspended,2024-01-04 10:32:50 PST
FCI SCHUYLKILL,997,Level 1,Suspended,2024-01-05 10:34:16 PST
FCI SCHUYLKILL,997,Level 1,Suspended,2024-01-07 18:26:51 PST
FCI SCHUYLKILL,997,Level 1,Suspended,2024-01-08 10:54:33 PST
FCI SCHUYLKILL,997,Level 1,Suspended,2024-01-09 10:34:58 PST
FCI SCHUYLKILL,997,No Longer Available,Not Suspended,2024-01-11 12:33:22 PST
FCI SCHUYLKILL,997,No Longer Available,Not Suspended,2024-01-13 13:07:34 PST
FCI SCHUYLKILL,1013,No Longer Available,Not Suspended,2024-01-16 10:35:42 PST
FCI SCHUYLKILL,1013,No Longer Available,Not Suspended,2024-01-17 10:33:54 PST
FCI SCHUYLKILL,1013,No Longer Available,Not Suspended,2024-01-18 10:37:32 PST
FCI SCHUYLKILL,1044,No Longer Available,Not Suspended,2024-01-19 10:47:54 PST
FCI SCHUYLKILL,1044,No Longer Available,Not Suspended,2024-01-22 10:29:54 PST
FCI SCHUYLKILL,1044,No Longer Available,Not Suspended,2024-01-23 10:31:29 PST
FCI SCHUYLKILL,1044,No Longer Available,Not Suspended,2024-01-24 09:25:12 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-25 11:54:35 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-26 10:35:54 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-27 15:00:39 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-28 20:43:38 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-29 10:06:29 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-01-30 14:33:02 PST
FCI SCHUYLKILL,1047,No Longer Available,Not Suspended,2024-02-01 14:25:53 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-02 23:19:21 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-03 09:43:11 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-03 19:48:40 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-04 12:57:12 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-05 11:39:22 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-06 14:39:54 PST
FCI SCHUYLKILL,1030,No Longer Available,Not Suspended,2024-02-07 19:32:40 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-08 14:26:43 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-09 10:33:47 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-10 18:05:25 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-11 11:16:59 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-12 09:43:17 PST
FCI SCHUYLKILL,1045,No Longer Available,Not Suspended,2024-02-13 10:56:27 PST
FCI SCHUYLKILL,1039,No Longer Available,Not Suspended,2024-02-16 10:43:35 PST
FCI SCHUYLKILL,1039,No Longer Available,Not Suspended,2024-02-18 15:08:47 PST
FCI SCHUYLKILL,1039,No Longer Available,Not Suspended,2024-02-19 08:15:49 PST
FCI SCHUYLKILL,1039,No Longer Available,Not Suspended,2024-02-20 10:38:42 PST
FCI SCHUYLKILL,1092,No Longer Available,Not Suspended,2024-02-23 12:56:04 PST
FCI SCHUYLKILL,1092,No Longer Available,Not Suspended,2024-02-24 11:51:58 PST
FCI SCHUYLKILL,1092,No Longer Available,Not Suspended,2024-02-26 18:41:34 PST
FCI SCHUYLKILL,1092,No Longer Available,Not Suspended,2024-02-27 07:29:01 PST
FCI SCHUYLKILL,1105,No Longer Available,Not Suspended,2024-03-01 10:36:48 PST
FCI SCHUYLKILL,1105,No Longer Available,Not Suspended,2024-03-03 21:26:06 PST
FCI SCHUYLKILL,1102,No Longer Available,Not Suspended,2024-03-19 10:23:22 PDT
FCI SCHUYLKILL,1102,No Longer Available,Not Suspended,2024-03-20 10:25:50 PDT
FCI SCHUYLKILL,1102,No Longer Available,Not Suspended,2024-03-21 10:30:57 PDT
