title,population,operation_level,visiting_status,datetime_of_data
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-27 10:35:04 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-27 11:19:11 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-27 12:19:19 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-27 16:05:19 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-27 18:43:27 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-28 07:08:26 PDT
FCI SEAGOVILLE,1815,Level 1,Not Suspended,2023-09-28 10:17:39 PDT
FCI SEAGOVILLE,1807,Level 1,Not Suspended,2023-09-28 16:29:00 PDT
FCI SEAGOVILLE,1807,Level 1,Not Suspended,2023-10-02 14:36:17 PDT
FCI SEAGOVILLE,1779,Level 1,Not Suspended,2023-10-22 11:43:31 PDT
FCI SEAGOVILLE,1775,Level 1,Not Suspended,2023-11-03 16:20:23 PDT
FCI SEAGOVILLE,1775,Level 1,Not Suspended,2023-11-10 10:58:40 PST
FCI SEAGOVILLE,1765,Level 1,Not Suspended,2023-11-12 09:40:29 PST
FCI SEAGOVILLE,1765,Level 1,Not Suspended,2023-11-13 09:47:18 PST
FCI SEAGOVILLE,1765,Level 1,Not Suspended,2023-11-15 09:50:07 PST
FCI SEAGOVILLE,1754,Level 1,Not Suspended,2023-11-21 11:31:04 PST
FCI SEAGOVILLE,1754,Level 1,Not Suspended,2023-11-22 10:12:34 PST
FCI SEAGOVILLE,1754,Level 1,Not Suspended,2023-11-26 15:06:43 PST
FCI SEAGOVILLE,1727,Level 1,Not Suspended,2023-11-27 12:30:03 PST
FCI SEAGOVILLE,1727,Level 1,Not Suspended,2023-11-28 10:41:40 PST
FCI SEAGOVILLE,1732,Level 1,Not Suspended,2023-11-30 10:34:14 PST
FCI SEAGOVILLE,1732,Level 1,Not Suspended,2023-12-01 11:43:38 PST
FCI SEAGOVILLE,1732,Level 1,Not Suspended,2023-12-03 11:08:19 PST
FCI SEAGOVILLE,1732,Level 1,Not Suspended,2023-12-04 15:05:59 PST
FCI SEAGOVILLE,1732,Level 1,Not Suspended,2023-12-05 07:51:33 PST
FCI SEAGOVILLE,1739,Level 1,Not Suspended,2023-12-07 17:12:03 PST
FCI SEAGOVILLE,1739,Level 1,Not Suspended,2023-12-08 21:05:57 PST
FCI SEAGOVILLE,1739,Level 1,Not Suspended,2023-12-11 09:07:41 PST
FCI SEAGOVILLE,1739,Level 1,Not Suspended,2023-12-12 16:50:10 PST
FCI SEAGOVILLE,1739,Level 1,Not Suspended,2023-12-13 11:07:47 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-18 07:16:16 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-20 09:21:28 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-22 08:27:05 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-27 10:30:36 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-28 11:53:01 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-29 11:01:28 PST
FCI SEAGOVILLE,1744,Level 1,Not Suspended,2023-12-29 11:42:54 PST
FCI SEAGOVILLE,1761,Level 1,Not Suspended,2024-01-02 10:41:10 PST
FCI SEAGOVILLE,1761,Level 1,Not Suspended,2024-01-03 10:07:19 PST
FCI SEAGOVILLE,1750,Level 1,Not Suspended,2024-01-04 10:33:05 PST
FCI SEAGOVILLE,1750,Level 1,Not Suspended,2024-01-05 10:34:31 PST
FCI SEAGOVILLE,1750,Level 1,Not Suspended,2024-01-07 18:27:07 PST
FCI SEAGOVILLE,1750,Level 1,Not Suspended,2024-01-08 10:54:49 PST
FCI SEAGOVILLE,1750,Level 1,Not Suspended,2024-01-09 10:35:14 PST
FCI SEAGOVILLE,1750,No Longer Available,Not Suspended,2024-01-11 12:33:37 PST
FCI SEAGOVILLE,1750,No Longer Available,Not Suspended,2024-01-13 13:07:49 PST
FCI SEAGOVILLE,1745,No Longer Available,Not Suspended,2024-01-16 10:35:58 PST
FCI SEAGOVILLE,1745,No Longer Available,Not Suspended,2024-01-17 10:34:10 PST
FCI SEAGOVILLE,1745,No Longer Available,Not Suspended,2024-01-18 10:37:48 PST
FCI SEAGOVILLE,1741,No Longer Available,Not Suspended,2024-01-19 10:48:09 PST
FCI SEAGOVILLE,1741,No Longer Available,Not Suspended,2024-01-22 10:30:10 PST
FCI SEAGOVILLE,1741,No Longer Available,Not Suspended,2024-01-23 10:31:44 PST
FCI SEAGOVILLE,1741,No Longer Available,Not Suspended,2024-01-24 09:25:28 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-25 11:54:50 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-26 10:36:09 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-27 15:00:54 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-28 20:43:54 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-29 10:06:44 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-01-30 14:33:18 PST
FCI SEAGOVILLE,1737,No Longer Available,Not Suspended,2024-02-01 14:26:09 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-02 23:19:37 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-03 09:43:27 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-03 19:48:56 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-04 12:57:27 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-05 11:39:38 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-06 14:40:10 PST
FCI SEAGOVILLE,1731,No Longer Available,Not Suspended,2024-02-07 19:32:57 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-08 14:26:59 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-09 10:34:02 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-10 18:05:41 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-11 11:17:16 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-12 09:43:33 PST
FCI SEAGOVILLE,1715,No Longer Available,Not Suspended,2024-02-13 10:56:44 PST
FCI SEAGOVILLE,1708,No Longer Available,Not Suspended,2024-02-16 10:43:52 PST
FCI SEAGOVILLE,1708,No Longer Available,Not Suspended,2024-02-18 15:09:03 PST
FCI SEAGOVILLE,1708,No Longer Available,Not Suspended,2024-02-19 08:16:05 PST
FCI SEAGOVILLE,1708,No Longer Available,Not Suspended,2024-02-20 10:38:58 PST
FCI SEAGOVILLE,1712,No Longer Available,Not Suspended,2024-02-23 12:56:20 PST
FCI SEAGOVILLE,1712,No Longer Available,Not Suspended,2024-02-24 11:52:19 PST
FCI SEAGOVILLE,1712,No Longer Available,Not Suspended,2024-02-26 18:41:49 PST
FCI SEAGOVILLE,1712,No Longer Available,Not Suspended,2024-02-27 07:29:17 PST
FCI SEAGOVILLE,1714,No Longer Available,Not Suspended,2024-03-01 10:37:04 PST
FCI SEAGOVILLE,1714,No Longer Available,Not Suspended,2024-03-03 21:26:21 PST
FCI SEAGOVILLE,1711,No Longer Available,Not Suspended,2024-03-19 10:23:38 PDT
FCI SEAGOVILLE,1711,No Longer Available,Not Suspended,2024-03-20 10:26:09 PDT
FCI SEAGOVILLE,1711,No Longer Available,Not Suspended,2024-03-21 10:31:14 PDT
