title,population,operation_level,visiting_status,datetime_of_data
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-27 10:35:20 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-27 11:19:27 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-27 12:19:51 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-27 16:05:51 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-27 18:43:58 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-28 07:08:56 PDT
FCI SHERIDAN,1574,Level 1,Not Suspended,2023-09-28 10:18:10 PDT
FCI SHERIDAN,1597,Level 1,Not Suspended,2023-09-28 16:29:31 PDT
FCI SHERIDAN,1597,Level 1,Not Suspended,2023-10-02 14:36:48 PDT
FCI SHERIDAN,1553,Level 1,Not Suspended,2023-10-22 11:44:02 PDT
FCI SHERIDAN,1591,Level 1,Suspended,2023-11-03 16:20:54 PDT
FCI SHERIDAN,1591,Level 1,Not Suspended,2023-11-10 10:59:11 PST
FCI SHERIDAN,1606,Level 1,Not Suspended,2023-11-12 09:41:00 PST
FCI SHERIDAN,1606,Level 1,Not Suspended,2023-11-13 09:47:49 PST
FCI SHERIDAN,1606,Level 1,Not Suspended,2023-11-15 09:50:38 PST
FCI SHERIDAN,1629,Level 1,Not Suspended,2023-11-21 11:31:36 PST
FCI SHERIDAN,1629,Level 1,Not Suspended,2023-11-22 10:13:04 PST
FCI SHERIDAN,1629,Level 1,Not Suspended,2023-11-26 15:07:14 PST
FCI SHERIDAN,1637,Level 1,Not Suspended,2023-11-27 12:30:34 PST
FCI SHERIDAN,1637,Level 1,Not Suspended,2023-11-28 10:42:13 PST
FCI SHERIDAN,1656,Level 1,Not Suspended,2023-11-30 10:34:45 PST
FCI SHERIDAN,1656,Level 1,Not Suspended,2023-12-01 11:44:09 PST
FCI SHERIDAN,1656,Level 1,Not Suspended,2023-12-03 11:08:49 PST
FCI SHERIDAN,1656,Level 1,Not Suspended,2023-12-04 15:06:30 PST
FCI SHERIDAN,1656,Level 1,Not Suspended,2023-12-05 07:52:04 PST
FCI SHERIDAN,1638,Level 1,Not Suspended,2023-12-07 17:12:34 PST
FCI SHERIDAN,1638,Level 1,Not Suspended,2023-12-08 21:06:28 PST
FCI SHERIDAN,1638,Level 1,Not Suspended,2023-12-11 09:08:14 PST
FCI SHERIDAN,1638,Level 1,Not Suspended,2023-12-12 16:50:41 PST
