title,population,operation_level,visiting_status,datetime_of_data
FCI TALLADEGA,,Level 1,Not Suspended,2023-09-27 10:35:37 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-27 11:19:43 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-27 12:20:26 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-27 16:06:24 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-27 18:44:28 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-28 07:09:28 PDT
FCI TALLADEGA,1086.0,Level 1,Not Suspended,2023-09-28 10:18:40 PDT
FCI TALLADEGA,1072.0,Level 1,Not Suspended,2023-09-28 16:30:02 PDT
FCI TALLADEGA,1072.0,Level 1,Not Suspended,2023-10-02 14:37:19 PDT
FCI TALLADEGA,1083.0,Level 1,Not Suspended,2023-10-22 11:44:33 PDT
FCI TALLADEGA,1089.0,Level 1,Not Suspended,2023-11-03 16:21:25 PDT
FCI TALLADEGA,1089.0,Level 1,Not Suspended,2023-11-10 10:59:43 PST
FCI TALLADEGA,1121.0,Level 1,Not Suspended,2023-11-12 09:41:31 PST
FCI TALLADEGA,1121.0,Level 1,Not Suspended,2023-11-13 09:48:21 PST
FCI TALLADEGA,1121.0,Level 1,Not Suspended,2023-11-15 09:51:09 PST
FCI TALLADEGA,1118.0,Level 1,Not Suspended,2023-11-21 11:32:07 PST
FCI TALLADEGA,1118.0,Level 1,Not Suspended,2023-11-22 10:13:35 PST
FCI TALLADEGA,1118.0,Level 1,Not Suspended,2023-11-26 15:07:44 PST
FCI TALLADEGA,1128.0,Level 1,Not Suspended,2023-11-27 12:31:05 PST
FCI TALLADEGA,1128.0,Level 1,Not Suspended,2023-11-28 10:42:44 PST
FCI TALLADEGA,1119.0,Level 1,Not Suspended,2023-11-30 10:35:16 PST
FCI TALLADEGA,1119.0,Level 1,Not Suspended,2023-12-01 11:44:42 PST
FCI TALLADEGA,1119.0,Level 1,Not Suspended,2023-12-03 11:09:21 PST
FCI TALLADEGA,1119.0,Level 1,Not Suspended,2023-12-04 15:07:01 PST
FCI TALLADEGA,1119.0,Level 1,Not Suspended,2023-12-05 07:52:36 PST
FCI TALLADEGA,1137.0,Level 1,Not Suspended,2023-12-07 17:13:06 PST
FCI TALLADEGA,1137.0,Level 1,Not Suspended,2023-12-08 21:07:00 PST
FCI TALLADEGA,1137.0,Level 1,Not Suspended,2023-12-11 09:08:45 PST
FCI TALLADEGA,1137.0,Level 1,Not Suspended,2023-12-12 16:51:12 PST
FCI TALLADEGA,1137.0,Level 1,Not Suspended,2023-12-13 11:08:49 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-18 07:17:18 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-20 09:22:32 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-22 08:28:06 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-27 10:31:39 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-28 11:54:03 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-29 11:02:30 PST
FCI TALLADEGA,1133.0,Level 1,Not Suspended,2023-12-29 11:43:56 PST
FCI TALLADEGA,1127.0,Level 1,Not Suspended,2024-01-02 10:42:13 PST
FCI TALLADEGA,1127.0,Level 1,Not Suspended,2024-01-03 10:08:21 PST
FCI TALLADEGA,1131.0,Level 1,Not Suspended,2024-01-04 10:34:07 PST
FCI TALLADEGA,1131.0,Level 1,Not Suspended,2024-01-05 10:35:34 PST
FCI TALLADEGA,1131.0,Level 1,Not Suspended,2024-01-07 18:28:08 PST
FCI TALLADEGA,1131.0,Level 1,Not Suspended,2024-01-08 10:55:50 PST
FCI TALLADEGA,1131.0,Level 1,Not Suspended,2024-01-09 10:36:15 PST
FCI TALLADEGA,1131.0,No Longer Available,Not Suspended,2024-01-11 12:34:41 PST
FCI TALLADEGA,1131.0,No Longer Available,Not Suspended,2024-01-13 13:08:51 PST
FCI TALLADEGA,1124.0,No Longer Available,Not Suspended,2024-01-16 10:37:04 PST
FCI TALLADEGA,1124.0,No Longer Available,Not Suspended,2024-01-17 10:35:12 PST
FCI TALLADEGA,1124.0,No Longer Available,Not Suspended,2024-01-18 10:38:52 PST
FCI TALLADEGA,1142.0,No Longer Available,Not Suspended,2024-01-19 10:49:13 PST
FCI TALLADEGA,1142.0,No Longer Available,Not Suspended,2024-01-22 10:31:12 PST
FCI TALLADEGA,1142.0,No Longer Available,Not Suspended,2024-01-23 10:32:47 PST
FCI TALLADEGA,1142.0,No Longer Available,Not Suspended,2024-01-24 09:26:31 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-25 11:55:52 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-26 10:37:12 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-27 15:01:59 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-28 20:44:56 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-29 10:07:47 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-01-30 14:34:21 PST
FCI TALLADEGA,1141.0,No Longer Available,Not Suspended,2024-02-01 14:27:11 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-02 23:20:40 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-03 09:44:31 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-03 19:50:02 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-04 12:58:31 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-05 11:40:40 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-06 14:41:14 PST
FCI TALLADEGA,1140.0,No Longer Available,Not Suspended,2024-02-07 19:34:03 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-08 14:28:02 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-09 10:35:05 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-10 18:06:45 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-11 11:18:20 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-12 09:44:38 PST
FCI TALLADEGA,1132.0,No Longer Available,Not Suspended,2024-02-13 10:57:47 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-16 10:44:55 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-18 15:10:05 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-19 08:17:10 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-20 10:40:02 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-23 12:57:23 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-24 11:53:23 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-26 18:42:54 PST
FCI TALLADEGA,1137.0,No Longer Available,Not Suspended,2024-02-27 07:30:20 PST
FCI TALLADEGA,1131.0,No Longer Available,Not Suspended,2024-03-01 10:38:08 PST
FCI TALLADEGA,1131.0,No Longer Available,Not Suspended,2024-03-03 21:27:29 PST
FCI TALLADEGA,1134.0,No Longer Available,Not Suspended,2024-03-19 10:24:44 PDT
FCI TALLADEGA,1134.0,No Longer Available,Not Suspended,2024-03-20 10:27:12 PDT
FCI TALLADEGA,1134.0,No Longer Available,Not Suspended,2024-03-21 10:32:21 PDT
