title,population,operation_level,visiting_status,datetime_of_data
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-27 10:35:45 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-27 11:19:51 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-27 12:20:42 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-27 16:06:40 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-27 18:44:46 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-28 07:09:44 PDT
FCI TALLAHASSEE,914,Level 1,Not Suspended,2023-09-28 10:18:56 PDT
FCI TALLAHASSEE,956,Level 1,Not Suspended,2023-09-28 16:30:17 PDT
FCI TALLAHASSEE,956,Level 1,Not Suspended,2023-10-02 14:37:35 PDT
FCI TALLAHASSEE,897,Level 1,Not Suspended,2023-10-22 11:44:49 PDT
FCI TALLAHASSEE,921,Level 1,Not Suspended,2023-11-03 16:21:40 PDT
FCI TALLAHASSEE,921,Level 1,Not Suspended,2023-11-10 10:59:58 PST
FCI TALLAHASSEE,966,Level 1,Not Suspended,2023-11-12 09:41:47 PST
FCI TALLAHASSEE,966,Level 1,Not Suspended,2023-11-13 09:48:37 PST
FCI TALLAHASSEE,966,Level 1,Not Suspended,2023-11-15 09:51:24 PST
FCI TALLAHASSEE,913,Level 1,Not Suspended,2023-11-21 11:32:22 PST
FCI TALLAHASSEE,913,Level 1,Not Suspended,2023-11-22 10:13:51 PST
FCI TALLAHASSEE,913,Level 1,Not Suspended,2023-11-26 15:08:00 PST
FCI TALLAHASSEE,921,Level 1,Not Suspended,2023-11-27 12:31:21 PST
FCI TALLAHASSEE,921,Level 1,Not Suspended,2023-11-28 10:43:02 PST
FCI TALLAHASSEE,954,Level 1,Not Suspended,2023-11-30 10:35:32 PST
FCI TALLAHASSEE,954,Level 1,Not Suspended,2023-12-01 11:44:58 PST
FCI TALLAHASSEE,954,Level 1,Not Suspended,2023-12-03 11:09:36 PST
FCI TALLAHASSEE,954,Level 1,Not Suspended,2023-12-04 15:07:17 PST
FCI TALLAHASSEE,954,Level 1,Not Suspended,2023-12-05 07:52:52 PST
FCI TALLAHASSEE,979,Level 1,Not Suspended,2023-12-07 17:13:24 PST
FCI TALLAHASSEE,979,Level 1,Not Suspended,2023-12-08 21:07:15 PST
FCI TALLAHASSEE,979,Level 1,Not Suspended,2023-12-11 09:09:02 PST
FCI TALLAHASSEE,979,Level 1,Not Suspended,2023-12-12 16:51:28 PST
FCI TALLAHASSEE,979,Level 1,Not Suspended,2023-12-13 11:09:04 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-18 07:17:33 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-20 09:22:47 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-22 08:28:23 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-27 10:31:55 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-28 11:54:18 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-29 11:02:46 PST
FCI TALLAHASSEE,941,Level 1,Not Suspended,2023-12-29 11:44:12 PST
FCI TALLAHASSEE,963,Level 1,Suspended,2024-01-02 10:42:28 PST
FCI TALLAHASSEE,963,Level 1,Suspended,2024-01-03 10:08:37 PST
FCI TALLAHASSEE,972,Level 1,Suspended,2024-01-04 10:34:24 PST
FCI TALLAHASSEE,972,Level 1,Suspended,2024-01-05 10:35:50 PST
FCI TALLAHASSEE,972,Level 1,Not Suspended,2024-01-07 18:28:24 PST
FCI TALLAHASSEE,972,Level 1,Not Suspended,2024-01-08 10:56:06 PST
FCI TALLAHASSEE,972,Level 1,Not Suspended,2024-01-09 10:36:31 PST
FCI TALLAHASSEE,972,No Longer Available,Not Suspended,2024-01-11 12:34:57 PST
FCI TALLAHASSEE,972,No Longer Available,Not Suspended,2024-01-13 13:09:06 PST
FCI TALLAHASSEE,938,No Longer Available,Not Suspended,2024-01-16 10:37:20 PST
FCI TALLAHASSEE,938,No Longer Available,Not Suspended,2024-01-17 10:35:28 PST
FCI TALLAHASSEE,938,No Longer Available,Not Suspended,2024-01-18 10:39:08 PST
FCI TALLAHASSEE,1006,No Longer Available,Not Suspended,2024-01-19 10:49:29 PST
FCI TALLAHASSEE,1006,No Longer Available,Not Suspended,2024-01-22 10:31:30 PST
FCI TALLAHASSEE,1006,No Longer Available,Not Suspended,2024-01-23 10:33:03 PST
FCI TALLAHASSEE,1006,No Longer Available,Not Suspended,2024-01-24 09:26:47 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-25 11:56:08 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-26 10:37:28 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-27 15:02:15 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-28 20:45:12 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-29 10:08:02 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-01-30 14:34:38 PST
FCI TALLAHASSEE,948,No Longer Available,Not Suspended,2024-02-01 14:27:27 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-02 23:20:56 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-03 09:44:47 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-03 19:50:18 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-04 12:58:46 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-05 11:40:56 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-06 14:41:29 PST
FCI TALLAHASSEE,1003,No Longer Available,Not Suspended,2024-02-07 19:34:18 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-08 14:28:18 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-09 10:35:21 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-10 18:07:01 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-11 11:18:36 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-12 09:44:55 PST
FCI TALLAHASSEE,961,No Longer Available,Not Suspended,2024-02-13 10:58:03 PST
FCI TALLAHASSEE,1031,No Longer Available,Not Suspended,2024-02-16 10:45:11 PST
FCI TALLAHASSEE,1031,No Longer Available,Not Suspended,2024-02-18 15:10:21 PST
FCI TALLAHASSEE,1031,No Longer Available,Not Suspended,2024-02-19 08:17:25 PST
FCI TALLAHASSEE,1031,No Longer Available,Not Suspended,2024-02-20 10:40:18 PST
FCI TALLAHASSEE,1021,No Longer Available,Not Suspended,2024-02-23 12:57:39 PST
FCI TALLAHASSEE,1021,No Longer Available,Not Suspended,2024-02-24 11:53:44 PST
FCI TALLAHASSEE,1021,No Longer Available,Not Suspended,2024-02-26 18:43:11 PST
FCI TALLAHASSEE,1021,No Longer Available,Not Suspended,2024-02-27 07:30:36 PST
FCI TALLAHASSEE,1000,No Longer Available,Not Suspended,2024-03-01 10:38:24 PST
FCI TALLAHASSEE,1000,No Longer Available,Not Suspended,2024-03-03 21:27:47 PST
FCI TALLAHASSEE,1034,No Longer Available,Not Suspended,2024-03-19 10:25:00 PDT
FCI TALLAHASSEE,1034,No Longer Available,Not Suspended,2024-03-20 10:27:27 PDT
FCI TALLAHASSEE,1034,No Longer Available,Not Suspended,2024-03-21 10:32:40 PDT
