title,population,operation_level,visiting_status,datetime_of_data
FCI TERMINAL ISLAND,948,No Longer Available,Not Suspended,2024-02-16 10:45:26 PST
FCI TERMINAL ISLAND,948,No Longer Available,Not Suspended,2024-02-20 10:40:34 PST
FCI TERMINAL ISLAND,948,No Longer Available,Not Suspended,2024-02-18 15:10:37 PST
FCI TERMINAL ISLAND,948,No Longer Available,Not Suspended,2024-02-19 08:17:41 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-02-27 07:30:53 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-02-26 18:43:26 PST
FCI TERMINAL ISLAND,937,No Longer Available,Not Suspended,2024-03-01 10:38:39 PST
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-13 10:58:19 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-02-23 12:57:55 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-02-24 11:54:00 PST
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-08 14:28:33 PST
FCI TERMINAL ISLAND,937,No Longer Available,Not Suspended,2024-03-03 21:28:03 PST
FCI TERMINAL ISLAND,925,No Longer Available,Not Suspended,2024-03-19 10:25:15 PDT
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-07 19:34:35 PST
FCI TERMINAL ISLAND,925,No Longer Available,Not Suspended,2024-03-21 10:32:56 PDT
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-09 10:35:36 PST
FCI TERMINAL ISLAND,945,No Longer Available,Not Suspended,2024-01-19 10:49:44 PST
FCI TERMINAL ISLAND,925,No Longer Available,Not Suspended,2024-03-20 10:27:43 PDT
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-02-01 14:27:43 PST
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-10 18:07:17 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-02 23:21:12 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-03 19:50:35 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-06 14:41:45 PST
FCI TERMINAL ISLAND,945,No Longer Available,Not Suspended,2024-01-23 10:33:18 PST
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-12 09:45:11 PST
FCI TERMINAL ISLAND,945,No Longer Available,Not Suspended,2024-01-22 10:31:46 PST
FCI TERMINAL ISLAND,945,No Longer Available,Not Suspended,2024-01-24 09:27:02 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-03 09:45:03 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-05 11:41:11 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-30 14:34:53 PST
FCI TERMINAL ISLAND,952,No Longer Available,Not Suspended,2024-02-11 11:18:52 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-28 20:45:28 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-26 10:37:43 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-27 15:02:31 PST
FCI TERMINAL ISLAND,940,No Longer Available,Not Suspended,2024-01-11 12:35:12 PST
FCI TERMINAL ISLAND,953,No Longer Available,Not Suspended,2024-02-04 12:59:02 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-01-18 10:39:24 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-29 10:08:18 PST
FCI TERMINAL ISLAND,940,No Longer Available,Not Suspended,2024-01-13 13:09:22 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-01-17 10:35:44 PST
FCI TERMINAL ISLAND,946,No Longer Available,Not Suspended,2024-01-16 10:37:35 PST
FCI TERMINAL ISLAND,958,No Longer Available,Not Suspended,2024-01-25 11:56:24 PST
FCI TERMINAL ISLAND,931,Level 1,Not Suspended,2023-10-22 11:45:04 PDT
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-09-28 16:30:33 PDT
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-28 07:10:00 PDT
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-27 18:45:01 PDT
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-27 16:06:56 PDT
FCI TERMINAL ISLAND,931,Level 1,Not Suspended,2023-11-03 16:21:56 PDT
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-10-02 14:37:51 PDT
FCI TERMINAL ISLAND,934,Level 1,Not Suspended,2023-12-13 11:09:20 PST
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-27 12:20:58 PDT
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-28 10:19:11 PDT
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-11-15 09:51:40 PST
FCI TERMINAL ISLAND,934,Level 1,Not Suspended,2023-12-12 16:51:43 PST
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-27 11:19:59 PDT
FCI TERMINAL ISLAND,934,Level 1,Not Suspended,2023-12-11 09:09:17 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-11-12 09:42:02 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-20 09:23:02 PST
FCI TERMINAL ISLAND,934,Level 1,Not Suspended,2023-12-08 21:07:31 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-11-13 09:48:52 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-29 11:44:28 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-29 11:03:01 PST
FCI TERMINAL ISLAND,940,Level 1,Not Suspended,2024-01-08 10:56:21 PST
FCI TERMINAL ISLAND,940,Level 1,Not Suspended,2024-01-09 10:36:46 PST
FCI TERMINAL ISLAND,938,Level 1,Not Suspended,2023-11-21 11:32:38 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-22 08:28:38 PST
FCI TERMINAL ISLAND,934,Level 1,Not Suspended,2023-12-07 17:13:39 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-28 11:54:33 PST
FCI TERMINAL ISLAND,949,Level 1,Not Suspended,2024-01-02 10:42:44 PST
FCI TERMINAL ISLAND,931,Level 1,Not Suspended,2023-11-10 11:00:14 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-18 07:17:49 PST
FCI TERMINAL ISLAND,931,Level 1,Not Suspended,2023-11-27 12:31:36 PST
FCI TERMINAL ISLAND,931,Level 1,Not Suspended,2023-11-28 10:43:18 PST
FCI TERMINAL ISLAND,938,Level 1,Not Suspended,2023-11-22 10:14:07 PST
FCI TERMINAL ISLAND,925,Level 1,Not Suspended,2023-12-27 10:32:10 PST
FCI TERMINAL ISLAND,940,Level 1,Not Suspended,2024-01-05 10:36:06 PST
FCI TERMINAL ISLAND,940,Level 1,Not Suspended,2024-01-04 10:34:39 PST
FCI TERMINAL ISLAND,938,Level 1,Not Suspended,2023-11-26 15:08:16 PST
FCI TERMINAL ISLAND,949,Level 1,Not Suspended,2024-01-03 10:08:52 PST
FCI TERMINAL ISLAND,940,Level 1,Not Suspended,2024-01-07 18:28:40 PST
FCI TERMINAL ISLAND,943,Level 1,Not Suspended,2023-12-01 11:45:13 PST
FCI TERMINAL ISLAND,943,Level 1,Not Suspended,2023-11-30 10:35:47 PST
FCI TERMINAL ISLAND,943,Level 1,Not Suspended,2023-12-04 15:07:33 PST
FCI TERMINAL ISLAND,943,Level 1,Not Suspended,2023-12-05 07:53:07 PST
FCI TERMINAL ISLAND,943,Level 1,Not Suspended,2023-12-03 11:09:52 PST
FCI TERMINAL ISLAND,929,Level 1,Not Suspended,2023-09-27 10:35:53 PDT
