title,population,operation_level,visiting_status,datetime_of_data
FCI TERRE HAUTE,"1,452",No Longer Available,Not Suspended,2024-02-16 10:45:43 PST
FCI TERRE HAUTE,"1,452",No Longer Available,Not Suspended,2024-02-20 10:40:50 PST
FCI TERRE HAUTE,"1,452",No Longer Available,Not Suspended,2024-02-18 15:11:01 PST
FCI TERRE HAUTE,"1,452",No Longer Available,Not Suspended,2024-02-19 08:17:58 PST
FCI TERRE HAUTE,"1,435",No Longer Available,Not Suspended,2024-02-27 07:31:08 PST
FCI TERRE HAUTE,"1,435",No Longer Available,Not Suspended,2024-02-26 18:43:43 PST
FCI TERRE HAUTE,"1,427",No Longer Available,Not Suspended,2024-03-01 10:38:55 PST
FCI TERRE HAUTE,"1,455",No Longer Available,Not Suspended,2024-02-13 10:58:35 PST
FCI TERRE HAUTE,"1,435",No Longer Available,Not Suspended,2024-02-23 12:58:10 PST
FCI TERRE HAUTE,"1,435",No Longer Available,Not Suspended,2024-02-24 11:54:17 PST
FCI TERRE HAUTE,"1,455",No Longer Available,Not Suspended,2024-02-08 14:28:49 PST
FCI TERRE HAUTE,"1,427",No Longer Available,Not Suspended,2024-03-03 21:28:21 PST
FCI TERRE HAUTE,"1,365",No Longer Available,Not Suspended,2024-03-19 10:25:31 PDT
FCI TERRE HAUTE,"1,469",No Longer Available,Not Suspended,2024-02-07 19:34:51 PST
FCI TERRE HAUTE,"1,365",No Longer Available,Not Suspended,2024-03-21 10:33:13 PDT
FCI TERRE HAUTE,"1,455",No Longer Available,Not Suspended,2024-02-09 10:35:52 PST
FCI TERRE HAUTE,"1,498",No Longer Available,Not Suspended,2024-01-19 10:50:00 PST
FCI TERRE HAUTE,"1,365",No Longer Available,Not Suspended,2024-03-20 10:27:59 PDT
FCI TERRE HAUTE,"1,487",No Longer Available,Not Suspended,2024-02-01 14:27:58 PST
FCI TERRE HAUTE,"1,455",No Longer Available,Not Suspended,2024-02-10 18:07:33 PST
FCI TERRE HAUTE,"1,469",No Longer Available,Not Suspended,2024-02-02 23:21:27 PST
FCI TERRE HAUTE,"1,469",No Longer Available,Not Suspended,2024-02-03 19:50:51 PST
FCI TERRE HAUTE,"1,469",No Longer Available,Not Suspended,2024-02-06 14:42:01 PST
FCI TERRE HAUTE,"1,498",No Longer Available,Not Suspended,2024-01-23 10:33:34 PST
FCI TERRE HAUTE,"1,455",No Longer Available,Not Suspended,2024-02-12 09:45:28 PST
FCI TERRE HAUTE,"1,498",No Longer Available,Not Suspended,2024-01-22 10:32:01 PST
