title,population,operation_level,visiting_status,datetime_of_data
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-27 10:36:17 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-27 11:20:24 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-27 12:21:46 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-27 16:07:44 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-27 18:45:47 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-28 07:10:46 PDT
FCI TEXARKANA,1256,Level 1,Not Suspended,2023-09-28 10:19:58 PDT
FCI TEXARKANA,1237,Level 1,Not Suspended,2023-09-28 16:31:20 PDT
FCI TEXARKANA,1237,Level 1,Not Suspended,2023-10-02 14:38:37 PDT
FCI TEXARKANA,1224,Level 1,Not Suspended,2023-10-22 11:45:51 PDT
FCI TEXARKANA,1212,Level 1,Not Suspended,2023-11-03 16:22:42 PDT
FCI TEXARKANA,1212,Level 1,Not Suspended,2023-11-10 11:01:00 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-11-12 09:42:48 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-11-13 09:49:39 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-11-15 09:52:26 PST
FCI TEXARKANA,1220,Level 1,Not Suspended,2023-11-21 11:33:25 PST
FCI TEXARKANA,1220,Level 1,Not Suspended,2023-11-22 10:14:53 PST
FCI TEXARKANA,1220,Level 1,Not Suspended,2023-11-26 15:09:02 PST
FCI TEXARKANA,1217,Level 1,Not Suspended,2023-11-27 12:32:23 PST
FCI TEXARKANA,1217,Level 1,Not Suspended,2023-11-28 10:44:06 PST
FCI TEXARKANA,1211,Level 1,Not Suspended,2023-11-30 10:36:33 PST
FCI TEXARKANA,1211,Level 1,Not Suspended,2023-12-01 11:46:00 PST
FCI TEXARKANA,1211,Level 1,Not Suspended,2023-12-03 11:10:38 PST
FCI TEXARKANA,1211,Level 1,Not Suspended,2023-12-04 15:08:19 PST
FCI TEXARKANA,1211,Level 1,Not Suspended,2023-12-05 07:53:54 PST
FCI TEXARKANA,1219,Level 1,Not Suspended,2023-12-07 17:14:29 PST
FCI TEXARKANA,1219,Level 1,Not Suspended,2023-12-08 21:08:17 PST
FCI TEXARKANA,1219,Level 1,Not Suspended,2023-12-11 09:10:08 PST
FCI TEXARKANA,1219,Level 1,Not Suspended,2023-12-12 16:52:30 PST
FCI TEXARKANA,1219,Level 1,Not Suspended,2023-12-13 11:10:09 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-18 07:18:36 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-20 09:23:49 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-22 08:29:24 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-27 10:32:56 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-28 11:55:22 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-29 11:03:48 PST
FCI TEXARKANA,1225,Level 1,Not Suspended,2023-12-29 11:45:15 PST
FCI TEXARKANA,1255,Level 1,Not Suspended,2024-01-02 10:43:31 PST
FCI TEXARKANA,1255,Level 1,Not Suspended,2024-01-03 10:09:39 PST
FCI TEXARKANA,1248,Level 1,Not Suspended,2024-01-04 10:35:25 PST
FCI TEXARKANA,1248,Level 1,Not Suspended,2024-01-05 10:36:52 PST
FCI TEXARKANA,1248,Level 1,Not Suspended,2024-01-07 18:29:26 PST
FCI TEXARKANA,1248,Level 1,Not Suspended,2024-01-08 10:57:08 PST
FCI TEXARKANA,1248,Level 1,Not Suspended,2024-01-09 10:37:33 PST
FCI TEXARKANA,1248,No Longer Available,Not Suspended,2024-01-11 12:35:59 PST
FCI TEXARKANA,1248,No Longer Available,Not Suspended,2024-01-13 13:10:08 PST
FCI TEXARKANA,1235,No Longer Available,Not Suspended,2024-01-16 10:38:22 PST
FCI TEXARKANA,1235,No Longer Available,Not Suspended,2024-01-17 10:36:31 PST
FCI TEXARKANA,1235,No Longer Available,Not Suspended,2024-01-18 10:40:11 PST
FCI TEXARKANA,1236,No Longer Available,Not Suspended,2024-01-19 10:50:31 PST
FCI TEXARKANA,1236,No Longer Available,Not Suspended,2024-01-22 10:32:32 PST
FCI TEXARKANA,1236,No Longer Available,Not Suspended,2024-01-23 10:34:05 PST
FCI TEXARKANA,1236,No Longer Available,Not Suspended,2024-01-24 09:27:49 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-25 11:57:11 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-26 10:38:30 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-27 15:03:19 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-28 20:46:15 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-29 10:09:04 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-01-30 14:35:42 PST
FCI TEXARKANA,1234,No Longer Available,Not Suspended,2024-02-01 14:28:30 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-02 23:21:59 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-03 09:45:51 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-03 19:51:23 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-04 12:59:50 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-05 11:41:58 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-06 14:42:33 PST
FCI TEXARKANA,1230,No Longer Available,Not Suspended,2024-02-07 19:35:23 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-08 14:29:20 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-09 10:36:23 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-10 18:08:05 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-11 11:19:40 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-12 09:46:01 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-02-13 10:59:07 PST
FCI TEXARKANA,1203,No Longer Available,Not Suspended,2024-02-16 10:46:14 PST
FCI TEXARKANA,1203,No Longer Available,Not Suspended,2024-02-18 15:11:36 PST
FCI TEXARKANA,1203,No Longer Available,Not Suspended,2024-02-19 08:18:30 PST
FCI TEXARKANA,1203,No Longer Available,Not Suspended,2024-02-20 10:41:21 PST
FCI TEXARKANA,1211,No Longer Available,Not Suspended,2024-02-23 12:58:42 PST
FCI TEXARKANA,1211,No Longer Available,Not Suspended,2024-02-24 11:54:49 PST
FCI TEXARKANA,1211,No Longer Available,Not Suspended,2024-02-26 18:44:16 PST
FCI TEXARKANA,1211,No Longer Available,Not Suspended,2024-02-27 07:31:41 PST
FCI TEXARKANA,1210,No Longer Available,Not Suspended,2024-03-01 10:39:26 PST
FCI TEXARKANA,1210,No Longer Available,Not Suspended,2024-03-03 21:28:54 PST
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-03-19 10:26:04 PDT
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-03-20 10:28:30 PDT
FCI TEXARKANA,1212,No Longer Available,Not Suspended,2024-03-21 10:33:48 PDT
