title,population,operation_level,visiting_status,datetime_of_data
FCI THOMSON,1555,Level 1,Not Suspended,2023-11-30 10:36:49 PST
FCI THOMSON,1555,Level 1,Not Suspended,2023-12-01 11:46:17 PST
FCI THOMSON,1555,Level 1,Not Suspended,2023-12-03 11:10:53 PST
FCI THOMSON,1555,Level 1,Not Suspended,2023-12-04 15:08:35 PST
FCI THOMSON,1555,Level 1,Not Suspended,2023-12-05 07:54:11 PST
FCI THOMSON,1607,Level 1,Not Suspended,2023-12-07 17:14:44 PST
FCI THOMSON,1607,Level 1,Not Suspended,2023-12-08 21:08:32 PST
FCI THOMSON,1607,Level 1,Not Suspended,2023-12-11 09:10:24 PST
FCI THOMSON,1607,Level 1,Not Suspended,2023-12-12 16:52:45 PST
FCI THOMSON,1607,Level 1,Not Suspended,2023-12-13 11:10:24 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-18 07:18:51 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-20 09:24:04 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-22 08:29:40 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-27 10:33:12 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-28 11:55:37 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-29 11:04:03 PST
FCI THOMSON,1594,Level 1,Not Suspended,2023-12-29 11:45:30 PST
FCI THOMSON,1698,Level 1,Not Suspended,2024-01-02 10:43:46 PST
FCI THOMSON,1698,Level 1,Not Suspended,2024-01-03 10:09:54 PST
FCI THOMSON,1710,Level 1,Suspended,2024-01-04 10:35:41 PST
FCI THOMSON,1710,Level 1,Suspended,2024-01-05 10:37:08 PST
FCI THOMSON,1710,Level 1,Suspended,2024-01-07 18:29:41 PST
FCI THOMSON,1710,Level 1,Suspended,2024-01-08 10:57:23 PST
FCI THOMSON,1710,Level 1,Suspended,2024-01-09 10:37:48 PST
FCI THOMSON,1710,No Longer Available,Suspended,2024-01-11 12:36:15 PST
FCI THOMSON,1710,No Longer Available,Suspended,2024-01-13 13:10:24 PST
FCI THOMSON,1755,No Longer Available,Not Suspended,2024-01-16 10:38:38 PST
FCI THOMSON,1755,No Longer Available,Not Suspended,2024-01-17 10:36:46 PST
FCI THOMSON,1755,No Longer Available,Not Suspended,2024-01-18 10:40:27 PST
FCI THOMSON,1750,No Longer Available,Not Suspended,2024-01-19 10:50:48 PST
FCI THOMSON,1750,No Longer Available,Not Suspended,2024-01-22 10:32:47 PST
FCI THOMSON,1750,No Longer Available,Not Suspended,2024-01-23 10:34:21 PST
FCI THOMSON,1750,No Longer Available,Not Suspended,2024-01-24 09:28:05 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-25 11:57:27 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-26 10:38:46 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-27 15:03:35 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-28 20:46:30 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-29 10:09:20 PST
FCI THOMSON,1776,No Longer Available,Suspended,2024-01-30 14:35:57 PST
FCI THOMSON,1776,No Longer Available,Not Suspended,2024-02-01 14:28:46 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-02 23:22:15 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-03 09:46:08 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-03 19:51:40 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-04 13:00:05 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-05 11:42:14 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-06 14:42:49 PST
FCI THOMSON,1807,No Longer Available,Not Suspended,2024-02-07 19:35:40 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-08 14:29:36 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-09 10:36:39 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-10 18:08:20 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-11 11:19:57 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-12 09:46:17 PST
FCI THOMSON,1850,No Longer Available,Not Suspended,2024-02-13 10:59:22 PST
FCI THOMSON,1867,No Longer Available,Not Suspended,2024-02-16 10:46:30 PST
FCI THOMSON,1867,No Longer Available,Not Suspended,2024-02-18 15:11:51 PST
FCI THOMSON,1867,No Longer Available,Not Suspended,2024-02-19 08:18:47 PST
FCI THOMSON,1867,No Longer Available,Not Suspended,2024-02-20 10:41:38 PST
FCI THOMSON,1897,No Longer Available,Not Suspended,2024-02-23 12:58:58 PST
FCI THOMSON,1897,No Longer Available,Not Suspended,2024-02-24 11:55:07 PST
FCI THOMSON,1897,No Longer Available,Not Suspended,2024-02-26 18:44:32 PST
FCI THOMSON,1897,No Longer Available,Not Suspended,2024-02-27 07:31:56 PST
FCI THOMSON,1886,No Longer Available,Not Suspended,2024-03-01 10:39:42 PST
FCI THOMSON,1886,No Longer Available,Not Suspended,2024-03-03 21:29:10 PST
FCI THOMSON,1940,No Longer Available,Not Suspended,2024-03-19 10:26:20 PDT
FCI THOMSON,1940,No Longer Available,Not Suspended,2024-03-20 10:28:45 PDT
FCI THOMSON,1940,No Longer Available,Not Suspended,2024-03-21 10:34:05 PDT
